ถนน,ซอย,เลขที่,ประเภท,เงินทุนรวม,_id,ชื่อโรงงาน,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,TSIC,หมู่
,บ้านหนองไผ่,เลขที่ 165,-05304-,12400000,135,แก้วอิสระ พีอีที,"088-5630216,043-791458",44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,22220,2
,,,-05305-,18650000,136,เฮงพลาสติก,081-4877272,44130,นาโพธิ์,กุดรัง,มหาสารคาม,22230,13
,,เลขที่ 152,-05309-,3900000,137,เจ. ไอ. รีไซเคิล,081-8565070,44160,โพนทอง,เชียงยืน,มหาสารคาม,22299,6
ท่าพระ-โกสุมพิสัย,,เลขที่ 251,-05400-,23900000,138,บริษัท พา แอนด์ จีกลาส จำกัด,081-9002795,44140,แพง,โกสุมพิสัย,มหาสารคาม,23101,13
,บ้านเมืองเพ็ง,,-05600-,970000,139,โรงอิฐมิ่งมงคล,043-370058,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,2
,,เลขที่ 194,-05600-,960000,140,โรงอิฐร่มฉัตร,089-5727709,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,1
,บ้านเมืองเพ็ง,เลขที่ 102,-05600-,810000,141,นายโพธิพงษ์ โพธิจักร์,0-1872-2291,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,3
,,,-05600-,1950000,142,ไพจิตอิฐแดง,081-9648795,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,16
,,เลขที่ 18,-05600-,870000,143,ไพจิตอิฐแดง,"0615519464,081-9648795",44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,16
,,เลขที่ 186,-05600-,2000000,144,เฉลิมมิตร,083-3580717,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,16
,,เลขที่ 39/1,-05600-,295000,145,โสภาอิฐแดง,,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23921,16
สารคาม-ร้อยเอ็ด,,เลขที่ 144,-05801-,10100000,146,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,089-9494918,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,23953,14
เชียงยืน-ขอนแก่น,,เลขที่ 63,-05801-,85000000,147,บริษัท วิโรจน์คอนกรีต จำกัด,"043-988141,081-8734344",44160,เสือเฒ่า,เชียงยืน,มหาสารคาม,23953,8
,,เลขที่ 88,-05801-,11000000,148,ห้างหุ้นส่วนจำกัด อมรคอนกรีต 2018,"091-8352999,043-797189",44180,นาดูน,นาดูน,มหาสารคาม,23953,9
นาเชือก-บรบือ,,เลขที่ 1,-05801-,20300000,149,บริษัท จำลองชัย โฮมเซ็นเตอร์ จำกัด,081-9543484,44170,นาเชือก,นาเชือก,มหาสารคาม,23953,
บรบือ - วาปีปทุม,,เลขที่ 168,-05801-,13500000,150,ห้างหุ้นส่วนจำกัด บรบือคอนกรีต,"081-2618944, 088-5651533",44130,หนองจิก,บรบือ,มหาสารคาม,23953,9
,,เลขที่ โฉนดที่ดินเลขที่ 3734,-05801-,8300000,151,ห้างหุ้นส่วนจำกัด สงกราณต์ขนส่ง,085-1793530,44170,นาเชือก,นาเชือก,มหาสารคาม,23953,
,,เลขที่ 351,-05801-,9500000,152,บริษัท จำลองชัย 2006 จำกัด,065-2654915,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,23953,16
มหาสารคาม - กันทรวิชัย,,เลขที่ 123,-05801-,26600000,153,บริษัท เค.เอ.เอส. ยนต์ตระกาล จำกัด,061-3741750,44150,คันธารราษฎร์,กันทรวิชัย,มหาสารคาม,23953,8
,,เลขที่ 108,-05801-,100000000,154,บริษัท บี.เค.เค. (1985) จำกัด (มหาชน),,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,23953,6
แจ้งสนิท,,เลขที่ 322,-05801-,7500000,155,ห้างหุ้นส่วนจำกัด ชะนะชัยการรุ่งเรือง 888,"082-4549173 ,043-020552",44130,กุดรัง,กุดรัง,มหาสารคาม,23953,10
มหาสารคาม-โกสุมพิสัย,,เลขที่ 291,-05801-,3000000,156,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,"043-758028, 043-749216",44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,23953,1
ถีนานนท์,,เลขที่ 258,-05801-,33000000,157,อาร์ พี ซี ผลิตภัณฑ์คอนกรีต,043-706744,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,23953,15
,,เลขที่ 119,-05801-,14200000,158,ห้างหุ้นส่วนจำกัด พัณกมล ก่อสร้าง,,44130,หนองสิม,บรบือ,มหาสารคาม,23953,2
,,เลขที่ 76,-05801-,19000000,159,เอแพคคอนกรีต มหาสารคาม,083-6737608,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,23953,5
พยัคฆ์-สตึก,,เลขที่ 336,-05801-,3900000,160,ห้างหุ้นส่วนจำกัด วิสิทธิ์ก่อสร้างพยัคฆ์,043-791123,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,23953,14
,,เลขที่ 223,-05801-,20000000,161,บริษัท แอล คอน จำกัด,01-4160751,44160,กู่ทอง,เชียงยืน,มหาสารคาม,23953,2
นิวซีแลนด์,,เลขที่ 336,-05801-,3113500,162,ห้างหุ้นส่วนจำกัด วิสิทธิ์ก่อสร้างพยัคฆ์,043-791125-6,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,23953,14
,,,-05801-,3450000,163,ห้างหุ้นส่วนจำกัด กิตติกานวัสดุก่อสร้าง,089-6220214,44130,หนองจิก,บรบือ,มหาสารคาม,23953,13
,,เลขที่ 99/9,-05801-,7815000,164,ห้างหุ้นส่วนจำกัด นาเชือกค้าไม้,"043-779217,080-4060888",44170,นาเชือก,นาเชือก,มหาสารคาม,23953,2
ถีนานนท์,,เลขที่ 119,-05801-,40500000,165,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,094-4793511,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,23953,12
บุรีรัมย์ - มหาสารคาม,,เลขที่ 351,-05801-,14200000,166,ห้างหุ้นส่วนจำกัด รุ่งทรัพย์คอนกรีต,,44110,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,23953,16
แจ้งสนิท,,เลขที่ 330,-05801-,5200000,167,ห้างหุ้นส่วนจำกัด ส.รุ่งเรืองวัสดุก่อสร้าง,086-4554371,44130,บ่อใหญ่,บรบือ,มหาสารคาม,23953,3
ท่าพระ-มหาสารคาม,,เลขที่ 220,-05801-,3800000,168,นันทวัฒน์ก่อสร้าง,043-776367,44140,แพง,โกสุมพิสัย,มหาสารคาม,23953,11
,,เลขที่ 211,-05801-,14200000,169,ห้างหุ้นส่วนจำกัด เอส ที เอส คอนกรีต เซ็นเตอร์,904655541,44130,บรบือ,บรบือ,มหาสารคาม,23953,2
,,เลขที่ โฉนดที่ดินเลขที่ 31285,-05801-,104900000,170,ห้างหุ้นส่วนจำกัด เพชรสมวงศ์การโยธา,099-4149872,44120,หนองแสง,วาปีปทุม,มหาสารคาม,23953,3
นครสวรรค์,,เลขที่ 71,-05801-,7500000,171,บริษัท ร.พาณิชย์คอนกรีต จำกัด,043-970755,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,23953,
นิวซีแลนด์,,เลขที่ โฉนดที่ดินเลขที่ 69151,-05801-,16400000,172,บริษัท จำลองชัย คอนกรีต59 จำกัด,"081-0577522,043-791612",44110,ก้ามปู,พยัคฆภูมิพิสัย,มหาสารคาม,23953,4
,,เลขที่ 122,-05801-,8000000,173,อร่ามคอนกรีต (จำลองชัยคอนกรีต),043-791612,44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,23953,2
,,เลขที่ 270,-05801-,3155000,174,ห้างหุ้นส่วนจำกัด ทรงวัฒนะคอนกรีต,"083-2823338,086-4557732",44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,23953,1
แจ้งสนิท,,,-05801-,33000000,175,ชายนันท์ก่อสร้าง,,44130,บรบือ,บรบือ,มหาสารคาม,23953,17
,,เลขที่ 88,-05801-,51000000,176,บริษัท แก่นนครคอนกรีต (2001) จำกัด,"088-8789168 ,043-731052",44160,กู่ทอง,เชียงยืน,มหาสารคาม,23953,15
ท่าพระ-โกสุมพิสัย,,เลขที่ 134,-05801-,3050000,177,ร้านพัฒนาคอนกรีต,088-5576100,10120,แพง,โกสุมพิสัย,มหาสารคาม,23953,11
,,เลขที่ 100,-05801-,7500000,178,เฮง เฮง ก่อสร่้างและการเกษตร,065-7892436,44110,เวียงสะอาด,พยัคฆภูมิพิสัย,มหาสารคาม,23953,20
แกดำ-หนองปลิง,,เลขที่ 11,-05801-,5700000,179,ห้างหุ้นส่วนจำกัด พรบุญมา วัสดุก่อสร้าง,"081-7686509, 083-3354078",44190,วังแสง,แกดำ,มหาสารคาม,23953,11
มหาสารคาม-วาปีปทุม,,เลขที่ 441,-05801-,12400000,180,ย่งเฮงคอนกรีต,43798135,44120,หนองแสง,วาปีปทุม,มหาสารคาม,23953,25
แจ้งสนิท,,เลขที่ 141,-05801-,2400000,181,โรงงานคอนกรีตผสมเสร็จ รุ่งเรืองแอ็ดมินนิสเตรชั่น แอนด์ แมนเนจเม้น จำกัด,02-9142501,44000,เขวา,เมืองมหาสารคาม,มหาสารคาม,23953,11
นาเชือก-หนองสองห้อง,บ้านกุดรังพัฒนา,เลขที่ 1,-05801-,5220000,182,จำลองชัยก่อสร้าง,043-779174,44170,นาเชือก,นาเชือก,มหาสารคาม,23953,2
,,เลขที่ 32,-05801-,2700000,183,จำลองชัยก่อสร้าง,"043-729055,0883735975",44210,ยางสีสุราช,ยางสีสุราช,มหาสารคาม,23953,10
นาเชือก-หนองสองห้อง,,เลขที่ 27/1,-05801-,6800000,184,C-PAC นาเชือก,087-8539563,44170,นาเชือก,นาเชือก,มหาสารคาม,23953,15
โกสุมพิสัย-ขอนแก่น,,เลขที่ 236,-05801-,69950000,185,ดีคอน ขอนแก่น - มหาสารคาม,"087-8286286, 043-706890-2",44140,หัวขวาง,โกสุมพิสัย,มหาสารคาม,23953,11
,,เลขที่ 436,-05801-,15500000,186,ห้างหุ้นส่วนจำกัด นาคินก่อสร้าง,091-3413231,44120,หนองแสง,วาปีปทุม,มหาสารคาม,23953,2
หมายเลข 208,,เลขที่ 130,-05801-,3000000,187,โรงงานคอนกรีตผสมเสร็จ,082-6674872,44140,หัวขวาง,โกสุมพิสัย,มหาสารคาม,23953,4
แจ้งสนิท,,เลขที่ 315,-05801-,12800000,188,บริษัท เอสคอร์ตคอเปอร์เรชั่น จำกัด,081-2380054,44130,บรบือ,บรบือ,มหาสารคาม,23953,15
บรบือ-บ้านไผ่,บ้านซำแฮด,เลขที่ 215,-05801-,74000000,189,ห้างหุ้นส่วนจำกัด ที เอส เอส มหาสารคาม,"043-771418,062-1980949",44130,บรบือ,บรบือ,มหาสารคาม,23953,15
มหาสารคาม-วาปีปทุม,,เลขที่ 121,-05801-,18600000,190,ห้างหุ้นส่วนจำกัด จำลองชัยคอนกรีต,081-9652566,40190,ดงใหญ่,วาปีปทุม,มหาสารคาม,23953,3
,,เลขที่ โฉนดที่ดินเลขที่ 29794,-05801-,5200000,191,บริษัท ที.พี.เอ.คอนสตรัคชัน จำกัด,097-3245999,44120,ดงใหญ่,วาปีปทุม,มหาสารคาม,23953,9
โกสุมพิสัย-มหาสารคาม,,เลขที่ 112,-00601-,15100000,192,บริษัท เซ็น แอนด์ โกสุม อินเตอร์ฟู้ดส์ จำกัด,061-5499265,44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,10222,8
,บ้านแก้งแก,เลขที่ 68,-06000-,1250000,193,สัมฤทธิ์ประติมากรรมทองเหลือง,-,44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,24101,2
,,เลขที่ 154,-06000-,60000000,194,บริษัท ที. เอส. ไลท์ติ้ง กรุ๊ป จำกัด,"089-9406677,081-6809746",44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,24101,6
,,เลขที่ โฉนดที่ดินเลขที่ 71087,-06302-,37000000,195,ห้างหุ้นส่วนจำกัด บรบือพรเทพ,043-771655,44130,วังไชย,บรบือ,มหาสารคาม,25111,3
เชียงยืน-ขอนแก่น,,เลขที่ 337,-06412-,3000000,196,บริษัท วี.เอส.จักรกล จำกัด,081-8738513,44160,กู่ทอง,เชียงยืน,มหาสารคาม,25910,4
,,เลขที่ 239,-06413-,1450000,197,นายพงศกร โสภาวงศ์,080-4049844,44160,กู่ทอง,เชียงยืน,มหาสารคาม,25922,4
ยางตลาด-ขอนแก่น,,เลขที่ 140,-06402-,10300000,198,ยิ่งรวยยิ่งเจริญ,043-988224,44160,เสือเฒ่า,เชียงยืน,มหาสารคาม,25910,14
,,เลขที่ 1,-06402-,7000000,199,บริษัท สตาร์เทค สตีล จำกัด,"081-3899749,081-9673829",44160,ชื่นชม,ชื่นชม,มหาสารคาม,25910,3
วาปีปทุม-มหาสารคาม,,เลขที่ 113,-06600-,11500000,200,ตระกูลไชยพานิช 1999,"081-9744932,081-2627533",44120,โคกสีทองหลาง,วาปีปทุม,มหาสารคาม,28219,4
,,เลขที่ 77,-07300-,19000000,201,ห้างหุ้นส่วนจำกัด นิวแครี่คอม,"043-798794 , 098-5691684",44120,หนองแสง,วาปีปทุม,มหาสารคาม,27909,
,,เลขที่ 39,-07300-,15000000,202,บริษัท ประดิษฐ์เอ็นเตอร์ไพรส์ คอร์ปอเรชั่น จำกัด,819118014,44120,งัวบา,วาปีปทุม,มหาสารคาม,27909,13
,,เลขที่ 135,-07300-,18880000,203,บริษัท ดีแอลเอส อีเลคโทรนิคส์ จำกัด,043-900066,44000,ดอนหว่าน,เมืองมหาสารคาม,มหาสารคาม,27909,8
,,เลขที่ 29,-07701-,23000000,204,บริษัท วรพล ดิเวลลอปเมนท์ จำกัด,01-5451609,44160,กู่ทอง,เชียงยืน,มหาสารคาม,29109,12
ขอนแก่น-เชียงยืน,,,-07701-,13700000,205,บริษัท ทรัพย์มงคล แมนูแฟคเจอริ่ง จำกัด,085-5098005,44160,กู่ทอง,เชียงยืน,มหาสารคาม,29109,12
,,เลขที่ 312,-07701-,4800000,206,อู่เทพเจริญรถพ่วง,089-9694169,44120,หนองไฮ,วาปีปทุม,มหาสารคาม,29109,5
โกสุมพิสัย-มหาสารคาม,,เลขที่ 999,-07702-,36000000,207,บริษัท เอส.พี.ออโต้ อินดัสทรี จำกัด,"081-9999396,080-9456390,0804000022",44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,29309,8
ผดุงวิถี,,เลขที่ 172,-07801-,40000000,208,บริษัท กรีน พาวเวอร์ มด จำกัด,043-721060-4,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,30911,0
แจ้งสนิท,,เลขที่ 85,-08900-,70200000,209,บริษัท เปยต้าฮวง ชลเจริญ จำกัด,043-731199,44130,นาโพธิ์,กุดรัง,มหาสารคาม,20111,13
แจ้งสนิท,,เลขที่ 144,-00901-,12000000,210,โรงสีข้าวบรบือ 2,043-706732,44130,บรบือ,บรบือ,มหาสารคาม,10611,4
บรบือ-นาเชือก,บ้านสมสนุก,เลขที่ 3,-00901-,6840000,211,สหกรณ์การเกษตรบรบือ จำกัด,770371,44130,หนองสิม,บรบือ,มหาสารคาม,10611,2
โกสุมพิสัย-มหาสารคาม,,เลขที่ 222,-00901-,25000000,212,สหกรณ์เครดิตยูเนี่ยนวังขนาย จำกัด,043-981444,44140,แก้งแก,โกสุมพิสัย,มหาสารคาม,10611,9
,,เลขที่ 123,-00901-,5700000,213,ว.ทวีทรัพย์,084-7881394,44170,นาเชือก,นาเชือก,มหาสารคาม,10611,11
ถีนานนท์,,เลขที่ 179,-00901-,60000000,214,บริษัท โชติอุทัย จำกัด สาขา 1 ,"043-750456, 093-3293991",44150,โคกพระ,กันทรวิชัย,มหาสารคาม,10611,15
สายเลี่ยงเมือง,,เลขที่ 202,-00901-,202700000,215,บริษัท ขวัญข้าว อินเตอร์เทรด จำกัด,043-777668,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,10611,13
วาปีปทุม-ร้อยเอ็ด,,เลขที่ 319,-00901-,28000000,216,โชคเจริญ,"080-7774474,087-2232021",44120,หนองไฮ,วาปีปทุม,มหาสารคาม,10611,5
ท่าพระ-โกสุมพิสัย,,เลขที่ 342,-09200-,28657040,217,วัชมนฟู้ด,"093-9648759,043706583",44140,เขวาไร่,โกสุมพิสัย,มหาสารคาม,52101,15
นครสวรรค์,,เลขที่ 76/10,-09200-,71000000,218,บริษัท พีมาร์ท ซุปเปอร์สโตร์ จำกัด,043-522050-1,11140,ตลาด,เมืองมหาสารคาม,มหาสารคาม,52101,
แจ้งสนิท,,เลขที่ 26,-09501-,55000000,219,บริษัท มิตซูนานามหาสารคาม จำกัด,043-77826,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,33121,13
,,เลขที่ 62,-09501-,20000000,220,บริษัท วีอาร์พี ออโต้กรุ๊ป จำกัด,043-790197,44110,ก้ามปู,พยัคฆภูมิพิสัย,มหาสารคาม,33121,1
,,,-09501-,17500000,221,บี-ควิก สาขามหาสารคาม,,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,33121,
มหาสารคาม-วาปีปทุม,,เลขที่ 497,-09501-,20800000,222,ตนาศูนย์ล้อ,089-9435334,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,33121,11
,,เลขที่ 361/1,-09501-,45000000,223,บริษัท อู่ถาวรการช่าง 2015 จำกัด,043-723464,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,33121,14
นครสวรรค์ ,บ้านส่อง,เลขที่ 2216,-09501-,1550000,224,ห้างหุ้นส่วนจำกัด อู่ถาวรการช่าง,43723464,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,33121,
,,เลขที่ 2219/2,-09501-,52000000,225,บริษัท ราชามอเตอร์มหาสารคาม จำกัด,043-722618,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,33121,
,,เลขที่ 477,-09501-,20500000,226,ห้างหุ้นส่วนจำกัด อู่โชคนิตยา ออโต้ เซอร์วิส,043-722747,44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,33121,14
โกสุมพิสัย-ขอนแก่น,,เลขที่ 291,-09501-,10250000,227,บริษัท โค้วยู่ฮะมอเตอร์ จำกัด สาขาโกสุมพิสัย,043-711322,44140,หัวขวาง,โกสุมพิสัย,มหาสารคาม,33121,10
เลี่ยงเมือง,,เลขที่ 167,-09501-,175000,228,สารคามการช่าง,"043-721332 , 083-1430903",44000,แวงน่าง,เมืองมหาสารคาม,มหาสารคาม,33121,10
เชียงยืน-ขอนแก่น,,เลขที่ 682,-09501-,10250000,229,บริษัท โค้วยู่ฮะมอเตอร์ จำกัด สาขาเชียงยืน,091-0549473,44160,เชียงยืน,เชียงยืน,มหาสารคาม,33121,5
วาปีปทุม-พยัคฆภูมิพิสัย,,เลขที่ 159,-09501-,11500000,230,บริษัท โค้วยู่ฮะมอเตอร์ จำกัด สาขาพยัคฆภูมิพิสัย,43791362,44110,ลานสะแก,พยัคฆภูมิพิสัย,มหาสารคาม,33121,1
,,เลขที่ 288,-09501-,36500000,231,บริษัท อารีมิตร ออโต้ เพ้นท์ จำกัด,081-8717050,44000,แก่งเลิงจาน,เมืองมหาสารคาม,มหาสารคาม,33121,13
,,เลขที่ โฉนดที่ดินเลขที่ 11373,-09501-,48000000,232,แสงรุ่งเรืองเชอร์วิส,094-5127497,44130,บ่อใหญ่,บรบือ,มหาสารคาม,33121,4
,,เลขที่ 921,-09501-,20800000,233,บริษัท วีอาร์พี ออโต้กรุ๊ป จำกัด,043-740427,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,33121,
ผดุงวิถี,,เลขที่ 180,-09501-,122000000,234,บริษัท โตโยต้ามหาสารคาม จำกัด,0-4372-2722,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,33121,
,,เลขที่ 363,-09501-,298500000,235,บริษัท สกาย ฮอนด้า ออโตโมบิล จำกัด,043-023222,44000,ท่าสองคอน,เมืองมหาสารคาม,มหาสารคาม,33121,1
ผดุงวิถี,,เลขที่ 204,-09501-,17800000,236,บริษัท โค้วยู่ฮะมอเตอร์ จำกัด สาขามหาสารคาม,043-711322,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,33121,0
ถีนานนท์,,เลขที่ 195,-09503-,19000000,237,ห้างหุ้นส่วนจำกัด กิติ เคาะพ่นสี,088-5901616,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,33121,12
,,เลขที่ 231,-09800-,42950000,238,ห้างหุ้นส่วนจำกัด กุลวัตร-ซักรีด,"432,586,770,857,429,000",44140,แพง,โกสุมพิสัย,มหาสารคาม,28269,11
,,เลขที่ 147,-05801-,14200000,239,ห้างหุ้นส่วนจำกัด กิตติกานวัสดุก่อสร้าง,081-8734981,44150,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,23953,12
นครสวรรค์,,เลขที่ 33/290,-06413-,9066000,240,ร้านแท่นทองคว้านเจียร,(043)743377,44000,ตลาด,เมืองมหาสารคาม,มหาสารคาม,25922,
