คนงานชาย,แรงม้า,เจ้าของข้อมูล,คนงานรวม,เงินทุนรวม,_id,ชื่อชุดข้อมูล,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,แรงม้าตรวจพบ,ไปรษณีย์,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ
4,457,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,8,41000000,62,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท บีเอสจี พลัส จำกัด ,,ทำอาหารสำเร็จรูปสำหรับเลี้ยงสัตว์  หรือการป่น บดพืช เมล็ดพืชกากพืช สำหรับผสมเป็นอาหารสัตว์,457,72150,บางปลาม้า,บางปลาม้า,4,สุพรรณบุรี,บริษัท บีเอสจี พลัส จำกัด
3,473,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,40000000,63,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,เจริญภัณฑ์สามชุก ฟีดมิลส์ (CPS Feed Mill),,ผลิตอาหารสัตว์,473,72130,หนองผักนาก,สามชุก,2,สุพรรณบุรี,บริษัท เจริญภัณฑ์สามชุกฟีดมิลล์ จำกัด
3,99,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,18000000,64,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท แพคโก ฟีด จำกัด,081-6439192,ผลิตอาหารไก่ไข่,99,11000,บ้านแหลม,บางปลาม้า,2,สุพรรณบุรี,บริษัท แพคโก ฟีด จำกัด
6,245.75,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,1500000,65,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท สตาร์ท็อป ฟีด จำกัด,,ผลิตอาหารสัตว์สำหรับเลี้ยงสัตว์น้ำ,245.75,72220,สระยายโสม,อู่ทอง,0,สุพรรณบุรี,บริษัท สตาร์ท็อป ฟีด จำกัด
2,91,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,2,730000,66,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,,531211.0,บดเมล็ดข้าวโพด,91,72110,สองพี่น้อง,สองพี่น้อง,0,สุพรรณบุรี,นายรังสิต สวัสดิ์กิจธำรง
2,105,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,2,720000,67,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,-,081-9367012,ป่นพืชหรือบดพืช เพื่อผสมเป็นอาหารสัตว์,105,72110,บ่อสุพรรณ,สองพี่น้อง,0,สุพรรณบุรี,นายสิทธา รัตนเสรีวัฒน
10,374.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,15000000,68,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ข้าวโพดอาหารสัตว์สุพรรณบุรี จำกัด,095-7877772,ป่นหรือบด พืช เมล็ดพืช เพื่อทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับอาหารสัตว์,0,72160,พลับพลาไชย,อู่ทอง,0,สุพรรณบุรี,บริษัท ข้าวโพดอาหารสัตว์สุพรรณบุรี จำกัด
5,212.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,9000000,69,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท บีฟโปร จำกัด,35508559.0,ฆ่าสัตว์และทำเนื้อสัตว์แช่เย็นและแช่แข็ง กำลังการผลิต โค 3000 ตัว/ปี เนื้อโคแช่เย็นและแช่แข็ง 400 ตัน/ปี,212.5,72120,เขาพระ,เดิมบางนางบวช,0,สุพรรณบุรี,บริษัท บีฟโปร จำกัด
10,475.3,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,20,9000000,70,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ทีเอ็นเค ฟู้ดส์ จำกัด,,ฆ่าสัตว์ปีกและชำแหละไก่,0,72110,ทุ่งคอก,สองพี่น้อง,10,สุพรรณบุรี,บริษัท ทีเอ็นเค ฟู้ดส์ จำกัด
8,99.6,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,13,20000000,71,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท พรีเมี่ยม บีฟ จำกัด,,โรงฆ่าสัตว์และชำแหละเนื้อสัตว์,99.6,11120,หนองหญ้าไซ,หนองหญ้าไซ,5,สุพรรณบุรี,บริษัท พรีเมี่ยม บีฟ จำกัด
114,5553.95,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,199,130000000,72,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท แฮปปี้ ฟาร์ม อะกริบิสซิเนส จำกัด,086-0601021,ฆ่าและชำแหละสุกร,5553.95,72130,หนองผักนาก,สามชุก,85,สุพรรณบุรี,บริษัท แฮปปี้ ฟาร์ม อะกริบิสซิเนส
16,216.63,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,20,23000000,73,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,เจ้ยุหมูอินเตอร์,035-525504,ฆ่าสัตว์,216.63,72000,ดอนกำยาน,เมืองสุพรรณบุรี,4,สุพรรณบุรี,นางสาวยุภามาศ เรืองเดช
10,87.56,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,30,15300000,74,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท จี แอนด์ เอ บราเธอร์ส จำกัด,080-2037748,ถนอมเนื้อสัตว์โดยการอบ เช่น อบรกหมู,87.56,10240,อู่ทอง,อู่ทอง,20,สุพรรณบุรี,บริษัท จี แอนด์ เอ บราเธอร์ส จำกัด
4,453,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,21500000,75,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท แอล.อาร์.เอส ฟู้ด จำกัด,,โรงงานผลิตอาหารสำเร็จรูปจากเนื้อสัตว์ ผัก และผลไม้ และบรรจุในภาชนะที่ปิดสนิท,453,72000,โคกโคเฒ่า,เมืองสุพรรณบุรี,6,สุพรรณบุรี,บริษัท แอล.อาร์.เอส ฟู้ด จำกัด
5,91,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,15,10200000,76,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท สไมล์ บีฟ จำกัด,035-960193,ตัดแต่งเนื้อโคขุน,91,72120,เดิมบาง,เดิมบางนางบวช,10,สุพรรณบุรี,บริษัท สไมล์ บีฟ จำกัด
1176,7955.2,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,2205,79100000,77,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เอฟ แอนด์ เอฟ ฟู้ด จำกัด,01-2538471-3,ไก่ชำแหละ (ทำไก่ย่าง)ฆ่าไก่ และอาหารสัตว์,5362.01,72110,บ่อสุพรรณ,สองพี่น้อง,1029,สุพรรณบุรี,บริษัท เอฟ แอนด์ เอฟ ฟู้ด จำกัด
20,441.315,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,50,20500000,78,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ฟู้ดเดสท์ จำกัด,035-591709,การล้าง ชำแหละ แกะ ต้ม นึ่ง ทอด หรือบดสัตว์ หรือส่วนหนึ่งส่วนใดของสัตว์,441.315,72170,ดอนเจดีย์,ดอนเจดีย์,30,สุพรรณบุรี,บริษัท ฟู้ดเดสท์ จำกัด
5,339.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,7,83967910,79,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงงานผลิตภัณฑ์นมสุพรรณบุรี,035-521655,ทำนมสดพาสเจอร์ไรส์,339.5,72000,สระแก้ว,เมืองสุพรรณบุรี,2,สุพรรณบุรี,สหกรณ์การเกษตรเมืองสุพรรณบุรี
2,267.88,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,3,17875000,80,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงงานผลิตนมพาสเจอร์ไรส์,089-916-4516,ทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการพาสเจอร์ไรส์,267.88,72160,พลับพลาไชย,อู่ทอง,1,สุพรรณบุรี,บริษัท มาตรศรีฟาร์ม จำกัด
4,140.3,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,5,11000000,81,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด กลุ่มผู้เลี้ยงโคนมหนองหญ้าไซ,035-577161,ทำนมพลาสเจอร์ไรส์บรรจุถุงพลาสติก,140.3,72240,หนองหญ้าไซ,หนองหญ้าไซ,1,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด กลุ่มผู้เลี้ยงโคนมหนองหญ้าไซ 
8,130.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,48,14500000,82,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ซองเดอร์ไทย ออร์กานิคฟูด,035-551384,ผลิตอาหาร และผลิตภัณฑ์นม,130.5,72160,หนองโอ่ง,อู่ทอง,40,สุพรรณบุรี,บริษัท ซองเดอร์ไทย ออร์กานิคฟูด จำกัด
3,467.3,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,8500000,83,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด อุดมสุวณี บริวเวอรี่,035 515978,ผลิตน้ำผลไม้ และเครื่องดื่มบำรุงกำลังและทำน้ำดื่ม,467.3,72120,เขาพระ,เดิมบางนางบวช,3,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด อุดมสุวณี บริวเวอรี่
50,475.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,110,162400000,84,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท กรีน ฟิลด์ ฟูด แอนด์ แคนนิ่ง จำกัด,,"ผลิตและแปรรูปผลไม้บรรจุกระป๋อง เช่น ข้าวโพดฝักอ่อน,สับปะรด,มะละกอ,มะม่วง,ลิ้นจี่,ลำใย ผลไม้แห้ง",0,72110,บ่อสุพรรณ,สองพี่น้อง,60,สุพรรณบุรี,บริษัท กรีน ฟิลด์ ฟูด แอนด์ แคนนิ่ง จำกัด
7,82.21,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,18,14900000,85,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ฟู้ดไทย กรุ๊ป จำกัด,,ผลิตและจำหน่าย น้ำมะนาว น้ำผึ้งผสมมะนาว อัญชันผสมมะนาว ชามะนาว น้ำมะขาม,82.21,72160,จรเข้สามพัน,อู่ทอง,11,สุพรรณบุรี,บริษัท ฟู้ดไทย กรุ๊ป จำกัด
1,65.75,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,6,5300000,86,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ชนะชา จำกัด,063-695-6561,ทำอาหารหรือเครื่องดื่มจากผัก พืชหรือผลไม้ และบรรจุในภาชนะที่ปิดผนึกและอากาศเข้าไม่ได้,80.03,72110,ศรีสำราญ,สองพี่น้อง,5,สุพรรณบุรี, บริษัท ชนะชา จำกัด
3,220.05,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,23,18500000,87,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ศรีเมือง 12490,081-7636470,ผลิตผลไม้ดองแช่อิ่ม ศรีเมือง12490,220.05,72000,สนามชัย,เมืองสุพรรณบุรี,20,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ศรีเมือง 12490
5,423.24,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,7,3300000,88,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด แม่เหรียญพร,,ผลิตอาหารจากหัวพืช เช่น แห้วต้ม,423.24,72140,วังยาง,ศรีประจันต์,2,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด แม่เหรียญพร
21,130,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,51,9000000,89,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ท.ชัยวัฒน์ จำกัด,087-8385522,ทำหน่อไม้บรรจุปี๊บ,0,72160,อู่ทอง,อู่ทอง,30,สุพรรณบุรี,บริษัท ท.ชัยวัฒน์ จำกัด
1,441.12,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,11,8500000,90,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท สยาม น้ำทิพย์ จำกัด,,ผลิตและบรรจุน้ำผลไม้ 25%,441.12,72110,เนินพระปรางค์,สองพี่น้อง,10,สุพรรณบุรี,บริษัท สยามน้ำทิพย์ จำกัด
55,452.3,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,115,150000000,91,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท คิงเบลโปรดิวเซอร์ จำกัด,086-3321457,ผลิตผลไม้บรรจุกระป๋องและผลิตปลาบรรจุกระป๋อง ,452.3,72170,ดอนเจดีย์,ดอนเจดีย์,60,สุพรรณบุรี,บริษัท คิงเบลโปรดิวเซอร์ จำกัด
7,62.93,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,31,6700000,92,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท อาหารเสริมบุญทองสุข จำกัด,081-8115864,ผลิตภัณฑ์อาหารเสริม,102.93,72110,ทุ่งคอก,สองพี่น้อง,24,สุพรรณบุรี,บริษัท อาหารเสริมบุญทองสุข จำกัด
25,402.24,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,56,28740000,93,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,โรงงานหน่อไม้เฮียโต,086-7540555,ผลิตหน่อไม้บรรจุปี๊บ,402.24,72160,อู่ทอง,อู่ทอง,31,สุพรรณบุรี,นางพรพิศ ตันจริยานนท์
0,251.32,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,42,16000000,94,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด แม่ละมาย,,ผลิตอาหารและเครื่องดื่มสำเร็จรูปบรรจุในภาชนะผนึก และอากาศเข้าไม่ได้,251.32,72140,วังยาง,ศรีประจันต์,42,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด แม่ละมาย
7,511.72,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,13,18000000,95,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เซนคิทเช่นฟู้ดส์ จำกัด,035-552188,ผลิตและจำหน่ายอาหารสำหรับเด็กทารก อาหารสำหรับผู้ป่วย อาหารบำรุงสุขภาพ,511.72,72160,อู่ทอง,อู่ทอง,6,สุพรรณบุรี,บริษัท เซนคิทเช่นฟู้ดส์ จำกัด
8,340.39,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,21,28000000,96,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท สุพรรณคิวฟู้ดส์ จำกัด,081-9283048,ผลิตอาหาร และเครื่องดื่มสำเร็จรูป บรรจุในภาชนะผนึกและอากาศเข้าไม่ได้,340.39,72140,วังยาง,ศรีประจันต์,13,สุพรรณบุรี,บริษัท สุพรรณคิวฟู้ดส์ จำกัด
18,128.61,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,53,23300000,97,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท เสวยผลไม้แช่อิ่ม จำกัด,035-446990,ผลิตผลไม้ดองและแช่อิ่ม,128.61,72150,สาลี,บางปลาม้า,35,สุพรรณบุรี,บริษัท เสวยผลไม้แช่อิ่ม จำกัด
8,178.75,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,8,1050000,98,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ไอศกรีมสุพรรณบุรี,035-414250,ทำไอศกรีม,178.75,72000,ทับตีเหล็ก,เมืองสุพรรณบุรี,0,สุพรรณบุรี,นาย ชาญศักดิ์ พัฒนกิตติพงษ์
3,291.46,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,7,8800000,99,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด สยามวอเตอร์เพียว,,ทำน้ำแข็งก้อนเล็ก ได้วันละ 20 ตัน,171.46,72000,ไผ่ขวาง,เมืองสุพรรณบุรี,4,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด สยามวอเตอร์เพียว
36,881.55,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,42,4565000,100,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์,589002.0,ผลิตอาหารสัตว์,881.55,72110,ทุ่งคอก,สองพี่น้อง,6,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด ซี.ซี.ฟู้ดแลนด์
10,82.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,10,420000,101,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,ห้างหุ้นส่วนจำกัด เชียงเส็งอาหารสัตว์,531119.0,ทำอาหารสัตว์,82.5,72110,สองพี่น้อง,สองพี่น้อง,0,สุพรรณบุรี,ห้างหุ้นส่วนจำกัด เชียงเส็งอาหารสัตว์
28,1306.5,สำนักงานอุตสาหกรรมจังหวัดสุพรรณบุรี,50,9000000,102,โรงงานและสถานประกอบการที่แปรรูปได้มาตรฐาน,บริษัท ตะวันบอตต์ แอนด์ แคน จำกัด,578090.0,ผลิตพืชกระป๋อง ผลไม้กระป๋อง และเครื่องดื่มบรรจุกระป๋อง,1306.5,72120,เดิมบาง,เดิมบางนางบวช,22,สุพรรณบุรี,บริษัท ตะวันบอนต์ แอนด์ แคน จำกัด
