เงินทุนรวม,ประกอบกิจการ,อำเภอ,ถนน,ซอย,FID,คนงาน,ลำดับ,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,ตำบล,ผู้ประกอบการ,_id,เลขทะเบียนเดิม,ชื่อโรงงาน
90000000,นำกระดาษที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อใช้เป็นวัตถุดิบ สำหรับโรงงานทำกระดาษ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำเม็ดพลาสติกและทำแผ่นพลาสติก,บางเสาธง,บางนา-ตราด,วัดบางเสาธง,10110003025496,40,217,10540,สมุทรปราการ,11,เลขที่ 30/11,2866,0 2385 1131,บางเสาธง,บริษัท ไฟเบอร์พัฒน์ จำกัด,217,3-106-30/49สป,บริษัท ไฟเบอร์พัฒน์ จำกัด
22500000,บดย่อยเศษและตะกรันโลหะผสม (Solder Dross) จากการบัดกรีและชุบขาวงจร อิเล็กทรอนิกส์ และอัดเศษโลหะปนเปื้อนน้ำมัน,พระประแดง,-,-,10110003025520,7,218,10130,สมุทรปราการ,8,เลขที่ -,60,,สำโรงใต้,บริษัท ธนาคูณโลหะ จำกัด,218,3-106-30/52สป,บริษัท ธนาคูณโลหะ จำกัด
17000000,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้ว ทำน้ำมันไบโอดีเซลจากน้ำมันพืชที่ใช้แล้วและน้ำมันสัตว์ที่ใช้แล้ว,พระสมุทรเจดีย์,สุขสวัสดิ์,วัดใหญ่,10110003025538,7,219,10290,สมุทรปราการ,5,เลขที่ 20/14,228.08,,ในคลองบางปลากด,บริษัท น้ำมันดีไทย กำจัด,219,3-106-30/53สป,บริษัท น้ำมันดีไทย จำกัด
3327000,สกัดทองคำและเงินจากกากอุตสาหกรรม ,เมืองสมุทรปราการ,-,-,10110003025587,4,220,10250,สมุทรปราการ,7,เลขที่ 522,116.89,,บางปูใหม่,บริษัท โกลด์ ฟิลด์ รีไฟเนอรี จำกัด,220,3-106-30/58สป,บริษัท โกลด์ ฟิลด์ รีไฟเนอรี จำกัด
550000,ซ่อมถัง ล้างถังบรรจุสารเคมี ด้วยตัวทำละลายนำกลับมาใช้ใหม่,เมืองสมุทรปราการ,สุขุมวิท,,10110003225484,6,221,10280,สมุทรปราการ,5,เลขที่ 236/4,37.5,0-2702-2782,ท้ายบ้านใหม่,บริษัท แสงรุ่งเรือง สตีลดรัม จำกัด,221,3-106-32/48สป,บริษัท แสงรุ่งเรือง สตีลดรัม จำกัด
15000000,ทำเชื้อเพลิงผสม (Blending) จากน้ำมันหล่อเย็น วัสดุปนเปื้อนน้ำมันและตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มี การแปรสภาพ ทำเชื้อเพลิงทดแทน ล้างบรรจุภัณฑ์ด้วยตัวทำละลาย นำกากตะกอนจากอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์ ที่มีโลหะมีค่ามาผ่านกระบวนการอบแห้งเพื่อส่งออก บดย่อยเศษพลาสติกที่ชุบสีหรือเคลือบผิว บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ ทำเม็ดพลาสติกเกรดบี คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป,เมืองสมุทรปราการ,แพรกษา,-,10110003225542,12,222,10280,สมุทรปราการ,4,เลขที่ 333/9,729,,แพรกษา,บริษัท บี.ซี.แอล.ซัพพลาย จำกัด,222,3-106-32/54สป,บริษัท บี.ซี.แอล.ซัพพลาย จำกัด
11000000,ผลิตเชื้อเพลิงทดแทนจากน้ำมันใช้แล้ว โดยผ่านกรรมวิธีแยกน้ำและตะกอน,พระประแดง,สุขสวัสดิ์,สุขสวัสดิ์ 78 แยก 5,10110003425571,4,223,10130,สมุทรปราการ,7,เลขที่ 31/7,314.4,0 2817 7980,บางจาก,ห้างหุ้นส่วนจำกัด ไทย แอ๊ดวานซ์ เอเนอร์ยี่,223,3-106-34/57สป,ห้างหุ้นส่วนจำกัด ไทย แอ๊ดวานซ์ เอเนอร์ยี่
5000000,บดย่อยชิ้นส่วนอุปกรณ์อิเล็คทรอนิกส์และตะกรันเหล็ก และคัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,พุทธรักษา,-,10110003625543,15,224,10280,สมุทรปราการ,1,เลขที่ 279,720,,แพรกษา,ห้างหุ้นส่วนจำกัด กวิน.พี.เอ.อินดัสทรี,224,3-106-36/54สป,ห้างหุ้นส่วนจำกัด กวิน.พี.เอ.อินดัสทรี
4500000,ซ่อมและล้างบรรจุภัณฑ์,เมืองสมุทรปราการ, -,เจ็กปัง (18/1),10110003725491,7,225,10280,สมุทรปราการ,4,เลขที่ 998,149,,ท้ายบ้าน,บริษัท สุพาชัย แท้งค์ เทรดดิ้ง จำกัด,225,3-106-37/49สป,บริษัท สุพาชัย แท้งค์ เทรดดิ้ง จำกัด
7600000,ซ่อมและทำความสะอาดบรรจุภัณฑ์โลหะ และพลาสติกปนเปื้อน,พระประแดง,,,10110003725616,9,226,10130,สมุทรปราการ,4,"เลขที่ โฉนดที่ดินเลขที่ 102251, 257487",120,,สำโรง,นางสาวรัชนี เตชะพูลผล,226,3-106-37/61สป,นางสาวรัชนี เตชะพูลผล
2078650,นำอุปกรณ์ฟอกไอเสียรถยนต์ (Catalytic converter) ที่ใช้แล้วนำมาบดให้เป็นผง,บางเสาธง,เทพารักษ์,นิคมเอ็มไทย,10110003825580,2,227,10240,สมุทรปราการ,1,เลขที่ 204/951,28.1,090 6148 583,บางเสาธง,บริษัท อาร์แอลซี รีไซคลิ่ง จำกัด,227,3-106-38/58สป,บริษัท อาร์แอลซี รีไซคลิ่ง จำกัด
10000000,บดย่อยวัตถุดิบเพื่อผลิตเชื้อเพลิงอัดแข็งจากวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษโฟม เศษกระดาษ เศษไม้ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางพลี,,,10110003825614,9,228,10540,สมุทรปราการ,9,เลขที่ 118/8,95,,บางปลา,บริษัท ชวินโรจน์ โฟม จำกัด,228,3-106-38/61สป,บริษัท ชวินโรจน์ โฟม จำกัด
11500000,นำน้ำมันและตัวทำละลายใช้แล้วมาผลิตเชื้อเพลิงทดแทน บดย่อยเศษและตะกรันทองเหลืองและอลูมิเนียม รวบรวมแบตเตอรี่ที่ใช้แล้ว และนำพลาสติกที่ใช้แล้วมาผลิตเม็ดพลาสติก,พระสมุทรเจดีย์,ท่าพระ-บ้านล่าง,-,10110103925520,11,229,10290,สมุทรปราการ,3,เลขที่ 688,213,,บ้านคลองสวน,บริษัท ซี.พี.เอส.รีไซเคิล จำกัด,229,3-106-39/52สป,บริษัท ซี.พี.เอส.รีไซเคิล จำกัด
10000000,"ดัดแปลง ปรับปรุง ซ่อมแซม รีไซเคิล ถัง ยาง และพลาสติก, ผลิตน้ำมันผสมยาง น้ำมันหยอดทิ้ง และเชื้อเพลิงทดแทนจากน้ำมันใช้แล้ว, คัดแยกวัสดุไม่ใช้แล้ว อัดเศษโลหะ เศษกระดาษ",พระสมุทรเจดีย์,สุขสวัสดิ์,วัดคู่สร้าง,10110100425482,11,230,10290,สมุทรปราการ,6,เลขที่ 167/3,230,0-2461-1848,ในคลองบางปลากด,บริษัท น่ำเฮงฮวด อินดัสตรี้ จำกัด,230,3-106-4/48สป,บริษัท น่ำเฮงฮวด อินดัสตรี้ จำกัด
15000000,นำตะกรันเหล็กมาผ่านกรรมวิธีบดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในอุตสาหกรรมหลอมโลหะ,บางบ่อ,สุขุมวิท,,10110100425532,10,231,10550,สมุทรปราการ,12,เลขที่ 436,495,,คลองด่าน,บริษัท กวิน เอส.อินดัสทรี่ จำกัด,231,3-106-4/53สป,บริษัท กวิน เอส. อินดัสทรี่ จำกัด
4000000,ทำเม็ดพลาสติกเกรดบี คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบ่อ,บางนา-ตราด กม.35,นิยม-เกาะแก้ว,10110200425549,27,232,10560,สมุทรปราการ,1,เลขที่ 33,519.27,,คลองนิยมยาตรา,นายสุพจน์ เจริญโรจน์ศิริกุล,232,3-106-4/54สป,
23000000,ซ่อมและล้างถังโลหะที่ใช้แล้วด้วยตัวทำละลาย ผลิตเชื้อเพลิงทดแทนจากน้ำมันและตัวทำละลายที่ใช้แล้ว และผลิตน้ำมันทาไม้แบบจากน้ำมันที่ใช้แล้ว โดยกรรมวิธีการผลิตทางอุตสาหกรรมที่ไม่ให้ความร้อน,พระประแดง,ปู่เจ้าสมิงพราย,ปู่เจ้าสมิงพราย 5 (บุญล้อม),10110100425581,25,233,10130,สมุทรปราการ,10,เลขที่ 206 ,147,,สำโรงใต้,บริษัท แอล.ซี.สตีลดรัมแฟคเตอรี่ จำกัด,233,3-106-4/58สป,บริษัท แอล.ซี.สตีลดรัมแฟคเตอรี่ จำกัด
3500000,ล้างถังโลหะบรรจุภัณฑ์ด้วยตัวทำละลาย,เมืองสมุทรปราการ,สุขุมวิท,เทศบาลบางปู111,10110100425615,7,234,10280,สมุทรปราการ,1,เลขที่ 567/1,40,,บางปู,บริษัท เอสทีซี รีไซเคิล จำกัด,234,3-106-4/61สป,บริษัท เอสทีซี รีไซเคิล จำกัด
1300000,บดย่อยชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ ได้แก่ แผงวงจรอิเล็กทรอนิกส์ ฮาร์ดดิสก์,บางพลี,เทพารักษ์,-,10110004025586,12,235,10540,สมุทรปราการ,9,เลขที่ 117/43,30.15,02-7063388,บางปลา,บริษัท จี.อี.เทรดดิ้ง จำกัด,235,3-106-40/58สป,บริษัท จี.อี.เทรดดิ้ง จำกัด
48250000,ผลิตน้ำมันเชื้อเพลิง (Pyrolysis Oil) จากการแปรรูปขยะพลาสติก,บางเสาธง,เสาธง-บัวโรย-ละมูลรอดศิริ,สามัคคีสำเร็จ,10110004025602,12,236,10570,สมุทรปราการ,11,เลขที่ โฉนดที่ดินเลขที่ 9792,1900,,บางเสาธง,บริษัท วี.เอ. เอเนอร์จี จำกัด,236,3-106-40/60สป,บริษัท วี.เอ. เอเนอร์จี จำกัด
8000000,รีไซเคิลจอมอนิเตอร์แบบ LCD (Liquid Crystal Display) และบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,บางพลี,-,-,10110004125584,10,237,10270,สมุทรปราการ,21,เลขที่ 888/8,153.35,,บางพลีใหญ่,บริษัท โอ.จี.ไอ จำกัด,237,3-106-41/58สป,บริษัท โอ.จี.ไอ จำกัด
165000000,ผลิตน้ำมันเชื้อเพลิงจากเศษพลาสติกเก่าโดยวิธี (Pyrolysis),บางพลี,เทพารักษ์,-,10110004225608,30,238,10570,สมุทรปราการ,9,เลขที่ 117/45,4491.2,,บางปลา,บริษัท ทรี นิวเอเบิ้ล จำกัด,238,3-106-42/60สป,บริษัท ทรี นิวเอเบิ้ล จำกัด
165000000,ผลิตโปรตีนจากเศษขี้หนังสัตว์โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,เมืองสมุทรปราการ,สุขุมวิท,เขตประกอบการฟอกหนัง กม.34,10110104325605,56,239,10280,สมุทรปราการ,6,"เลขที่ โฉนดที่ดินเลขที่ 12056,269435,27386,36924",3206.4,0 2323 2754,บางปูใหม่,บริษัท อินเตอร์ไฮด์ จำกัด (มหาชน),239,3-106-43/60สป,บริษัท อินเตอร์ไฮด์ จำกัด (มหาชน)
8600000,ซ่อมและทำความสะอาดบรรจุภัณฑ์โลหะ และพลาสติกปนเปื้อน,พระประแดง,,,10110004325614,9,240,10130,สมุทรปราการ,9,เลขที่ 555,120,,สำโรง,นายวีรวิทย์ วังทองสุขสิริ,240,3-106-43/61สป,นายวีรวิทย์ วังทองสุขสิริ
23000000,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว,พระประแดง,สุขสวัสดิ์,สุขสวัสดิ์ 76,10110004425570,10,241,10130,สมุทรปราการ,3,เลขที่ 189,748,,บางจาก,บริษัท สยาม ปิโตรเทค จำกัด,241,3-106-44/57สป,บริษัท สยาม ปิโตรเทค จำกัด
12100000,บดย่อยเครื่องใช้ไฟฟ้าและชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วเพื่อนำกลับมาใช้ประโยชน์ใหม่,บางพลี,เทพารักษ์,ธนสิทธิ์,10110004525593,7,242,10120,สมุทรปราการ,19,เลขที่ 79/29,100,,บางพลีใหญ่,บริษัท นีค อินเตอร์ คอร์ปอเรชั่น จำกัด,242,3-106-45/59สป,บริษัท นีค อินเตอร์ คอร์ปอเรชั่น จำกัด
32000000,ทำเชื้อเพลิงทดแทนจากน้ำมันปนเปื้อนและน้ำมันที่ใช้แล้ว,เมืองสมุทรปราการ,พุทธรักษา,แพรกษา 10/2,10110004625591,12,243,10260,สมุทรปราการ,,เลขที่ โฉนดที่ดินเลขที่ 321905,2959.98,,แพรกษา,บริษัท เอ็นเนอจี ซัพพลาย แอนด์ แมเนจเมนท์ จำกัด,243,3-106-46/59สป,บริษัท เอ็นเนอจี ซัพพลาย แอนด์ แมเนจเมนท์ จำกัด
1890000,ซ่อมและทำความสะอาดถังเก่า,เมืองสมุทรปราการ,สุขุมวิท,วิทยุการบิน,10110004725474,17,244,10280,สมุทรปราการ,5,เลขที่ 909/3,40,0-2707-9414,ท้ายบ้านใหม่,ห้างหุ้นส่วนจำกัด ภูริทัต โปรดัคส์,244,3-106-47/47สป,ห้างหุ้นส่วนจำกัด ภูริทัต โปรดัคส์
11000000,รับจ้างซ่อมแซมและทำภาชนะบรรจุ เช่น ถังเหล็ก ล้าง ภาชนะบรรจุ เช่น ถังเหล็กบรรจุน้ำมันเครื่อง กาว เรซิน ตัวทำละลาย สี ฯลฯ,เมืองสมุทรปราการ,สุขุมวิทสายเก่า,บางปู เอส เอ็ม อี,10110004925470,10,245,10280,สมุทรปราการ,7,เลขที่ 322,110,02-3232286,บางปูใหม่,ห้างหุ้นส่วนจำกัด พิม กรุ๊ป,245,3-106-49/47สป,ห้างหุ้นส่วนจำกัด พิม กรุ๊ป
64500000,ซ่อมแซม ตรวจสอบ และล้างถังเหล็กขนาดใหญ่ (ISO Tank),บางบ่อ,บางนา-ตราด,-,10110004925603,10,246,10560,สมุทรปราการ,5,เลขที่ 94,596.54,,บ้านระกาศ,บริษัท มนตรี แทงค์ แอนด์ ทรัค เซอร์วิส จำกัด,246,3-106-49/60สป,บริษัท มนตรี แทงค์ แอนด์ ทรัค เซอร์วิส จำกัด
15725000,ปรับปรุงคุณภาพน้ำมันที่ใช้แล้วเพื่อใช้เป็นเชื้อเพลิงทดแทน และปรับปรุงคุณภาพของเสียประเภทต่าง ๆ (Solid Blending) เพื่อใช้เป็นวัตถุดิบทดแทนโรงปูนซีเมนต์,เมืองสมุทรปราการ,พุทธรักษา,ศรีวิลัย,10110000525480,12,247,10280,สมุทรปราการ,6,เลขที่ 269,141.36,,แพรกษา,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด,247,3-106-5/48สป,บริษัท เอ็น-เทคโนโลยี คอนซัลแตนท์ จำกัด
8000000,ซ่อมและล้างบรรจุภัณฑ์,บางเสาธง,เทพารักษ์ กม.22,ไทยประกันซอย 3/1,10110000525514,6,248,10540,สมุทรปราการ,1,เลขที่ 128/677,27,02 7063865,บางเสาธง,บริษัท สินวัฒนา ค้าถัง จำกัด,248,3-106-5/51สป,บริษัท สินวัฒนา ค้าถัง จำกัด
189000000,ผลิตน้ำมันเชื้อเพลิงจากเศษพลาสติกเก่าโดยวิธี Pyrolysis,เมืองสมุทรปราการ,แพรกษา,-,10110200525587,30,249,10250,สมุทรปราการ,5,เลขที่ -,1551,,แพรกษาใหม่,บริษัท อีสเทิร์น เอเนอร์จี้ พลัส จำกัด,249,3-106-5/58สป,บริษัท อีสเทิร์น เอเนอร์จี้ พลัส จำกัด
2900000,รีไซเคิลจอมอนิเตอร์แบบ LCD (Liquid Crystal Display) และบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,เมืองสมุทรปราการ,พุทธรักษา,,10110005025619,306,250,10280,สมุทรปราการ,3,เลขที่ 636/9,522,09 0410 0066,แพรกษา,บริษัท ทีซีเอ เมทัล จำกัด,250,3-106-50/61สป,บริษัท ทีซีเอ เมทัล จำกัด
17000000,กรองน้ำมันพืชหรือน้ำมันจากสัตว์ที่ใช้แล้วเพื่อนำไปเป็นส่วนผสมอาหารสำหรับสัตว์ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,บางพลี-ตำหรุ,กาญจนพันธ์,10110105525609,11,251,10280,สมุทรปราการ,2,เลขที่ 798,180,,แพรกษาใหม่,บริษัท เอแอนด์อาร์ รีช เอ็นเตอร์ไพร์ส จำกัด,251,3-106-55/60สป,บริษัท เอแอนด์อาร์ รีช เอ็นเตอร์ไพร์ส จำกัด
10000000,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว ทำเชื้อเพลิงผสม (Blending) จากเศษผ้าปนเปื้อนน้ำมัน วัสดุดูดซับ กากตะกอนน้ำมัน กากสี บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะ ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองสมุทรปราการ,พุทธรักษา,-,10110005725531,17,252,10280,สมุทรปราการ,2,เลขที่ 245/1,149,,แพรกษาใหม่,บริษัท ที.วี.เอส. เทรดดิ้ง เซ็นเตอร์ จำกัด,252,3-106-57/53สป,บริษัท ที.วี.เอส. เทรดดิ้ง เซ็นเตอร์ จำกัด
30000000,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษเหล็ก เศษทองแดง เศษทองเหลือง เศษกระดาษ และทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว,บางพลี,เทพารักษ์,-,10110105825538,22,253,10540,สมุทรปราการ,4,เลขที่ 25/7,266,0 23855092-3,บางพลีใหญ่,บริษัท โลหะทวีโชค จำกัด,253,3-106-58/53สป,บริษัท โลหะทวีโชค จำกัด
22293950,นำโลหะบัดกรีชนิดไม่มีสารตะกั่วมาแยกสกัดดีบุกบริสุทธิ์และหลอมเป็นแท่งดีบุก,บางพลี,ตำหรุ-คลองเก้า,-,10110105825603,15,254,10540,สมุทรปราการ,13,เลขที่ 25/5,416.07,,บางปลา,บริษัท สุวรรณภูมิดีบุก จำกัด,254,3-106-58/60สป,บริษัท เอส เอ็น รีไฟเนอร์ จำกัด
105000000,รีไซเคิลน้ำมันหล่อลื่นและน้ำมันเครื่องที่ใช้แล้วเพื่อมาผลิตเป็น น้ำมันหยอดทิ้งและน้ำมันทาแบบ,บางพลี,กิ่งแก้ว,กิ่งแก้ว 33 (กิ่งทอง),10110100625552,7,255,10540,สมุทรปราการ,11,เลขที่ 90,16.5,02 7388080-2,ราชาเทวะ,บริษัท เอ เค เค อิเตอร์เนชั่นแนล แอนด์ คอร์ปอเรชั่น จำกัด,255,3-106-6/55สป,บริษัท เอ เค เค อินเตอร์เนชั่นแนล แอนด์ คอร์ปอเรชั่น จำกัด
154000000,ทำสารปรับปรุงดินจากของเสียโรงงานอุตสาหกรรมที่ไม่เป็นของเสียอันตราย ได้แก่ ตะกอนชีวภาพ ขี้เถ้าชีวมวล และเศษผักผลไม้จากโรงงานเกี่ยวกับอาหาร,เมืองสมุทรปราการ,แพรกษา,ขจรวิทย์,10110200625585,23,256,10250,สมุทรปราการ,5,เลขที่ -,686,,แพรกษาใหม่,บริษัท อีสเทิร์น เอเนอร์จี้ พลัส จำกัด,256,3-106-6/58สป,บริษัท อีสเทิร์น เอเนอร์จี้ พลัส จำกัด
13500000,ล้างและซ่อมแซมบรรจุภัณฑ์พลาสติกและโลหะ ผลิตเชื้อเพลิงผสมจากน้ำมันและตัวทำละลายใช้แล้ว,บางพลี,ตำหรุ-บางพลี,รัตนะโชค 12,10110006025600,14,257,10540,สมุทรปราการ,12,เลขที่ 105/1-2,50.75,09 2493 5626,บางปลา,บริษัท ชัยทวีทรัพย์ รีไซเคิล จำกัด,257,3-106-60/60สป,บริษัท ชัยทวีทรัพย์ รีไซเคิล จำกัด
6940000,ซ่อมและล้างบรรจุภัณฑ์ ด้วยตัวทำละลาย คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางบ่อ,ทางหลวงชนบท สป.100,-,10110006225531,16,258,10560,สมุทรปราการ,6,เลขที่ ,46,0 2192 0611-2,บางเพรียง,บริษัท เอวัน พลัส พรีเมี่ยม (ประเทศไทย) จำกัด,258,3-106-62/53สป,บริษัท เอวัน พลัส พรีเมี่ยม (ประเทศไทย) จำกัด
95000000,นำเศษผักและเศษผลไม้มาผ่านกรรมวิธีการผลิต เพื่อผลิตสารสกัด เช่น เศษมังคุด เศษแครอท เศษขิง เศษมะขาม เศษขมิ้น,บางพลี,บางพลี-ตำหรุ,,10110006325612,94,259,10540,สมุทรปราการ,12,"เลขที่ 88/92, 88/94-95",371.4,08 9500 2128,บางปลา,นางกัญญา ประยูรพัฒน์,259,3-106-63/61สป,นางกัญญา ประยูรพัฒน์
4830000,นำเศษยางที่เป็นสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว มาผ่านกรรมวิธีการผลิตทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์ใหม่,บางบ่อ,เคหะ-ลาดหวาย,,10110006825603,8,260,10560,สมุทรปราการ,6,เลขที่ 122/42,133.04,,บางเพรียง,บริษัท สร้างเสริญ แมชชีนเนอรี่ จำกัด,260,3-106-68/60สป,บริษัท สร้างเสริญ แมชชีนเนอรี่ จำกัด
1300000,เกี่ยวกับการนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้ว หรือของเสียจากโรงงานประเภทสารละลายหรือเคมีภัณฑ์มาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เพื่อนำกลับมาใช้ใหม่ รับจ้างทำ ซ่อมและล้างถังหรือภาชนะบรรจุ,บางพลี,เทพารักษ์,ทรัพย์โสภณ,10110000725486,12,261,10540,สมุทรปราการ,9,เลขที่ 118/2,309,0-9921-2563,บางปลา,บริษัท จตุพร รีไซเคิล จำกัด,261,3-106-7/48สป,บริษัท จตุพร รีไซเคิล จำกัด
32800000,ซ่อมและล้างถังบรรจุเคมีที่ใช้แล้วด้วยตัวทำละลาย ทำเชื้อเพลิงผสมจากน้ำมันหล่อลื่นและสารละลายที่ใช้แล้ว คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก โลหะ กระดาษ ผ้า,เมืองสมุทรปราการ,พุทธรักษา,แพรกษา,10110100725493,13,262,10280,สมุทรปราการ,4,เลขที่ 784,428.95,,แพรกษา,บริษัท ที.พี.พี (1998) จำกัด,262,3-106-7/49สป,บริษัท ที.พี.พี (1998) จำกัด
10000000,ผลิตซิลิโคนออยล์จากวัสดุที่ไม่ใช้แล้ว,เมืองสมุทรปราการ,สุขุมวิท,-,10110100725592,5,263,10280,สมุทรปราการ,6,เลขที่ 789,1987.73,,บางปูใหม่,บริษัท แปซิฟิค รีนิวเอเบิ้ล โปรดักส์ จำกัด,263,3-106-7/59สป,บริษัท แปซิฟิค รีนิวเอเบิ้ล โปรดักส์ จำกัด
11200000,ผลิตซิลิโคนออยล์จากซิลิโคนชนิดแข็งที่ไม่เป็นของเสียอันตราย,บางพลี,,,10110007625606,30,264,10540,สมุทรปราการ,12,เลขที่ 88/42,2306,,บางปลา,บริษัท เอ็น.ซี.สยามเอ็นเนอร์ยี่ จำกัด,264,3-106-76/60สป,บริษัท เอ็น.ซี.สยามเอ็นเนอร์ยี่ จำกัด
5700000,นำกากสี กาว เรซิ่น และตัวทำละลายที่ใช้แล้วมาผลิตเป็นสีกันสนิมเกรดบี นำน้ำมันหล่อลื่นและตัวทำละลายที่ใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ ซ่อมและล้างถังบรรจุภัณฑ์ เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ,บางเสาธง,เทพารักษ์,ไทยประกัน,10110000825518,7,265,10540,สมุทรปราการ,15,เลขที่ 739/1,19,,บางเสาธง,บริษัท ถังสยามโลหะกิจ จำกัด,265,3-106-8/51สป,บริษัท ถังสยามโลหะกิจ จำกัด
19200000,บดย่อยเศษตะกรันโลหะ และอัดเศษโลหะต่าง ๆ เช่น เหล็ก ทองแดง อลูมิเนียม เป็นต้น,บางพลี,เทพารักษ์,-,10110000925532,8,266,10540,สมุทรปราการ,9,เลขที่ 89/8-9,45,,บางปลา,บริษัท บางปลา รีไซเคิล จำกัด,266,3-106-9/53สป,บริษัท บางปลา รีไซเคิล จำกัด
23000000,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,บางพลี,บางพลี-ตำหรุ,,10110000925615,6,267,10280,สมุทรปราการ,12,เลขที่ โฉนดที่ดินเลขที่ 141207,132,,บางปลา,นายไชยพงศ์ ศรีเปรมอนันต์,267,3-106-9/61สป,-
7000000,นำใยมะพร้าวมาอัดแผ่นเพื่อนำไปใช้เป็นวัตถุดิบ,บางพลี,ตำหรุ-บางพลี,,10110009025607,10,268,10120,สมุทรปราการ,12,เลขที่ โฉนดที่ดินเลขที่ 99900,1418,,บางปลา,บริษัท ออแกนิค โคโค่ จำกัด,268,3-106-90/60สป,บริษัท ออแกนิค โคโค่ จำกัด
13695000,ปรับคุณภาพน้ำเสียรวม ขนาด 650.00 ลบม./วัน,บางพลี,บางนา-ตราด กม.16,,91030000125614,3,269,10540,สมุทรปราการ,1,เลขที่ 4/3,170.4,02.325-8000,บางโฉลง,บริษัท ไทยซัมมิท โอโตพาร์ท อินดัสตรี จำกัด,269,ข3-101-1/61สป,บริษัท ไทยซัมมิท โอโตพาร์ท อินดัสตรี จำกัด
0,ปรับคุณภาพน้ำเสียรวม,เมืองสมุทรปราการ,สุขุมวิท ,ฟอกหนัง กม.34,91630000225361,15,270,10280,สมุทรปราการ,6,เลขที่ 223/2,577.4,,บางปูใหม่,บริษัท เขตประกอบการอุตสาหกรรมฟอกหนัง กม.34 จำกัด,270,ข3-101-2/36สป,เขตประกอบการอุตสาหกรรมฟอกหนังกม.34 บจก.
33000000,ปรับคุณภาพน้ำเสียรวม,เมืองสมุทรปราการ,สุขุมวิท กม.30,ฟอกหนัง กม.30,91620000325360,15,271,10280,สมุทรปราการ,1,เลขที่ 1/5,1493,,ท้ายบ้าน,บริษัท เขตประกอบการอุตสาหกรรมฟอกหนัง กม.30 จำกัด,271,ข3-101-3/36สป,บริษัท เขตประกอบการอุตสาหกรรมฟอกหนัง กม.30 จำกัด
