ตำบล,ประกอบกิจการ,คนงานรวม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,GPSlat,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPSlong,เงินทุนรวม
สามพราน,ผลิตยางแผ่น สายพานยาง สายพานลำเลียง วัตถุ ทำด้วยยาง,60,เพชรเกษม,เลขที่ 8/1,54,นครปฐม,,3,บริษัท โกลบอล รับเบอร์ อินดัสเทรียล จำกัด,13.69883333,วัดโรมัน,บริษัท โกลบอล รับเบอร์ อินดัสเทรียล จำกัด,73110,6,330,สามพราน,100.2170667,15500000
คลองใหม่,ยางหุ้มท่อ,22,-,เลขที่ 107/1,20,นครปฐม,034-311119,2,บริษัท แอล แอล เอส เอ็นจิเนียริ่ง จำกัด,13.74796667,-,บริษัท แอล แอล เอส เอ็นจิเนียริ่ง จำกัด,73110,2,331,สามพราน,100.1845,15000000
บางเลน,ผลิตภัณฑ์ยาง เช่น ท่อหม้อน้ำรถยนต์ สายน้ำมัน ยางแท่นเครื่องฯลฯ,0,,เลขที่ 161/1,0,นครปฐม,,7,บริษัท โกลเบิล รับเบอร์ พาร์ท จำกัด,14.01807,,บริษัท โกลเบิล รับเบอร์ พาร์ท จำกัด,73130,0,332,บางเลน,100.20375,7600000
ขุนแก้ว,ผลิตรองเท้าฟองน้ำ,65,พุทธมณฑลสาย 7,เลขที่ 20/17,35,นครปฐม,129190,3,บริษัท ไทยอารีแมนูเฟคเจอร์ จำกัด,13.78667982,,บริษัท ไทยอารีเมนูเฟคเจอร์ จำกัด,73120,30,333,นครชัยศรี,100.2298734,4500000
ห้วยพระ,ทำผลิตภัณฑ์จากยาง เช่น กระเป็าน้ำร้อน,80,,เลขที่ 26,25,นครปฐม,,6,บริษัท ที.ที.สหอินเตอร์ จำกัด,13.90456667,,บริษัท ที.ที.สหอินเตอร์ จำกัด,73150,55,334,ดอนตูม,100.0689167,26200000
วัดละมุด,ทำชิ้นส่วนยางต่าง ๆ กำลังการผลิตเพิ่มขึ้นอีก 72 ตัน/ปี รวมเป็น 120 ตัน/ปี,60,นครชัยศรี-ดอนตูม,เลขที่ 47,25,นครปฐม,389389,2,บริษัท โรงงาน อ.ยางไทย 1992 จำกัด,13.8739,,บริษัท โรงงาน อ.ยางไทย 1992 จำกัด,73120,35,335,นครชัยศรี,100.1992333,4500000
อ้อมใหญ่,ทำพื้นรองเท้า,25,เพชรเกษม,เลขที่ 89/4,10,นครปฐม,,8,บริษัท ศรีอุดมชัย รับเบอร์ จำกัด,13.7104,,บริษัท ศรีอุดมชัย รับเบอร์ จำกัด,73160,15,336,สามพราน,100.2808167,20200000
อ้อมใหญ่,ทอผ้าใบพลาสติก ผ้าพลาสติก ทำถุงปุ๋ยพลาสติก และทำพลาสติกเป็นเม็ดหรือรูปทรงต่าง ๆ,650,เพชรเกษม,"เลขที่ 33/8, 33/11",380,นครปฐม,4200447,4,บริษัท โรงงานลักกี้สตาร์การทอ จำกัด,13.71216667,,บริษัท โรงงานลักกี้สตาร์การทอ จำกัด,73160,270,337,สามพราน,100.2642333,1789007800
ไร่ขิง,ทำเครื่องใช้พลาสติก เช่น ตะกร้อพลาสติก,289,เพชรเกษม,เลขที่ 42/58,189,นครปฐม,4203925,5,บริษัท เสถียรอุตสาหกรรม จำกัด,13.7184,ศรีเสถียร,,73210,100,338,สามพราน,100.2704833,55000000
อ้อมใหญ่,ทำภาชนะต่าง ๆ จากพลาสติก,65,อ้อมใหญ่,เลขที่ 23/396,27,นครปฐม,,8,บริษัท เอ.บี.พี. อุตสาหกรรมพลาสติก จำกัด,13.69876667,พงษ์ศิริชัย 2,บริษัท เอ.บี.พี. อุตสาหกรรมพลาสติก จำกัด,73160,38,339,สามพราน,100.2768833,10500000
บางเตย,ผลิตพลาสติคผสมสำหรับใช้เป็นวัตุดิบในการผลิตพลาสติก เช่น สีเม็ด พลาสติกคอมปาวน์ และ ผลิตผลิตภัณฑ์พลาสติก,45,ปิ่นเกล้า-นครชัยศรี,เลขที่ 90,36,นครปฐม,02-8894576,1,บริษัท เบสท์ พลาสติก เทคโนโลยีจำกัด,13.77908333,บางเตย 2,บริษัท เบสท์ พลาสติก เทคโนโลยี จำกัด,73210,9,340,สามพราน,100.2863833,26000000
ไร่ขิง,"ผลิตเครื่องมือเครื่องใช้และเครื่องเรือนจากพลาสติก เช่น พาเลท, โต๊ะ, เก้าอี้",110,-,เลขที่ 103,55,นครปฐม,07-4050114,13,บริษัท ไมด้า พลาสท์เทค จำกัด,13.75013333,-,บริษัท ไมด้า พลาสท์เทค จำกัด,73210,55,341,สามพราน,100.28975,12200113
กระทุ่มล้ม,ทำเครื่องใช้พลาสติก เช่น ด้ามเตารีดเบกเกอร์ไลท์,10,พุทธมณฑลสาย 4,เลขที่ 49/1,10,นครปฐม,2229070,5,บริษัท ยู บี เอฟ จำกัด,13.72588333,,บริษัท ยู บี เอฟ จำกัด,73220,0,342,สามพราน,100.3347833,3680000
อ้อมใหญ่,ผลิตสายยางพลาสติก พี.วี.ซี.,50,เพชรเกษม,เลขที่ 166/1,50,นครปฐม,4201741,8,บริษัท บางกอก บี.พี.ไปป์ จำกัด,13.70566667,กังวาล 2,บริษัท บางกอก บี.พี.ไปป์ จำกัด,73160,0,343,สามพราน,100.2781,19000000
ไร่ขิง,ทำผลิตภัณฑ์เครื่องใช้พลาสติก เช่น ขวด และอุปกรณ์แม่พิมพ์โลหะ,553,ท่าเกวียน,เลขที่ 55/5-7,229,นครปฐม,4205708-10,11,บริษัท เอส.พี เพ็ทแพค จำกัด ,13.74546667,,บริษัท เอส.พี.เพ็ทแพค จำกัด,73210,324,344,สามพราน,100.2966667,305000000
ท่าข้าม,ทำผลิตภัณฑ์พลาสติก เช่น บอล์วาล์ว,102,เพชรเกษม,เลขที่ 10/8,68,นครปฐม,0 2805 8530,5,บริษัท ไทยเฟิง จำกัด,13.70485,วัดเทียนดัด,บริษัท ไทยเฟิง จำกัด,73110,34,345,สามพราน,100.2507,50728000
ไร่ขิง,ทำเครื่องใช้จากพลาสติก เช่น เก้าอี้,163,,เลขที่ 86,103,นครปฐม,,9,ห้างหุ้นส่วนจำกัด โมเดิร์นเฟอร์นิเจอร์,13.74439,,ห้างหุ้นส่วนจำกัด โมเดิร์นเฟอร์นิเจอร์,73210,60,346,สามพราน,100.27582,260000000
บางช้าง,ผลิตผลิตภัณฑ์จากพลาสติก เช่น ชิ้นส่วนพลาสติกสำหรับเครื่องมือเครื่องใช้ทุกชนิด ชิ้นส่วนพลาสติกสำหรับใช้ประกอบอุปกรณ์ หรือเครื่องใช้ไฟฟ้า และผลิตภัณฑ์อื่นๆ,10,,เลขที่ โฉนดเลขที่ 1030,10,นครปฐม,,10,บริษัท เอส.เอ.เอส.อินเตอร์พลาสติก จำกัด,,,บริษัท เอส.เอ.เอส.อินเตอร์พลาสติก จำกัด,73110,0,347,สามพราน,,64000000
หอมเกร็ด,ทำผลิตภัณฑ์พลาสติค เช่น หวี,28,พุทธมณฑลสาย 7,เลขที่ 24/18,23,นครปฐม,,3,บริษัท ยงสินพลาสติค จำกัด,13.75951667,,บริษัท ซีล เคมีคอล จำกัด,73110,5,348,สามพราน,100.2310667,15000000
ดอนยายหอม,ทำภาชนะของใช้จากพลาสติก,33,พระประโทน-บ้านแพ้ว,เลขที่ 119,13,นครปฐม, ,7,บริษัท วิริยะกิจอุตสาหกรรมพลาสติก จำกัด,13.70445,,บริษัท วิริยะกิจอุตสาหกรรมพลาสติก จำกัด,73000,20,349,เมืองนครปฐม,100.0786,36000000
อ้อมใหญ่,ทำผลิตภัณฑ์จากพลาสติกและยางสังเคราะห์ เช่น ของใช้และของเล่นต่าง ๆ,309,เพชรเกษม,เลขที่ 23/219-222,15,นครปฐม,4209133,8,บริษัท รอยัลอินดัสตรีส์ (ไทยแลนด์) จำกัด (มหาชน),13.70256667,พงษ์ศิริชัย 2,บริษัท รอยัลอินดัสตรีส์ (ไทยแลนด์) จำกัด (มหาชน),73160,294,350,สามพราน,100.2826,90660000
โพรงมะเดื่อ,ผลิตเครื่องใช้จากพลาสติก เช่น กล่อง ถาด,70,,เลขที่ 55/1,35,นครปฐม,02-2721610,2,บริษัท เอ็ม.วี.เอส.เทรดดิ้ง จำกัด,13.82598333,,บริษัท เอ็ม.วี.เอส.เทรดดิ้ง จำกัด,73000,35,351,เมืองนครปฐม,100.0048667,32000000
บางช้าง,ทำผลิตภัณฑ์เครื่องใช้พลาสติก,13,สแกเล็ก,เลขที่ 8/18,6,นครปฐม,,10,บริษัท ดี.แดง พลาสโปรดักส์ จำกัด,13.6949,,บริษัท ดี.แดง พลาสโปรดักส์ จำกัด,73110,7,352,สามพราน,100.2262833,26000000
หนองงูเหลือม,ผลิตเครื่องอุปโภคที่ทำด้วยพลาสติก และรับจ้างผลิต,60,-,เลขที่ 16/4,30,นครปฐม,,1,บริษัท เดอะ โคเช็ท โปรดักส์ (2000) จำกัด,13.90551401,-,บริษัท เดอะ โคเซ็ท โปรดักส์ (2000) จำกัด,73000,30,353,เมืองนครปฐม,99.98520472,28500000
ศาลายา,ทำผลิตภัณฑ์จากพลาสติก เช่น ที่รองสินค้า ถังรองขยะ,55,เทพนิมิต-ลานตากฟ้า,เลขที่ 71/1,55,นครปฐม,034-964644,2,บริษัท วินเนอร์ อินเตอร์ พลาส จำกัด,13.83314,-,บริษัท วินเนอร์ อินเตอร์ พลาส จำกัด,73170,0,354,พุทธมณฑล,100.31232,18000000
ไร่ขิง,ทำซิปและยางยืด,135,เพชรเกษม,เลขที่ 42/123,53,นครปฐม,4202270,5,บริษัท เฟิร์ม อินดัสตรี จำกัด,13.71803333,ศรีเสถียร,บริษัท เฟิร์ม อินดัสตรี จำกัด,73210,82,355,สามพราน,100.2695,9000000
นราภิรมย์,"ฉีดและเป่าขึ้นรูปพลาสติก เช่น ช้อนพลาสติก,หลอดดูดน้ำพลาสติก",50,,เลขที่ ,22,นครปฐม,,11,นางสาวบุญกว้าง ศรีสุขโข,,,นางสาวบุญกว้าง ศรีสุขโข,73170,28,356,บางเลน,,86500000
ไร่ขิง,ผลิตภาชนะพลาสติกใช้บรรจุเครื่องสำอาง เช่น ตลับพลาสติก ขวดพลาสติก ขยายโดยเพิ่มเครื่องจักรขึ้นอีก 24.86 แรงม้า,236,เพชรเกษม,เลขที่ 42/42,150,นครปฐม,,5,บริษัท หลุยส์พลาสติก ซัพพลาย จำกัด,13.71813333,ศรีเสถียร,บริษัท หลุยส์ พลาสติก ซัพพลาย จำกัด,73210,86,357,สามพราน,100.2698167,1600000
ไร่ขิง,ทำถุงพลาสติก และเชือกพลาสติก,45,เพชรเกษม,เลขที่ 41/4,15,นครปฐม,4202470,5,บริษัท ทรงสวัสดิ์ (1982) จำกัด,13.71421667, -,บริษัท ทรงสวัสดิ์ (1988) จำกัด,73210,30,358,สามพราน,100.2692,1300000
ท่าข้าม,"ทำถุงพลาสติก,พลาสติกเม็ด",140,เพชรเกษม,เลขที่ 50/34,90,นครปฐม,,1,บริษัท เปโตรแพ็คเกจจิ้ง จำกัด,13.71601667,วัดท่าข้าม,บริษัท เปโตรแพ็คเกจจิ้ง จำกัด,73110,50,359,สามพราน,100.2342,26000006
อ้อมใหญ่,ทำถุงพลาสติก,26,เพชรเกษม,เลขที่ 166/1,19,นครปฐม,,8,บริษัท บี.เค.พี. อุตสาหกรรมพลาสติก จำกัด,13.70566667,กังวาล 2,บริษัท บี.เค.พี. อุตสาหกรรมพลาสติก จำกัด,73160,7,360,สามพราน,100.2781,7000000
คลองใหม่,ผลิตภาชนะบรรจุภัณฑ์ เครื่องใช้ในครัวเรือน และชิ้นส่วนอุปกรณ์พลาสติกทุกชนิด,170,คลองใหม่,เลขที่ 82/1,80,นครปฐม,034-325071,1,บริษัท สยามพลาสติกผลิตภัณฑ์ จำกัด,13.72676667,,บริษัท สยามพลาสติกผลิตภัณฑ์ จำกัด,73110,90,361,สามพราน,100.2036167,291494443
อ้อมใหญ่,ทำถุงพลาสติก,186,เพชรเกษม,เลขที่ 10/12,110,นครปฐม,0 2812 6592-6,3,บริษัท ยูนิเวอร์ส แพ็ค จำกัด,13.70786667,วัดเทียนดัด,บริษัท ยูนิเวอร์ส แพ็ค จำกัด,73160,76,362,สามพราน,100.2548167,96500000
ไร่ขิง,เป่าถุงพลาสติก,100,พุทธมณฑลสาย 5 ,เลขที่ 98/35-36-37,40,นครปฐม,811-8301-4,12,ห้างหุ้นส่วนจำกัด คทาภัณฑ์อุตสาหกรรม,13.7329,,ห้างหุ้นส่วนจำกัด คทาภัณฑ์อุตสาหกรรม,73210,60,363,สามพราน,100.3016,26000000
ไร่ขิง,ผลิตกระสอบพลาสติกสานและผ้าพลาสติก,90,     -,เลขที่ 71/66,45,นครปฐม,(02)-4310045,9,บริษัท เหอช่วงอุตสาหกรรม (ประเทศไทย) จำกัด,13.72566667,   -,บริษัท เหอช่วงอุตสาหกรรม (ประเทศไทย) จำกัด,73210,45,364,สามพราน,100.2946167,128136500
บางกระเบา,ทำภาชนะบรรจุพลาสติก เช่น ผลิตขวด และฝาขวดพลาสติก,254,เพชรเกษม,เลขที่ 7/3,77,นครปฐม,034-332611-2,3,บริษัท พรอดดิจิ จำกัด (มหาชน),13.7945,สุขาภิบาล 1,บริษัท พรอดดิจิ จำกัด (มหาชน),73120,177,365,นครชัยศรี,100.1825333,175000000
นราภิรมย์,ทำภาชนะบรรจุจากพลาสติก,10,-,เลขที่ 145,6,นครปฐม,,1,บริษัท ไชยการ แพค จำกัด,,-,บริษัท ไชยการ แพค จำกัด,73130,4,366,บางเลน,,24000000
ยายชา,ผลิตถุงพลาสติก,132,เพชรเกษม,เลขที่ 201-202,67,นครปฐม,,1,บริษัท ทานตะวันอุตสาหกรรม จำกัด(มหาชน),13.70413605,,บริษัท ทานตะวันอุตสาหกรรม จำกัด(มหาชน),73110,65,367,สามพราน,100.2750781,152700000
ยายชา,ผลิตถุงพลาสติก,10,เพชรเกษม,เลขที่ 51,10,นครปฐม,311595,1,บริษัท กิจถาวรพลาสติก จำกัด,13.7272,,บริษัท กิจถาวรพลาสติก จำกัด,73110,0,368,สามพราน,100.25125,1050000
ไร่ขิง,"ผลิตถุงพลาสติกชนิดถุงหูหิ้วใส่ของ,ทำแผ่นพลาสติก และทำภาชนะจากพลาสติก เช่น กะละมัง ขันน้ำ",49,เพชรเกษม,เลขที่ 42/174,35,นครปฐม,02-4290357,5,บริษัท อุตสาหกรรมถุงพลาสติคไทย จำกัด,13.71845,ศรีเสถียรนิเวศน์,บริษัท ทีพีบีไอ จำกัด (มหาชน),73210,14,369,สามพราน,100.2715833,40000000
อ้อมใหญ่,ผลิตผลิตภัณฑ์พลาสติกต่าง ๆ เช่น ภาชนะบรรจุ,454,เพชรเกษม,เลขที่ 26/10,227,นครปฐม,4201520,3,บริษัท วัชรบรรจุภัณฑ์ จำกัด,13.7118,วัดเทียนดัด,บริษัท วัชรบรรจุภัณฑ์ จำกัด,73160,227,370,สามพราน,100.2570833,51000000
พระประโทน,ทำถุงพลาสติกชนิดหูหิ้ว,5,,เลขที่ 96/2,4,นครปฐม,,4,นายอุดม หิรัญคงไพบูลย์,,,,73000,1,371,เมืองนครปฐม,,1000000
อ้อมใหญ่,ทำและพิมพ์ถุงพลาสติก,64,เพชรเกษม,เลขที่ 23/179-183,22,นครปฐม,4209093,8,บริษัท ที.พี.พลาสติกการพิมพ์ จำกัด,13.70661667,พงษ์ศิริชัย 2,บริษัท ที.พี.พลาสติกการพิมพ์ จำกัด,73160,42,372,สามพราน,100.2838667,12000000
อ้อมใหญ่,ผลิตถุงพลาสติก,95,เพชรเกษม,เลขที่ 61/2,40,นครปฐม,02-8114700,8,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),13.70338333,กังวาล 2,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),73160,55,373,สามพราน,100.2767833,90000000
ไร่ขิง,ผลิตถุงพลาสติก,29,สายไร่ขิง,เลขที่ 28/7,13,นครปฐม,2120556-7,7,บริษัท พิกุลทอง พลาสติก จำกัด,13.74176667,ประชาร่วมใจ,บริษัท พิกุลทอง พลาสติก จำกัด,73210,16,374,สามพราน,100.2738167,28743900
อ้อมใหญ่,ผลิตถุงพลาสติก,50,เทศบาล 13,เลขที่ 17/33,40,นครปฐม,02-8125695,4,ห้างหุ้นส่วนจำกัด สามพรานพลาสติก,13.70788333,-,ห้างหุ้นส่วนจำกัด สามพรานพลาสติก,73160,10,375,สามพราน,100.2639833,14000000
อ้อมใหญ่,เกี่ยวกับผผลิตภัณฑ์พลาสติก การทำภาชนะบรรจุ เช่น ถุงพลาสติกและการทำพลาสติกเป็นรูปทรงต่าง ๆ,40,-,เลขที่ 17/17,26,นครปฐม,02-8571895,6,บริษัท ยูไนเต็ด พลาสติกบรรจุภัณฑ์ จำกัด,13.6855,-,บริษัท ยูไนเต็ด พลาสติกบรรจุภัณฑ์ จำกัด,73160,14,376,สามพราน,100.2725167,38000000
หอมเกร็ด,ทำภาชนะบรรจุ เช่น ถุง,80,-,เลขที่ 99/7,35,นครปฐม,,2,บริษัท แสงรุ้งสยาม พลาสติก จำกัด,13.79931277,-,บริษัท แสงรุ้งสยาม พลาสติก จำกัด,73110,45,377,สามพราน,100.2458266,100000000
ไร่ขิง,ทดกระสอบพลาสติก (จำนวนเครื่องทดกระสอบพลาสติก 160 เครื่อง),280,พุทธมณฑลสาย 5,เลขที่ 90/10,140,นครปฐม,02-4310045,10,บริษัท เอเซียโพลีแซคส์ จำกัด,13.72557,ไร่ขิง 30,บริษัท เอเซียโพลีแซคส์ จำกัด,73210,140,378,สามพราน,100.29472,300000000
บ้านใหม่,ทำถุงพลาสติก,33,เพชรเกษม,เลขที่ 96,23,นครปฐม,4203741,1,บริษัท วรโชติ ฟู้ดส์ จำกัด,13.6936,วัดเทียนดัด,บริษัท วรโชติ ฟู้ดส์ จำกัด,73110,10,379,สามพราน,100.2448333,9500000
อ้อมใหญ่,ทำถุงพลาสติก และเชือกพลาสติก,18,เพชรเกษม,เลขที่ 19/11,18,นครปฐม,4202470,2,บริษัท ทรงสวัสดิ์ (1988) จำกัด,13.71415,กังวาล,บริษัท ทรงสวัสดิ์ (1988) จำกัด,73160,0,380,สามพราน,100.2692333,6500000
ไร่ขิง,ทอกระสอบพลาสติก (จำนวนเครื่องทอกระสอบพลาสติก 60 เครื่อง),290,พุทธมณฑลสาย 5,เลขที่ 71/9,150,นครปฐม,4202593,9,บริษัท เอเซีย โพลีแซคส์ จำกัด,13.72595,,บริษัท เอเซีย โพลีแซคส์ จำกัด,73210,140,381,สามพราน,100.2945833,116250000
ไร่ขิง,ทำภาชนะบรรจุจากพลาสติก เช่น ถังพลาสติก,99,พุทธมณฑล สาย 5,เลขที่ 72/5,89,นครปฐม,0 2431 0341-4,10,บริษัท โอเชียนพลาสติกอินเตอร์เทรด จำกัด,13.72908333,วัดท่าพูด,บริษัท โอเชียนพลาสติกอินเตอร์เทรด จำกัด,73210,10,382,สามพราน,100.2929833,56000000
ไร่ขิง,ทำถุงพลาสตจิกและผลิตภัณฑ์พลาสติก,40,พุทธมณฑลสาย 5 - ท่าเกวียน,เลขที่ 53/3,25,นครปฐม,424-0684,11,บริษัท ทวีกิจพลาสติกการพิมพ์ จำกัด,13.75736667,,บริษัท ทวีกิจพลาสติกการพิมพ์ จำกัด,73210,15,383,สามพราน,100.28465,20000000
ถนนขาด,ผลิตกระสอบพลาสติก และถุงพลาสติก,180,,เลขที่ 160,102,นครปฐม,,1,บริษัท อุตสาหกรรมอำนวยไชย จำกัด,13.7889336,,บริษัท อุตสาหกรรมอำนวยไชย จำกัด,73000,78,384,เมืองนครปฐม,100.0944275,189258000
ห้วยขวาง,ผลิตกระสอบพลาสติก เส้นด้ายพลาสติก และถุงพลาสติก,260,มาลัยแมน,เลขที่ 113/1,130,นครปฐม,,12,บริษัท ธนบุรี โพลีแบ็ค จำกัด,13.9348,-,บริษัท ธนบุรี โพลีแบ็ค จำกัด,73140,130,385,กำแพงแสน,99.99021667,199000000
บางระกำ,ผลิตกระสอบและผ้าใบพลาสติก,72,เพชรเกษม,เลขที่ 32,32,นครปฐม,2135532,,บริษัท กรุงเทพไทยโพลีพลาสติก จำกัด,13.77306667,วัดบ่อตะกั่ว,บริษัท กรุงเทพไทยโพลีพลาสติก จำกัด,73120,40,386,นครชัยศรี,100.1291,76900000
ดอนยายหอม,ผลิตขวดและภาชนะบรรจุของเหลวทุกชนิด,2,พระประโทน-บ้านแพ้ว,เลขที่ 502/1,1,นครปฐม,034-229238,3,บริษัท จงฟู่(กรุงเทพ) จำกัด,13.74995,-,บริษัท จงฟู่(กรุงเทพ) จำกัด,73000,1,387,เมืองนครปฐม,100.0872667,193709847
นราภิรมย์,"ฉีดและเป่าขึ้นรูปพลาสติก เช่น ถ้วยพลาสติก,ขวด,ฝาขวด",47,,เลขที่ -,22,นครปฐม,,11,บริษัท สยาม ลิด แฟคทอรี่ จำกัด,,,บริษัท สยาม ลิด แฟคทอรี่ จำกัด,73170,25,388,บางเลน,,225400000
ดอนพุทรา,ผลิตถุงพลาสติก,31,,เลขที่ 10/3,20,นครปฐม,034-296400,5,บริษัท ไทวิศน์ คอร์ปอเรชั่น จำกัด,,,บริษัท ไทวิศว์ คอร์ปอเรชั่น จำกัด,73150,11,389,ดอนตูม,,34475000
ไร่ขิง,ทำขวดพลาสติกและภาชนะเครื่องใช้พลาสติก,105,พุทธมณฑลสาย 5,เลขที่ 73,20,นครปฐม, ,11,บริษัท เอส.ดับบลิว.พลาสติก จำกัด,13.74023,-,บริษัท เอส.พี.เพ็ทแพค จำกัด,73210,85,390,สามพราน,100.30009,6100000
ไร่ขิง,ผลิตถุงพลาสติก,353,เพชรเกษม,เลขที่ 42/259,202,นครปฐม,,5,บริษัท ทีพีบีไอ ซันนี่ โปรดักส์ (ประเทศไทย) จำกัด ,13.71838333,ศรีเสถียร,บริษัท ทีพีบีไอ จำกัด (มหาชน),73210,151,391,สามพราน,100.2715833,3000000
ไร่ขิง,ผลิตถุงพลาสติก และหลอดกาแฟ,18,พุทธมณฑลสาย 5,เลขที่ 60/33,6,นครปฐม,,9,บริษัท ดี.เอ็ม.พลาสแพค จำกัด,13.72583333,สาย 5-วัดท่าพูด,บริษัท ดี.เอ็ม.พลาสแพค จำกัด,73210,12,392,สามพราน,100.2914,3000000
ห้วยม่วง,ทำผลิตภัณฑ์พลาสติก เช่น ถุงหูหิ้ว ถุงร้อน เชือก ฯ,145,มาลัยแมน,เลขที่ 29/9,40,นครปฐม,207058,6,บริษัท ลาวัณย์วิสุทธิ์พลาสติกไทย จำกัด,14.119,,บริษัท ลาวัณย์วิสุทธิ์พลาสติกไทย จำกัด,73140,105,393,กำแพงแสน,99.9862,153000000
บางช้าง,ผลิตถุงพลาสติก ชนิดต่างๆ,430,,เลขที่ 103/1,220,นครปฐม,,10,บริษัท ทีเอเค แพ็คเกจจิ้ง จำกัด,13.70718227,,บริษัท ทีเอเค แพ็คเกจจิ้ง จำกัด,73110,210,394,สามพราน,100.3343589,80000000
ยายชา,ผลิตถุงพลาสติก,219,,"เลขที่ 197,198",98,นครปฐม,,1,บริษัท ตวงเลิศ จำกัด,,,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),73110,121,395,สามพราน,,168000000
ทัพหลวง,ผลิตกระสอบพลาสติก,378,มาลัยแมน,เลขที่ 173,106,นครปฐม,2126697,9,บริษัท ไทยฟอร์โมซาพลาสติกอินดัสทรี จำกัด,13.91188333,,บริษัท ไทยฟอร์โมซาพลาสติกอินดัสทรี จำกัด,73000,272,396,เมืองนครปฐม,99.98825,191352410
ไร่ขิง,การทำเม็ดพลาสติกและการทำภาชนะบรรจุ,10,,เลขที่ 99/9,10,นครปฐม,,7,บริษัท ไร่ขิงพลาสติกรีไซเคิล จำกัด,13.72015204,,บริษัท ไร่ขิงพลาสติกรีไซเคิล จำกัด,73210,0,397,สามพราน,100.2872187,47000000
ไร่ขิง,ผลิตแผ่นโฟมและภาชนะบรรจุจากโฟม,56,พุทธมณฑลสาย 5,เลขที่ 50/6,34,นครปฐม,4349524,12,บริษัท พี.พี.แพคเกจจิ้ง จำกัด,13.75358333,,บริษัท พี.พี.แพคเกจจิ้ง จำกัด,73210,22,398,สามพราน,100.30085,22000000
อ้อมใหญ่,ทำท่อน้ำพลาสติก พี.วี.ซี สายพลาสติก พี.วี.ซี ทำเม็ดพลาสติกและถุงพลาสติก,55,เพชรเกษม,เลขที่ 166,55,นครปฐม,4201741,8,ห้างหุ้นส่วนจำกัด บางกอก พี.วี.ซี,13.70423333,กังวาล 2,ห้างหุ้นส่วนจำกัด บางกอก พี.วี.ซี,73160,0,399,สามพราน,100.2778667,9800000
อ้อมใหญ่,ทำหลอดเครื่องดื่มด้วยพลาสติก,22,เพชรเกษม,เลขที่ 144,11,นครปฐม,02-8114700,8,บริษัท ทานตะวัน อุตสาหกรรม จำกัด (มหาชน),13.70398333,กังวาล 2,บริษัท ทานตะวัน อุตสาหกรรม จำกัด (มหาชน),73160,11,400,สามพราน,100.2750667,16800000
คลองใหม่,ทำถัง ท่อ และอุปกรณ์ไฟเบอร์กลาสทุกชนิด,72,เพชรเกษม,เลขที่ 127/1,55,นครปฐม,,7,บริษัท เจริญวัฒนาไฟเบอร์ แอนด์ เคมีเคิล จำกัด,13.74798333,,บริษัท ทริปเปิล ดี พลาส โปรดักท์ จำกัด,73110,17,401,สามพราน,100.1982,8600000
ยายชา,ทำท่อ พี.วี.ซี และชิ้นส่วนอุปกรณ์ท่อพี.วี.ซี,96,วัดเดชานุสรณ์,เลขที่ 37/6,90,นครปฐม,2469123,6,บริษีท บางกอกไพบูลย์ไพพ์ จำกัด,13.7337,,บริษัท บางกอกไพบูลย์ไพพ์ จำกัด,73110,6,402,สามพราน,100.2323333,30010222
อ้อมใหญ่,ผลิตสายยางพลาสติค พีวีซี ท่อพีวีซี,25,เพชรเกษม,เลขที่ 119,25,นครปฐม,8115241,8,บริษัท บางกอก บี.พี.ไปป์ จำกัด,13.70573333,หมู่บ้านสามพราน,บริษัท บางกอก บี.พี.ไปป์ จำกัด,73160,0,403,สามพราน,100.2780833,32500000
บ้านหลวง,ผลิตพลาสติกผสมสีชนิดแผ่น ชนิดผง ชนิดเม็ด และชนิดเกล็ด ผลิตหมึกพิมพ์พลาสติก หมึกพิมพ์ผ้า หมึกพิมพ์หนังสือ,16,,เลขที่ 129,14,นครปฐม,034-296971-6,3,บริษัท ไทยมาสเตอร์คัลเลอร์ จำกัด,13.89915,,บริษัท ไทยมาสเตอร์คัลเลอร์ จำกัด,73150,2,404,ดอนตูม,100.1535833,64000000
งิ้วราย,ผลิตท่อน้ำพลาสติกและผลิตภัณฑ์พลาสติก,42,ศาลายา-นครชัยศรี,เลขที่ 118/6,38,นครปฐม,,3,บริษัท โชคชัยธนไพศาล จำกัด,13.80351667,-,บริษัท โชคชัยธนไพศาล จำกัด,73120,4,405,นครชัยศรี,100.2123667,27000000
กระทุ่มล้ม,ทำแผ่นพลาสติก ทำตาข่ายพลาสติก,16,พุทธมณฑลสาย 4,เลขที่ 60,16,นครปฐม,02-8898720,9,บริษัท ไทยโพลีอะคริลิค จำกัด (มหาชน),13.7511,-,บริษัท ไทยโพลีอะคริลิค จำกัด (มหาชน),73220,0,406,สามพราน,100.3289667,13500000
