รายการชุดข้อมูล,จำนวน,ที่มา,_id,ปี,หน่วยนับ,เพศ,อำเภอ,จังหวัด
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1401,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,146,2566,คน,ชาย,บ่อพลอย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,112,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,147,2566,คน,ชาย,ศรีสวัสดิ์,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,10363,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,148,2566,คน,ชาย,ท่ามะกา,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,5192,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,149,2566,คน,ชาย,ท่าม่วง,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,550,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,150,2566,คน,ชาย,ทองผาภูมิ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,338,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,151,2566,คน,ชาย,สังขละบุรี,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,1011,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,152,2566,คน,ชาย,พนมทวน,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,850,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,153,2566,คน,ชาย,เลาขวัญ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,340,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,154,2566,คน,ชาย,ด่านมะขามเตี้ย,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,55,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,155,2566,คน,ชาย,หนองปรือ,กาญจนบุรี
จำนวนคนงานสถานประกอบการอุตสาหกรรม,572,สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,156,2566,คน,ชาย,ห้วยกระเจา,กาญจนบุรี
