ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ 88/107-9,,180.15,8000000,267,ข3-106-37/58สป,267,บริษัท เอส.เอส.อิมปอร์ต เอ็กปอร์ต อินเตอร์เนชั่นแนล จำกัด,,รีไซเคิลจอมอนิเตอร์ แบบ LCD (Liquid Crystal Display) และบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,60,10520,บางเสาธง,บางเสาธง,สมุทรปราการ,15
เทพารักษ์,เลขที่ 169,ที่ดินไทย,423.8,13500000,268,จ3-105-11/51สป,268,บริษัท เมกา รีซอร์สเซส จำกัด,02 173 4416-8,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและทำเม็ดพลาสติก,13,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,21
บางนา-ตราด,เลขที่ 89,วัดเกาะแก้ว,3,1615000,269,จ3-105-111/50สป,269,ห้างหุ้นส่วนจำกัด เอ็ม เอ็น ที รีไซเคิล,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,9,10560,บางพลีน้อย,บางบ่อ,สมุทรปราการ,6
-,เลขที่ 164/1,-,324,28000000,270,จ3-105-120/52สป,270,บริษัท ณ.นาม รีไซเคิล จำกัด,,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้ว ไม่เป็นอันตรายตามประกาศกระทรวง พ.ศ.2548 และเม็ดพลาสติก,9,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,5
ธนสิทธิ์,เลขที่ -,รัตนโชค 12,67,7300000,271,จ3-105-124/50สป,271,นางสุดารัตน์ คอร์มิง,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,10540,บางปลา,บางพลี,สมุทรปราการ,3
สุขสวัสดิ์,เลขที่ 57/35,สุขสวัสดิ์ 70,93,9500000,272,จ3-105-130/51สป,272,จิราพร พลาสติก,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยพลาสติก,11,10130,บางครุ,พระประแดง,สมุทรปราการ,3
บางพลี-ตำหรุ,เลขที่ 899,สุนทรวิภาค,197.58,19900000,273,จ3-105-133/50สป,273,นายไชยพงศ์  ศรีเปรมอนันต์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และทำเม็ดพลาสติก,20,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
เทพารักษ์,เลขที่ 111,วัดราษฎร์บูรณะ,100,1200000,274,จ3-105-133/51สป,274,บริษัท โฟร์สตีล จำกัด,02 750 5177,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่แล้วที่ไม่เป็นของเสียอันตราย,20,10540,บางปลา,บางพลี,สมุทรปราการ,2
เทพารักษ์,เลขที่ 99/1,-,100,18000000,275,จ3-105-142/51สป,275,บริษัท บางบ่อ รีไซเคิล จำกัด,0 2338 1977-8,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,12,10540,บางเสาธง,บางเสาธง,สมุทรปราการ,2
รัตนโกสิน 200 ปี,เลขที่ 195,สถานีอนามัยบางบ่อ,65,3500000,276,จ3-105-147/51สป,276,บริษัท โชคสวัสดิ์ รีไซเคิล จำกัด,"081-6185152, 084-6454087,087-4",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ได้แก่ เศษเหล็ก ทองแดง อลูมิเนียม สแตนเลส พลาสติก ยาง กระดาษ ไม้ และอัดเศษโลหะ,8,10560,บางบ่อ,บางบ่อ,สมุทรปราการ,6
บ้านลีส้ง-บ้านบางพลีน้อย,เลขที่ 311,,496.85,11000000,277,จ3-105-156/51สป,277,นายวรภาส กรวิภาพงศ์,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก โลหะ กระดาษ ผ้า ฯลฯ และทำเม็ดพลาสติกจากเศษพลาสกติกเก่า,30,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,1
เทพารักษ์ กม.19,เลขที่ 118/5,ทรัพย์โสภณ,76,3000000,278,จ3-105-163/50สป,278,บริษัท จตุพร รีไซเคิล จำกัด,02 706 4500,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ การคัดแยกกระดาษ ไม้ พลาสติกและวัสดุโลหะต่างๆ การบด ย่อยพลาสติกและอัดเศษกระดาษ,12,10540,บางปลา,บางพลี,สมุทรปราการ,9
แพรกษา,เลขที่ 333,แพรกษา 10/2,59,10000000,279,จ3-105-163/51สป,279,บริษัท ที เอ็น ค้าถัง จำกัด,086 9854551,คัดแยกเศษเหล็ก เศษอลูมิเนียม พลาสติก ทองเหลือง ทองแดง นำมารีไซเคิ้ลเพื่อจำหน่าย,16,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
ประชาอุทิศ 90,เลขที่ 309/1,,490.61,6500000,280,จ3-105-171/51สป,280,ห้างหุ้นส่วนจำกัด ซี.เอ.พลาสติคไทย,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ และทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอดหรือรูปทรงต่าง บดย่อยพลาสติก,15,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10
บางพลี-ตำหรุ,เลขที่ 496,-,15,12000000,281,จ3-105-173/51สป,281,บริษัท ไทยวัฒนา แพ็คกิ้ง เซอร์วิส จำกัด,0 2723 4614,"คัดแยกสิ่งปฏิกูล หรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ไม้,เหล็ก,พลาสติก,กระดาษ,ผ้า เป็นต้น",20,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
,"เลขที่ 309/3,309/5,309/11",,482,3000000,282,จ3-105-178/51สป,282,นายชัยโรจน์ ตั้งจิตรเที่ยง,,คัดแยกวัสดุที่ไม่ใช้แล้วที่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ และทำพลาสติกเป็นเม็ด ท่อ แท่ง หลอด หรือรูปทรงต่างๆ และบดย่อยพลาสติก,8,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,10
วโรชา-บางเพรียง,เลขที่ 225,,105,3500000,283,จ3-105-185/51สป,283,บริษัท ไออาร์พีเอ พลาสติก (ประเทศไทย) จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติก กระดาษ ไม้ ฯลฯ การบดย่อย และหลอมหรือทำเม็ดพลาสติกจากพลาสติกใช้แล้ว,10,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,4
สุขสวัสดิ์,เลขที่ -,สุขสวัสดิ์ 74 ซอย 5,193,9300000,284,จ3-105-186/51สป,284,บริษัท แตงไทย รีไซเคิล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยพลาสติก,24,10130,บางครุ,พระประแดง,สมุทรปราการ,3
สุขสวัสดิ์,เลขที่ 25/13,สุขสวัสดิ์ 66,201.25,1900000,285,จ3-105-187/51สป,285,นายกฤช นิยมกิจสัมฤทธิ์,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก ทองแดง ทองเหลือง เศษเหล็ก เศษกระดาษ เศษแก้ว เศษไม้ เศษผ้า ทำผลิตภัณฑ์พลาสติก เช่น ฝาท่อน้ำ ฝาขวด บดย่อยเศษพลาสติก และอัดเศษโลหะ,10,10130,บางครุ,พระประแดง,สมุทรปราการ,15
ประชาอุทิศ,เลขที่ 128/1,ประชาอุทิศ 90,93.81,5850000,286,จ3-105-189/51สป,286,เต็มสุข,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่น ทองแดง ทองเหลือง เหล็ก อลูมิเนียม สังกะสี ดีบุก ไม้ พลาสติก กระดาษ และแสตนเลส ฯลฯ,5,10290,บ้านคลองสวน,พระสมุทรเจดีย์,สมุทรปราการ,4
สุขสวัสดิ์,เลขที่ -,วัดคู่สร้าง,69,4660000,287,จ3-105-197/50สป,287,บริษัท บิ๊กแบ็ก โพลีแซค เซ็นเตอร์ เซอร์วิส จำกัด ,,คัดแยกสิ่งปฏิกูล หรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,17,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,1
เทพารักษ์,เลขที่ 516-519,,15,600000,288,จ3-105-201/50สป,288,ไทยฮง,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20,10270,เทพารักษ์,เมืองสมุทรปราการ,สมุทรปราการ,6
รัตนราช,เลขที่ 436,,124.5,7700000,289,จ3-105-204/51สป,289,บริษัท เกียรติถาวร พาราวู้ด จำกัด,02 708 5079-80,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำลังไม้และชั้นรองของจากไม้,40,10560,บางบ่อ,บางบ่อ,สมุทรปราการ,1
บ้านคลองตะเคียน,เลขที่ 89/8,เพิ่มชัย,487.76,17000000,290,จ3-105-205/51สป,290,บริษัท ไฉ ฟู่ เทรดดิ้ง จำกัด,02 701 3551,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย ทำเม็ดพลาสติกจากเม็ดพลาสติกใช้แล้ว บด-ย่อยเศษพลาสติก,30,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
สุขุมวิท,เลขที่ 238,วัดปานประสิทธาราม,276,20000000,291,จ3-105-206/51สป,291,บริษัท จงสุทธา จำกัด,081 632 1022,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย การตัดและย่อยเศษด้ายหรือเศษผ้า,10,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,12
บางพลี-ตำหรุ,เลขที่ 871,สุนทรวิภาค,340,18000000,292,จ3-105-212/51สป,292,บริษัท สหไทย รีไซเคิล จำกัด,02 347 4645,คัดแยกวัสดุเหลือใช้ที่ไม่ใช่วัตถุอันตราย,10,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
,เลขที่ 594,,136.25,5000000,293,จ3-105-214/51สป,293,นายกฤช นิยมกิจสัมฤทธิ์,,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก,ทองเหลือง,ทองแดง,เศษเหล็ก,เศษอลูมิเนียม,เศษกระดาษ,เศษแก้ว,เศษไม้,เศษผ้าและทำผลิตภัณฑ์พลาสติก บดย่อยเศษพลาสติก",9,10290,บ้านคลองสวน,พระสมุทรเจดีย์,สมุทรปราการ,2
เทพารักษ์,เลขที่ 135,วัดราษฎร์บูรณะ,450,7000000,294,จ3-105-245/51สป,294,บริษัท เทพาอุดมสิน 2003 จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10540,บางปลา,บางพลี,สมุทรปราการ,2
เทพารักษ์,เลขที่ 79/29,ธนสิทธิ์,89,9750000,295,จ3-105-30/52สป,295,บริษัท นีค อินเตอร์ คอร์ปอเรชั่น จำกัด,02 745 6882,คัดแยกวัสดุที่ไม่ใช้แล้ว ชนิดที่ไม่เป็นอันตราย ได้แก่ พลาสติก ยาง ฯลฯ และบดเศษยาง และพลาสติก,5,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
ปู่เจ้าสมิงพราย,เลขที่ 130/10,วัดมหาวงษ์,37,2700000,296,จ3-105-49/50สป,296,บริษัท แสนสุขเมททัล จำกัด,02 748 5915-6,คัดแยกวัสดุที่ไม่ใช้แล้ว ประเภทชนิดที่ไม่เป็นอันตรายได้แก่ วัสดุโลหะต่างๆ เช่น เหล็ก ทองแดง ทองเหลือง,20,10130,สำโรง,พระประแดง,สมุทรปราการ,4
บางนา-ตราด,เลขที่ 41/21,พลูเจริญ,67.67,2875000,297,จ3-105-53/52สป,297,บริษัท เจเอสที อี-เวส แอนด์ เมทัล รีไซเคิล จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองแดง ฯลฯ,4,10540,บางโฉลง,บางพลี,สมุทรปราการ,6
เทพารักษ์,เลขที่ 79/38,ธรสิทธิ์ (รัตนโชค 12),134,8000000,298,จ3-105-72/52สป,298,บริษัท เอส.ดี.พลาสติก เอ็นเตอร์ไพร์ส จำกัด,02 312 1983,คัดแยกวัสดุไม่ใช้แล้วชนิดที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติกชนิดต่างๆ และผลิตเม็ดพลาสติกจากพลาสติกใช้แล้ว,9,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
เทพารักษ์,เลขที่ 79/49,ธนสิทธิ์ (รัตนะโชค 12),377.26,8000000,299,จ3-105-74/52สป,299,บริษัท น่ำเฮี่ยง พลาสติก จำกัด,02 312 1983,คัดแยกวัสดุไม่ใช้แล้วชนิดที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติกชนิดต่างๆ และผลิตเม็ดพลาสติกจากพลาสติกใช้แล้ว การปั่น บด ย่อยพลาสติก,10,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
สุขุมวิท,เลขที่ 988,-,0,3000000,300,จ3-105-75/52สป,300,ห้างหุ้นส่วนจำกัด มังกร รวมเศษ,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,7
ธนสิทธิ์,เลขที่ -,รัตนโชค 12,60,15000000,301,จ3-105-98/51สป,301,นายเฉลิมศักดิ์ เตชรัตนะโชค,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,10,10540,บางปลา,บางพลี,สมุทรปราการ,12
สุขาภิบาล 6,เลขที่ 1/3,,295,29450000,302,จ3-105-99/52สป,302,บริษัท ที.ซี.สตีล 168 จำกัด ,061-9849945,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไมเป็นของเสียอันตรายตามประกาศกระทรวงอุตสาหกรรม พ.ศ.2548,38,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,15
สุขุมวิท,เลขที่ 649/1,,3620.2,134588000,303,น.101-1/2542-นนป.,303,บริษัท โกบอล เอ็นไวรอนเมนทอล เทคโนโลยี จำกัด,0 2709 2950-3,ดำเนินโครงการพัฒนาและยกระดับระบบบำบัดน้ำเสีย นิคมอุตสาหกรรมบางปู,36,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
สุขุมวิท,เลขที่ 792,1 ซี/1,2028.62,0,304,น.101-1/2544-นนป.,304,บริษัท อัคคีปราการ จำกัด (มหาชน),,ศูนย์บริหารจัดการวัสดุเหลือใช้อุตสาหกรรม (เตาเผาขยะอุตสาหกรรม),84,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
สุขุมวิท,เลขที่ 965,3 บี,10081.16,0,305,น.101-1/2547-ญนป.,305,บริษัท บางปู เอนไวรอนเมนทอล คอมเพล็กซ์ จำกัด,,โรงพักขยะมูลฝอยและขยะอุตสาหกรรม (เฉพาะประเภท NON HAZARDOUS WASTE) และรับดำเนินการดูแลจัดการระบบเตาเผาสถานีขนถ่ายวัสดุที่ใช้แล้วและบริหารจัดการวัสดุเหลือใช้ ขยะมูลฝอยจากชุมชน และน้ำเสียจากผู้ใช้บริการทั่วประเทศ ตลอดจนผลิตไอน้ำ ล้างภาชนะปนเปื้อน ผลิตเชื้อเพลิงผสม และเชื้อเพลิงทดแทนจากวัสดุที่ไม่ใช้แล้ว รีไซเคิลหลอดฟลูออเรสเซนต์ ผลิตไฟฟ้าจากพลังงานไอน้ำ ขนาด 1.6 MW,32,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
สุขุมวิท,เลขที่ 543 นิคมอุตสาหกรรมบางปู,,0,0,306,น.105-1/2553-นนป.,306,บริษัท ศมลวรรณ รุ่งเรืองกิจ 89 จำกัด,,รับซื้อ ขาย แลกเปลี่ยน คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายซ่อมถังและลัางบรรจุภัณฑ์สารเคมีด้วยตัวทำละลาย บดย่อยชิ้นส่วนพลาสติก เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์,5,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,2
สุขุมวิท,เลขที่ 267 นิคมอุตสาหกรรมบางปู,4 ซี,0,0,307,น.106-1/2551-นนป.,307,บริษัท บี.จี.เอส. อินเตอร์เนชั่นแนล จำกัด,,ผลิต POLYMER FILLER จากเศษยางที่ไม่ใช่ยางรถยนต์,8,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
สุขุมวิท,เลขที่ 730,-,80.71,16000000,308,น.106-1/2552-นนป.,308,บริษัท ทีเอ็มซี เมททัล (ไทยแลนด์) จำกัด,02-710-6580,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายบดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ไม่ใช้แล้ว,4,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
สุขุมวิท,เลขที่ 649,,0,0,309,น.106-1/2554-นนป.,309,บริษัท เบกีแมนน์ เมอร์คิวรี เทคโนโลยี แปซิฟิค (บีเอ็มทีพี) จำกัด,0-2709-3450-3,รีไซเคิลปรอทจากของเสียที่มีปรอทผสมอยู่ โดยวิธีการกลั่นสูญญากาศ,0,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
สุขุมวิท,เลขที่ 832 นิคมอุตสาหกรรมบางปู,13,0,0,310,น.106-2/2546-นนป.,310,บริษัท โกชู เทคโนเซอร์วิส จำกัด,,รับบริการล้างเมมเบรน ล้านเรซิน,3,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,4
วัดโบสถ์-ท่าน้ำ,เลขที่ 59/28,,61.5,23600000,311,3-105-1/45นบ,311,ห้างหุ้นส่วนจำกัด จิตรเกษมโลหะ,0-2903-5208,"ทำการตัด, อัด, กรีดผ่า, บดแยกชิ้นส่วนเศษสายไฟฟ้า",10,11000,บางกร่าง,เมืองนนทบุรี,นนทบุรี,8
บางกรวย-ไทรน้อย,เลขที่ 81/12,,10,3700000,312,3-105-10/59นบ,312,นายวิษณุ วรวรรณปรีชา,089-8113240,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,11110,ไทรน้อย,ไทรน้อย,นนทบุรี,1
บางกรวย-ไทรน้อย,เลขที่ 187/70,ร่มโพธิ์ทอง,47,2000000,313,3-105-104/47นบ,313,บริษัท สวัสดิ์รีไซเคิล จำกัด,-,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก อัดเศษโลหะ ตัดโลหะ,14,11110,บางรักพัฒนา,บางบัวทอง,นนทบุรี,3
ติวานนท์,เลขที่ 69/288,พระแม่มหาการุณย์,451,18500000,314,3-105-13/58นบ,314,บริษัท พี.พี.พี.รีไซเคิล จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,32,11120,บ้านใหม่,ปากเกร็ด,นนทบุรี,1
จันทร์ทองเอี่ยม,เลขที่ 25/3,แก้วอินทร์,140,15500000,315,3-105-151/48นบ,315,บริษัท เอสเคเจ อินเตอร์พลาส จำกัด,0 2597 8270,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และบดย่อยพลาสติก,8,11140,บางแม่นาง,บางใหญ่,นนทบุรี,4
รัตนาธิเบศร์,เลขที่ 79/23,วัดไทรม้า,105,23000000,316,3-105-165/48นบ,316,วงษ์พาณิชย์ สาขานนทบุรี,,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),20,11000,บางรักน้อย,เมืองนนทบุรี,นนทบุรี,3
-,เลขที่ 18/18-19-20,-,100,2740000,317,3-105-19/47นบ,317,บริษัท อุดมสุข เท็กซ์ไทล์ จำกัด,02-9442225,คัดแยกวัสดุไม่ใช้แล้ว เช่น เศษผ้า ด้าย สำลี นุ่น กระสอบ กระดาษ เศษเหล็ก เศษพลาสติก เพื่อจำหน่าย นำเข้า ส่งออก,14,11110,ละหาร,บางบัวทอง,นนทบุรี,6
แจ้งวัฒนะ,เลขที่ 14/25,แจ้งวัฒนะ-ปากเกร็ด 3,5,7702000,318,3-105-2/46นบ,318,บริษัท เค.รีไซเคิล แอนด์ เซอร์วิส จำกัด,0 2963 2772-5,คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรมเพื่อนำมารีไซเคิล,60,11120,บางพูด,ปากเกร็ด,นนทบุรี,6
นครอินทร์,เลขที่ 38/3,-,1090,141000000,319,3-105-3/46นบ,319,บริษัท โลหะไทยสเตนเลส จำกัด,0 2913 2197-9,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),60,11130,บางขุนกอง,บางกรวย,นนทบุรี,6
บางกรวย-ไทรน้อย,เลขที่ 187/48,ร่มโพธิ์ทอง,45,1400000,320,3-105-30/47นบ,320,บริษัท ธนานุกูลชัย จำกัด,0-2920-5144,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,7,11110,บางรักพัฒนา,บางบัวทอง,นนทบุรี,3
เลี่ยงเมืองนนทบุรี,"เลขที่ 141,143",,421,9000000,321,3-105-31/47นบ,321,บริษัท เอส.เค.รีไซเคิล จำกัด,0-2969-0001-2,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ ตัด พับ หรือม้วนโลหะ,11,11000,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,
งามวงศ์วาน,เลขที่ 29/47/1,งามวงศ์วาน 9,2,2820000,322,3-105-32/47นบ,322,ร้านสนธยา,0 2952 7273,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),10,11000,บางกระสอ,เมืองนนทบุรี,นนทบุรี,9
ตลิ่งชัน-สุพรรณบุรี,เลขที่ 1/4, -,111.1,3000000,323,3-105-32/49นบ,323,นิตยารีไซเคิล,0 5802 9536,คัดแยกวัสดุเหลือใช้จากโรงงาน เช่น กระดาษ พลาสติก โลหะ,25,11110,บางบัวทอง,บางบัวทอง,นนทบุรี,13
สามัคคี,"เลขที่ 12, 14",สามัคคี 8,215,4000000,324,3-105-32/53นบ,324,บริษัท แสงไพศาลค้ากระดาษ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,20,11000,ท่าทราย,เมืองนนทบุรี,นนทบุรี,-
สามัคคี,"เลขที่ 11,13",สามัคคี 11,385.5,11000000,325,3-105-33/53นบ,325,บริษัท แสงไพศาลค้ากระดาษ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,30,11000,ท่าทราย,เมืองนนทบุรี,นนทบุรี,-
เมน 3,เลขที่ ,สนั่น,0,800000,326,3-105-39/47นบ,326,พัฒนารีไซเคิล,,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),8,11140,บ้านใหม่,บางใหญ่,นนทบุรี,3
ตลิ่งชัน-สุพรรณบุรี,เลขที่ 4/5,กันตนา,393.6,6100000,327,3-105-4/46นบ,327,นายวิเชียร จันทราพานิชกุล,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และหลอมหล่อโลหะ,14,11140,บางใหญ่,บางใหญ่,นนทบุรี,3
บางบัวทอง-สุพรรณบุรี,เลขที่ 27/14,,269,19000000,328,3-105-47/59นบ,328,บริษัท ล้อเรืองชัย เมททอล จำกัด,029255794-7,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,21,11110,ละหาร,บางบัวทอง,นนทบุรี,9
นครอินทร์,"เลขที่ โฉนดที่ดินเลขที่ 29801,30544",,858,290000000,329,3-105-52/60นบ,329,บริษัท รวมโลหะ เทรดดิ้ง จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,100,11130,บางขุนกอง,บางกรวย,นนทบุรี,6
