ไปรษณีย์,ประกอบกิจการ,TSIC,ลำดับ,เงินทุนรวม,เลขที่,อำเภอ,คนงานรวม,FID,หมู่,โทรศัพท์,คนงานชาย,ซอย,แรงม้า,GPS_lat,ถนน,ตำบล,คนงานหญิง,GPS_lng,ชื่อโรงงาน,สิ้นอายุ,factype,อนุญาต,_id,เลขทะเบียนเดิม,จังหวัด
,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 731 เครื่อง),126000000000,92,,เลขที่ 7,เมืองนนทบุรี,5000000,-10120100125263-,,,5000000,งามวงศ์วาน 25 แยก 19,21,19/12/1452,,บางเขน,5000000,07/12/1440,บริษัท ไนซ์ แอพพาเรล จำกัด,1,,3840,92,3-28(1)-1/26นบ,นนทบุรี
,"ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 2,877 เครื่อง)",108000000000,93,,เลขที่ 25/17,ปากเกร็ด,160000000,-10120000125272-,4,,17728290,สากลแลนด์,150,08/03/1450,แจ้งวัฒนะ,บางตลาด,261000000,22/08/1441,บริษัท วาไทยอุตสาหกรรม จำกัด (มหาชน),1,,35200,93,3-28(1)-1/27นบ,นนทบุรี
,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 233 เครื่อง),106000000000,94,,"เลขที่ 35/52-54,34/26",เมืองนนทบุรี,6000000,-10120100125321-,2,,3000000,,27,26/03/1452,งามวงศ์วาน,บางเขน,4000000,14/02/1446,บริษัท ปอมแฟชั่น จำกัด,1,,2500,94,3-28(1)-1/32นบ,นนทบุรี
,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 80 เครื่อง),106000000000,95,,เลขที่ 34/26,เมืองนนทบุรี,3000000,-10120100125354-,,,2000000,อัคนี,0,15/03/1452,งามวงศ์วาน,บางเขน,3000000,08/07/1449,บริษัท กุลถาวร จำกัด,1,,3300,95,3-28(1)-1/35นบ,นนทบุรี
,ตัดเย็บเสื้อผ้าสำเร็จรูป,106000000000,96,,เลขที่ 100/2,บางบัวทอง,200000000,-10120002725616-,3,,20892653,,63,22/11/1475,,บางรักพัฒนา,20000000,07/02/1476,บริษัท ซาลอม จำกัด,1,,27916,96,3-28(1)-27/61นบ,นนทบุรี
11000,"ตัดเย็บเสื้อผ้าสำเร็จรูป, ตัดเย็บมุ้งทำเครื่องสนามและเต้นท์ (จำนวนจักรเย็บผ้า 60 เครื่อง)",14111,97,2300000,เลขที่ 55/20,เมืองนนทบุรี,120,-10120000325328-,5,5882694,60,รณสิทธิพิชัย,617,100.5019667,สนามบินน้ำ,ท่าทราย,60,,บริษัท เสรีชัยยุทธภัณฑ์ จำกัด,13.87361667,3,04/03/1450,97,3-28(1)-3/32นบ,นนทบุรี
,ตัดเย็บเสื้อผ้าสำเร็จรูป(จำนวนจักรเย็บผ้า356เครื่อง),126000000000,98,,เลขที่ 8/1,เมืองนนทบุรี,80000000,-10120000325336-,,,4000000,งามวงศ์วาน 25 แยก 19,45,18/03/1450,,บางเขน,5000000,05/11/1447,บริษัท ไนซ์ แอพพาเรล จำกัด,1,,2880,98,3-28(1)-3/33นบ,นนทบุรี
,ตัดเย็บเสื้อผ้าสำเร็จรูป,106000000000,99,,เลขที่ 50/5,ปากเกร็ด,99349634,-10120000325344-,4,,77325000,,47,16/12/1450,แจ้งวัฒนะ,ปากเกร็ด,152989375,14/06/1448,บริษัท แมนดาริน โคลธิ่ง จำกัด,1,,11304,99,3-28(1)-3/34นบ,นนทบุรี
,ตัดเย็บเสื้อผ้าสำเร็จรูป(จำนวนจักรเย็บผ้า422เครื่อง),106000000000,100,,เลขที่ 158,เมืองนนทบุรี,20000000,-10120000525307-,,,1851758,,17,13/05/1450,,ตลาดขวัญ,34438064,02/12/1444,บริษัท บุรี จำกัด,1,,6500,100,3-28(1)-5/30นบ,นนทบุรี
,ขุดดินและดูดทรายในที่ดินกรรมสิทธิ์,126000000000,101,,เลขที่ ,ไทรน้อย,1000000,-10120016625570-,5,,0,,4,23/07/1471,,ไทรใหญ่,8000000,08/09/1471,บริษัท ทรัพย์เพิ่มพูน (2013) จำกัด,1,,151780,101,3-3(2)-166/57นบ,นนทบุรี
,ผลิตเครื่องหนังแท้ และหนังเทียม เช่น กระเป๋าถือสตรีและกระเป๋าบุรุษ,106000000000,102,,เลขที่ 36/35,เมืองนนทบุรี,500000,-10120100125313-,8,,1500000,วัดกำแพง,66,28/01/1451,พิบูลย์สงคราม,บางเขน,840000,13/12/1445,บริษัท สุณีเวย์ จำกัด,1,,4000,102,3-32(1)-1/31นบ,นนทบุรี
,เลื่อยไม้,103000000000,103,,เลขที่ 623,เมืองนนทบุรี,2200000,-10120000125173-,,,2000000,,25,23/01/1452,รัตนาธิเบศร์,บางกระสอ,600000,15/01/1431,ห้างหุ้นส่วนจำกัด ซีง่วนเซียงหลี,3,,3200,103,3-34(1)-1/17นบ,นนทบุรี
11140,ไส ซอย เซาะร่อง รางลิ้นและกลึงไม้,16101,104,10860000,เลขที่ 81/2,บางใหญ่,30,-10120200125320-,13,,30,,407,100.4113167,ตลิ่งชัน-สุพรรณบุรี,บางม่วง,0,,บริษัท แอล.วี.ผลิตภัณฑ์ไม้ จำกัด,13.8482,3,30/12/1451,104,3-34(1)-1/32นบ,นนทบุรี
,เลื่อยไสซอยไม้,,105,,เลขที่ 14/5,ไทรน้อย,10000000,-10120300125402-,6,,12000000,,8,21/05/1454,ตลิ่งชัน-สุพรรณบรี,ไทรใหญ่,2000000,07/07/1454,บริษัท โรงเลื่อยจักร บี.ดี.เอส.ทิมเบอร์ จำกัด,1,,6400,105,3-34(1)-1/40นบ,นนทบุรี
,เลื่อยไม้,106000000000,106,,เลขที่ 555,เมืองนนทบุรี,1500000,-10120001025158-,,,0,,45,19/03/1450,นนทบุรี ,บางกระสอ,500000,13/11/1430,บริษัท บุญวู๊ด จำกัด,1,,3638,106,3-34(1)-10/15นบ,นนทบุรี
,ไสไม้และซอยไม้,,107,,เลขที่ 93/1,บางกรวย,195000,-10120100225139-,9,,80000,,2,24/11/1450,,วัดชลอ,25000,30/03/1427,ธำรงชัยค้าไม้,1,,3600,107,3-34(1)-2/13นบ,นนทบุรี
,เลื่อยไม้,103000000000,108,,เลขที่ 11/2,ปากเกร็ด,1000000,-10120100225147-,9,,500000,,21,24/02/1452,ติวานนท์,บางพูด,300000,14/01/1428,ห้างหุ้นส่วนจำกัด โรงเลื่อยจักรไท้เฮงเสง,1,,3226,108,3-34(1)-2/14นบ,นนทบุรี
11000,เลื่อยไม้และทำไม้อัด,16101,109,80000000,เลขที่ 74/1,เมืองนนทบุรี,225,-10120000225171-,2,02-5251773-5,118,วัดน้อยนอก,21649.85,100.4798167,นนทบุรี 1,บางกระสอ,107,,บริษัท เมโทรท็อปวู้ด จำกัด,13.87213333,3,14/03/1431,109,3-34(1)-2/17นบ,นนทบุรี
,เลื่อยไม้ (เครื่องจักรใช้สำหรับเลื่อยไม้ 250 แรงม้าและ,106000000000,110,,เลขที่ 39/3,บางบัวทอง,5000000,-10120000225304-,5,,1100000,,14,08/07/1454,บางกรวย-ไทรน้อย,บางบัวทอง,1500000,28/01/1444,บริษัท ทรอปิคอลทิมเบอร์ จำกัด,1,,17860,110,3-34(1)-2/30นบ,นนทบุรี
11150,แปรรูปไม้ ผลิตไม้บาง (ไม้วีเนียร์) เพื่อจำหน่าย,16101,111,48500000,เลขที่ 59/1,ไทรน้อย,91,-10120000225452-,4,02-9223856,35,,4393.56,100.3082833,ฤชุพันธ์,ไทรใหญ่,56,,บริษัท เอพี แมนูแฟคเจอเรอร์ จำกัด,14.1127,3,05/08/1459,111,3-34(1)-2/45นบ,นนทบุรี
11110,ไส-ซอยไม้ ทำวงกบประตูหน้าต่างไม้,16101,112,220000,เลขที่ 50,บางบัวทอง,4,-10120000425284-,7,5717518,4,,69,100.4361333,บางกรวย-ไทรน้อย,บางรักใหญ่,0,,ห้างหุ้นส่วนจำกัด บางรักใหญ่พานิช,13.87155,3,01/02/1451,112,3-34(1)-4/28นบ,นนทบุรี
,ไสไม้ ซอยไม้,104000000000,113,,เลขที่ 5,บางบัวทอง,70000,-10120000625248-,7,,0,,3,02/03/1450,บางกรวย-ไทรน้อย,บางรักใหญ่,100000,27/07/1438,ห้างหุ้นส่วนจำกัด ฮกเฮงล้งค้าไม้,1,,2496,113,3-34(1)-6/24นบ,นนทบุรี
,แปรรูปไม้โดยการเลื่อย ไส ซอย,126000000000,114,,เลขที่ 73,บางบัวทอง,0,-10120006325470-,6,,0,-,80,08/07/1461,บางบัวทอง-สุพรรณบุรี,ละหาร,0,19/02/1464,บริษัท จี.แอล.เอช.โปรดักส์ จำกัด,1,,29120,114,3-34(1)-63/47นบ,นนทบุรี
,ทำประตู - หน้าต่างไม้,3120000000000,115,,เลขที่ 109/16-17,เมืองนนทบุรี,1000000,-10120000125249-,8,,28680000,,9,16/03/1450,ติวานนท์,บางกระสอ,2000000,02/01/1448,ส.พัฒนา,1,,1619,115,3-34(2)-1/24นบ,นนทบุรี
11120,ทำวงกบ บานประตูหน้าต่าง เฟอร์นิเจอร์เครื่องเรือน,16220,116,470000,เลขที่ 50/19-20,ปากเกร็ด,8,-10120100225295-,4,5837639,6,,56.75,100.5162333,แจ้งวัฒนะ,ปากเกร็ด,2,,รุ่งทวีการช่าง,13.90651667,3,27/12/1451,116,3-34(2)-2/29นบ,นนทบุรี
,ทำวงกบประตู-หน้าต่างและไส-ซอยไม้,104000000000,117,,เลขที่ 44,ปากเกร็ด,1700000,-10120000525216-,5,,4000000,,3,02/03/1450,,ท่าอิฐ,1600000,24/11/1435,ห้างหุ้นส่วนจำกัด กระเบื้องวัฒนา,3,,3200,117,3-34(2)-5/21นบ,นนทบุรี
,ทำวงกบบานประตู-หน้าต่างจากไม้,104000000000,118,,เลขที่ 35/12,เมืองนนทบุรี,100000,-10120000625149-,2,,0,,6,08/03/1450,งามวงศ์วาน,บางเขน,150000,02/10/1428,ห้างหุ้นส่วนจำกัด เชียงฮงล้ง,1,,659,118,3-34(2)-6/14นบ,นนทบุรี
,ทำไม้วีเนียร์ และไม้อัดทุกชนิด,106000000000,119,,เลขที่ 9/5,ไทรน้อย,20000000,-10120200125460-,1,,20000000, -,50,23/04/1460,ไทรน้อย-ลาดบัวหลวง,ราษฎร์นิยม,40000000,27/09/1461,บริษัท ชัยวสิษฐ์พาราวู้ด (2002) จำกัด,1,,8800,119,3-34(3)-1/46นบ,นนทบุรี
11000,เลื่อยไม้ และผลิตแผ่นไม้บาง,16210,120,10000000,เลขที่ 72,เมืองนนทบุรี,73,-10120200225310-,2,5251793,39,นนทบุรี 15,906.33,100.4831,,บางกระสอ,34,,บริษัท เมโทร อินดัสเตรียล ปาร์ต จำกัด,13.87431667,3,27/04/1450,120,3-34(3)-2/31นบ,นนทบุรี
,ทำไม้ปาร์ติเกิล,126000000000,121,,เลขที่ 39/5,ไทรน้อย,80000000,-10120100225469-,4,,30000000,,55,02/06/1460,ฤชุพันธ์,ไทรใหญ่,1000000000,22/11/1461,บริษัท เมโทร ปาร์ติเกิล จำกัด,1,,654859,121,3-34(3)-2/46นบ,นนทบุรี
11150,ทำแผ่นไม้อัด,16210,122,7000000,เลขที่ 23/2,ไทรน้อย,50,-10120000325468-,4,,25,,5222.5,100.3119833,ไทรน้อย-ลาดบัวหลวง,คลองขวาง,25,,บริษัท พลาย เวิลด์ จำกัด,14.04836667,3,27/10/1460,122,3-34(3)-3/46นบ,นนทบุรี
,ทำไม้ปาร์ติเกิล,126000000000,123,,เลขที่ 39/5,ไทรน้อย,110000000,-10120000325542-,4,,21000000,-,115,27/04/1468,ฤชุพันธ์,ไทรใหญ่,1220000000,25/06/1469,บริษัท เมโทร ปาร์ติเกิล จำกัด,1,,133532,123,3-34(3)-3/54นบ,นนทบุรี
11120,ทำเครื่องเรือน บานประตู-หน้าต่างจากไม้,31001,124,308000000,"เลขที่ 126/7,126/14",ปากเกร็ด,678,-10120100125198-,1,,379,สุขาประชาสรรค์,3201,100.5032833,แจ้งวัฒนะ,ปากเกร็ด,299,,บริษัท สักทอง (ไทย) จำกัด,13.92371667,3,25/04/1451,124,3-37-1/19นบ,นนทบุรี
11120,ทำเฟอร์นิเจอร์ด้วยเหล็กและไม้,31001,125,500000,เลขที่ 11/8,ปากเกร็ด,30,-10120300125238-,8,5881244,30,,56.55,100.5151333,ติวานนท์,บางพูด,0,,บริษัท ทรีสไตล์ จำกัด,13.91708333,3,21/12/1451,125,3-37-1/23นบ,นนทบุรี
11120,ทำเครื่องเรือนจากไม้ และเสาแกะสลัก,31001,126,0,เลขที่ 19/4,ปากเกร็ด,141,-10120100425291-,6,5839408,68,,1849.43,100.50625,สุขาภิบาล 2,บางพูด,73,,บริษัท ทัสค์ จำกัด,13.92928333,3,30/03/1450,126,3-37-4/29นบ,นนทบุรี
,นำไม้อัดและไม้อัดชานอ้อยมาปิดผิวด้วยวัสดุต่าง ๆ เพื่อนำไปทำเป็นชิ้นส่วนของเครื่องเรือนหรือเครื่องตบแต่งภายในอาคาร ,126000000000,127,,เลขที่ 9/3,ไทรน้อย,10000000,-10120049525672-,1,,0,,30,26/03/1481,บางกรวย-ไทรน้อย,ราษฎร์นิยม,25000000,03/06/1481,บริษัท อีเอส คอนเซปท์ จำกัด,1,,2625,127,3-37-4/67นบ,นนทบุรี
,ทำเฟอร์นิเจอร์จากไม้และโลหะต่าง ๆ,126000000000,128,,เลขที่ 22/31,เมืองนนทบุรี,500000,-10120000625297-,7,,600000,ศิริชัย 1,22,17/11/1451,ประชาราษฎร์,บางเขน,100000,06/10/1443,บริษัท เค.ซี.เฟอร์ไลน์ จำกัด,1,,10190,128,3-37-6/29นบ,นนทบุรี
11130,ทำวงกบ ประตู หน้าต่างและเครื่องเรือน,31001,129,720000,เลขที่ 61/1,บางกรวย,10,-10120000825269-,3,0-2447-5634,10,,76,100.4771167,บางกรวย-ไทรน้อย,วัดชลอ,0,,สมนึกการช่าง,13.80465,3,20/01/1452,129,3-37-8/26นบ,นนทบุรี
,ผลิตเยื่อกระดาษ และทำผลิตภัณฑ์พลาสติก,126000000000,130,,เลขที่ 32,ไทรน้อย,3000000,-10120119725673-,9,,12000000,วัดสโมสร,16,11/07/1481,ลาดหลุมแก้ว-บางเลน,ไทรใหญ่,10000000,16/09/1481,บริษัท อีโค่ เฟรนด์ลี่ ไทย จำกัด,1,,9600,130,3-38(1)-1/67นบ,นนทบุรี
,ผลิตกระดาษการ์ดและกระดาษกล่องเคลือบแป้ง,106000000000,131,,เลขที่ 6/2,ปากเกร็ด,10000000,-10120100125172-,3,,2000000,วัดบางพูด,236,24/10/1451,สุขาภิบาล,บางพูด,27647610,30/12/1431,บริษัท โรงงานกระดาษเทนมา (ประเทศไทย) จำกัด,1,,34619,131,3-38(2)-1/17นบ,นนทบุรี
,ทำภาชนะบรรจุจากกระดาษ และทำผลิตภัณฑ์พลาสติกทุกชนิด,,132,,เลขที่ 26/10-11,บางบัวทอง,5000000,-10120000425474-,1,,14000000,โรงหมี่,40,17/05/1461,บางกรวย-ไทรน้อย,บางบัวทอง,30000000,21/06/1461,บริษัท พี.พี.ซี.อุตสาหกรรม จำกัด,1,,4932,132,3-39-4/47นบ,นนทบุรี
,ผลิตบรรจุภัณฑ์จากกระดาษทุกชนิด,106000000000,133,,เลขที่ โฉนดที่ดินเลขที่,บางใหญ่,75000000,-10120021525666-,4,,43000000,-,40,04/02/1480,ประชาอุทิศ,บ้านใหม่,10000000,20/09/1480,บริษัท เอส เอ็น พี เปเปอร์ จำกัด,1,,8280,133,3-39-6/66นบ,นนทบุรี
11150,ทำเทปพลาสติกเคลือบกาว กระดาษเคลือบกาว และผลิตภัณฑ์เคลือบกาวทุกชนิด,23991,134,60000000,เลขที่ 49,ไทรน้อย,110,-10120100125479-,3,,55,-,1371,100.2959411,ปทุม-บางเลน,ขุนศรี,55,,ห้างหุ้นส่วนจำกัด ไทยนาโต้แพคกิ้งเทป,14.02565049,3,05/02/1461,134,3-40(1)-1/47นบ,นนทบุรี
,อัดเศษกระดาษ,116000000000,135,,เลขที่ 49/5,บางใหญ่,20000000,-10120000425532-,4,,8400000,-,11,17/03/1467,บางใหญ่-บางคูลัด,บางม่วง,9000000,22/04/1467,บริษัท พี.ซี.ไอ.เปเปอร์ จำกัด,1,,2710,135,3-40(1)-4/53นบ,นนทบุรี
,ทำกระดาษอนามัย,126000000000,136,,เลขที่ 59/8,ไทรน้อย,10000000,-10120000125330-,2,,2000000,,20,27/10/1450,,ขุนศรี,30000000,03/12/1447,บริษัท ฮวงฮั้ว จำกัด,1,,10400,136,3-40(2)-1/33นบ,นนทบุรี
11150,ทำแผ่นกระดาษ และพิมพ์กระดาษ,17011,137,25700000,เลขที่ 20/1,ไทรน้อย,32,-10120200125452-,2,,18,,1282.5,100.2798167,ลาดหลุมแก้ว-บางเลน,ขุนศรี,14,,พรภัค,14.02398333,3,02/10/1459,137,3-40(2)-1/45นบ,นนทบุรี
,ติดกระดาษเมลามีนบนไม้ปาร์ติเกิลบอร์ด,126000000000,138,,เลขที่ 99/9,ไทรน้อย,50000000,-10120000225486-,8,,25000000,-,39,03/03/1462,ฤชุพันธ์,ราษฎร์นิยม,250000000,01/06/1462,บริษัท เมโทร ปาร์ติเกิล จำกัด,1,,77600,138,3-40(2)-2/48นบ,นนทบุรี
,พิมพ์สิ่งพิมพ์/หนังสือพิมพ์,108000000000,139,,เลขที่ 27/1,ปากเกร็ด,10000000,-10120000225494-,5,,24000000,33,20,10/02/1463,สุขาประชาสรรค์ 2,บางพูด,80000000,28/03/1463,บริษัท เอเชีย แพ็คเกจจิ้ง แมนูแฟคเจอริ่ง จำกัด,3,,0,139,3-41(1)-2/49นบ,นนทบุรี
,พิมพ์สิ่งพิมพ์ต่าง ๆ,,140,,เลขที่ 55/5,บางกรวย,10000000,-10120002225476-,2,,18000000,โตแจ้ง,51,04/08/1461,รพช.วัดสัก-โคนอน,บางขนุน,90000000,09/07/1464,บริษัท เพอร์เฟคท์ พริ้นท์ แอนด์ แอ็ดเวอร์ไทซิ่ง จำกัด,1,,6312,140,3-41(1)-22/47นบ,นนทบุรี
,ผลิตฟองน้ำ,106000000000,141,,เลขที่ 9,ไทรน้อย,20000000,-10120300125469-,6,,27000000,-,35,11/07/1460,ไทรน้อย-ลาดบัวหลวง,ราษฎร์นิยม,75000000,09/08/1460,บริษัท บราเธอร์โฟม จำกัด,1,,40781,141,3-44-1/46นบ,นนทบุรี
,ผลิตสีน้ำมันทาไม้,106000000000,142,,เลขที่ 91/326/1,เมืองนนทบุรี,5182007,-10120400125302-,11,,7625899,พิชยนันท์,28,16/03/1450,ติวานนท์,ตลาดขวัญ,4515887,08/07/1444,บริษัท พรีซีสชั่น เอนยีเนียริ่ง จำกัด,1,,3964,142,3-45(1)-1/30นบ,นนทบุรี
,ผลิตสีน้ำมัน สีน้ำ,106000000000,143,,เลขที่ 64/2,บางใหญ่,5000000,-10120300125352-,13,,10000000,,15,30/04/1450,,บางม่วง,3000000,18/12/1449,บริษัท ฮาเคม เพ้นท์ จำกัด,1,,2220,143,3-45(1)-1/35นบ,นนทบุรี
11000,ผลิตยารักษาโรดแผนปัจจุบัน,21001,144,5900000,เลขที่ 895,เมืองนนทบุรี,50,-10120100125206-,2,5881582,11,ธนาคารอาคารสงเคราะห์ 2,114.91,100.54005,งามวงศ์วาน,บางเขน,39,,บริษัท ปรูฟฟ์ จำกัด,13.85703333,3,29/03/1452,144,3-46(1)-1/20นบ,นนทบุรี
,ผลิตยารักษาโรคแผนปัจจุบัน,606000000000,145,,เลขที่ 20,เมืองนนทบุรี,15000000,-10120200125288-,,,0,,25,17/02/1451,,บางเขน,622250,18/02/1442,บริษัท บูรพาโอสถ จำกัด,1,,15000,145,3-46(1)-1/28นบ,นนทบุรี
11120,ผลิตยารักษาโรคแผนปัจจุบัน ประเภทยาเม็ด และยาน้ำ,21001,146,7000000,เลขที่ 30/3,ปากเกร็ด,11,-10120200125312-,4,5744412,11,สำราญดีศรีตะปันย์,41.85,100.5480333,แจ้งวัฒนะ,ปากเกร็ด,0,,บริษัท ฟาร์มา ซัพพลาย จำกัด,13.90238333,3,23/12/1450,146,3-46(1)-1/31นบ,นนทบุรี
,ผลิตยารักษาโรคตามที่รับรองไว้ในตำรายาที่รัฐมนตรีว่าการกระทรวงสาธารณสุขประกาศ,106000000000,147,,เลขที่ ,ปากเกร็ด,0,-10120073625620-,,,145011360,,66,20/03/1476,,ปากเกร็ด,275000000,,บริษัท สยามเภสัช จำกัด,0,,118879,147,3-46(1)-3/62นบ,นนทบุรี
11140,ผลิตยาสำหรับบำบัดรักษาโรค,21001,148,844250000,เลขที่ 99,บางใหญ่,47,-10120000125553-,4,02-613-9939,18,,2033.37,100.33522,นบ.5014,บ้านใหม่,29,,บริษัท สยามไบโอไซเอนซ์ จำกัด,13.8536,3,06/01/1469,148,3-46(2)-1/55นบ,นนทบุรี
,ผลิตยาสำหรับบำบัดรักษาโรค,106000000000,149,,เลขที่ 99,บางใหญ่,324000000,-10120000725618-,4,,15000000,,31,09/10/1475,ทางหลวงชนบท นบ.5014,บ้านใหม่,852000000,05/05/1479,บริษัท เอบินิส จำกัด,1,,18518,149,3-46(2)-7/61นบ,นนทบุรี
11000,ทำน้ำยาซักผ้า,20231,150,2800000,เลขที่ 13,เมืองนนทบุรี,3,-10120300125311-,,5883461,3,เรวดี 2,99.3,100.5169833,,ตลาดขวัญ,0,,บริษัท ฟีนอล จำกัด,13.85533333,3,15/11/1450,150,3-47(1)-1/31นบ,นนทบุรี
,ผลิตกาวยาแนวกันรั่วซึม กาวเคลือบผิวกันน้ำ และบรรจุกาวลงบรรจุภัณฑ์เช่นหลอด,126000000000,151,,เลขที่ 88,บางใหญ่,10000000,-10120000825582-,4,,7000000,,15,28/10/1472,ต้นเชือก-ไทรน้อย,บ้านใหม่,17000000,29/01/1473,บริษัท แอดฮีซีล จำกัด,1,,6400,151,3-48(3)-8/58นบ,นนทบุรี
11150,ผลิตขี้ผึ้งเทียนไขและเครื่องวาดภพดินสอสีเทียน คัด แยก และบรรจสินค้าทั่วไป,32909,152,12500000,เลขที่ 49,ไทรน้อย,97,-10120400125310-,1,2117410,38,,2646.1,100.3124,บางบัวทอง-ลาดบัวหลวง,ราษฎร์นิยม,59,,บริษัท สยาม ควอลิตี้ อินดัสทรี้ส จำกัด,14.03085,3,11/02/1451,152,3-48(5)-1/31นบ,นนทบุรี
,ผลิตแอสฟัลท์ติกคอนกรีต,416000000000,153,,เลขที่ โฉนดที่ดินเลขที่ 54829,ไทรน้อย,30000000,-10120287825636-,11,,50000000,,17,17/12/1477,,ไทรใหญ่,60000000,25/02/1478,บริษัท ไทยวัฒน์วิศวการทาง จำกัด,1,,45883,153,3-50(4)-116/63นบ,นนทบุรี
10700,ผลิตแอสฟัลท์ติกคอนกรีต,19209,154,135075000,เลขที่ 2/5,ไทรน้อย,11,-10120000425615-,10,02-8810333-6,7,วัดสโมสร,3606.3,100.2858779,หมายเลข 3015,ไทรใหญ่,4,,บริษัท ซีโก้ทรานสปอร์ต จำกัด,14.05069776,3,12/01/1475,154,3-50(4)-4/61นบ,นนทบุรี
,"ทำผลิตภัณฑ์ยาง เช่น ยางพ ื้นรองเท้า กำลังการผลิต 200,000 คู่/ปี ลูกยางขัดข้าว กำลังการผลิต 10,000 แท่ง/ปี ลูกยางกระเทาะข้าวเปลือก กำลังการผลิต 1,000 ลูก/ปี ฯลฯ",126000000000,155,,เลขที่ 52/4,บางบัวทอง,1000000,-10120000125371-,8,,8000000,,22,07/10/1451,ตลิ่งชัน-สุพรรณบุรี,ละหาร,4000000,03/01/1452,บริษัท แสตนดาร์ด รับเบอร์ แฟคตอรี่ จำกัด,1,,2680,155,3-52(4)-1/37นบ,นนทบุรี
,ทำผลิตภัณฑ์ยางเช่นชิ้นส่วนอะไหล่รถยนต์กำลังการผลิต120ตัน/ปี,3120000000000,156,,เลขที่ 56,เมืองนนทบุรี,1000000,-10120100125388-,,,2000000,รณสิทธิพิชัย 13,12,23/11/1452,สนามบินน้ำ,ท่าทราย,5000000,,,1,,285,156,3-52(4)-1/38นบ,นนทบุรี
,ทำผลิตภัณฑ์ยาง เช่น ยางผสม,106000000000,157,,เลขที่ 88,ไทรน้อย,20000000,-10120001225543-,8,,0,-,20,29/06/1468,ไทรน้อย-ลาดบัวหลวง,คลองขวาง,80000000,18/06/1469,บริษัท สยามนวกรรม จำกัด,1,,36550,157,3-52(4)-12/54นบ,นนทบุรี
,ทำผลิตภัณฑ์จากยาง เช่น พัฟฟองน้ำ,746000000000,158,,เลขที่ 5/1,ไทรน้อย,3000000,-10120001225618-,4,,30000000,,8,07/06/1475,,ขุนศรี,30000000,27/08/1475,บริษัท ไทยบิวตี้พัฟ จำกัด,1,,17948,158,3-52(4)-12/61นบ,นนทบุรี
11000,ทำผลิตภัณฑ์ยาง เช่น ชิ้นส่วนอะไหล่รถยนต์,22199,159,16200000,เลขที่ 56,เมืองนนทบุรี,40,-10120300225319-,,5883064,32,รณสิทธิพิชัย 13,656.81,100.5038667,นนทบุรี 1,ท่าทราย,8,,บริษัท แอ๊ดว๊านซ์ โพลิเมอร์ เจ.ที. จำกัด,13.87398333,3,31/01/1451,159,3-52(4)-2/31นบ,นนทบุรี
,ทำผลิตภัณฑ์จากยางพารา เช่น ที่นอน หมอน ถุงมือ ฯลฯ,126000000000,160,,เลขที่ 51/5,บางบัวทอง,4000000,-10120000525596-,8,,5000000,,14,04/02/1473,บางบัวทอง-สุพรรณบุรี,ละหาร,25000000,25/08/1474,บริษัท ลาเท็กซ์เอเชีย (ประเทศไทย) จำกัด,1,,6336,160,3-52(4)-5/59นบ,นนทบุรี
,ทำเบาะยางฟองน้ำ,104000000000,161,,เลขที่ 8/4,เมืองนนทบุรี,0,-10120400125237-,6,,0,,8,24/03/1452,พิบูลสงคราม,สวนใหญ่,0,06/06/1437,ห้างหุ้นส่วนจำกัด สแตนดาร์ดโฟมรับเบอร์แฟคตอรี่,1,,800,161,3-53(1)-1/23นบ,นนทบุรี
,ทำผลิตภัณฑ์พลาสติก เช่น ฝาจุกขวด,126000000000,162,,เลขที่ 205/24,เมืองนนทบุรี,500000,-10120500125301-,6,,1770000,สามไชย,10,15/03/1450,นนทบุรี 1,บางกระสอ,1500000,28/09/1444,บริษัท เจริญชัยพลาสติกซัพพลาย จำกัด,1,,400,162,3-53(1)-1/30นบ,นนทบุรี
,ทำผลิตภัณฑ์พลาสติกเช่นฝาจุกหลอดบรรจุครีม,126000000000,163,,เลขที่ 1/10,ปากเกร็ด,5000000,-10120100125339-,9,,0,,35,08/03/1450,แจ้งวัฒนะ,บางพูด,12000000,04/06/1447,บริษัท วิคเตอร์แพคเกจจิ้ง จำกัด,1,,9068,163,3-53(1)-1/33นบ,นนทบุรี
,ทำเครื่องใช้จากพลาสติก และทำแบบพิมพ์โลหะ,106000000000,164,,เลขที่ 79,ไทรน้อย,4000000,-10120200125387-,3,,8000000,,34,20/04/1452,ฤชุพันธ์,ไทรใหญ่,20000000,19/06/1452,บริษัท ณัฐกิจ อุตสาหกรรม จำกัด,1,,10820,164,3-53(1)-1/38นบ,นนทบุรี
