แรงม้า,ตำบล,ประกอบกิจการ,เลขทะเบียนเดิม,ถนน,เลขที่,ประเภท,จังหวัด,โทรศัพท์,เงินทุน,หมู่,เลขทะเบียนโรงงาน,ผู้ประกอบการ,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,_id,อำเภอ,คนงาน
6549.25,นิคมลำนารายณ์,ผลิตแป้งมันและผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพ กำลังการผลิต 2.826 เมกะวัตต์ เพื่อใช้เองภายในโรงงาน,3-9(2)-1/45ลบ,-,9,902,ลพบุรี,036-462361,78500000,6,10160000125450,บริษัท ลพบุรี สตาร์ช จำกัด,,บริษัท ลพบุรี สตาร์ช จำกัด,15130,10612,82,ชัยบาดาล,2
383,นิคมลำนารายณ์,ทำมันเส้น,จ3-9(6)-5/52ลบ,สระบุรี-หล่มสัก,103,906,ลพบุรี,,35580000,4,20160000525525,นายสมชาย งามประเสริฐสิทธิ์,,เอี่ยวฮั่วล้งการเกษตร,15130,10621,83,ชัยบาดาล,8
1001.5,นิคมลำนารายณ์,ผลิตน้ำดื่ม น้ำแข็งก้อนเล็กวันละ 45 ตัน น้ำแข็งซองวันละ 721 ซอง,3-14-3/48ลบ,สุระนารายณ์,100/1-4,1400,ลพบุรี,01-2916540,10100000,6,10160000325480,ห้างหุ้นส่วนจำกัด กรีนไอซ์ ชัยบาดาล,-,ห้างหุ้นส่วนจำกัด กรีนไอซ์ ชัยบาดาล,15130,10795,84,ชัยบาดาล,10
1432,นิคมลำนารายณ์,ผลิตน้ำแข็งหลอดเล็ก น้ำแข็งหลอดใหญ่ และน้ำแข็งซอง,3-14-15/64ลบ,,102,1400,ลพบุรี,081-3933330,30254800,6,10160196225643,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งกิจวารีลำนารายณ์,,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งกิจวารีลำนารายณ์,15130,10795,85,ชัยบาดาล,30
260,นิคมลำนารายณ์,ผลิตอาหารสัตว์,จ3-15(1)-3/65ลบ,,121,1501,ลพบุรี,,36000000,4,20160068925658,บริษัท ทรัพย์ทิพย์ จำกัด,,บริษัท ทรัพย์ทิพย์ จำกัด,15130,10801,86,ชัยบาดาล,4
7755.95,นิคมลำนารายณ์,ผลิตอาหารสัตว์ กำลังการปละต 300 ตัน/วัน,ศ3-15(1)-2/36ลบ,สระบุรี - หล่มสัก,43,1501,ลพบุรี,,335000000,2,00160000225369,บริษัท สหฟาร์ม จำกัด, สระบุรี-หล่มสัก,โรงงาน นารายณ์อาหารสัตว์,15130,10801,87,ชัยบาดาล,110
20831.2,นิคมลำนารายณ์,"ผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง กำลังการผลิต 200,000 ลิตรต่อวัน",3-17-2/51ลบ,สุระนารายณ์,49,1700,ลพบุรี,,1375000000,6,10160000225516,บริษัท ทรัพย์ทิพย์ จำกัด,-,บริษัท ทรัพย์ทิพย์ จำกัด,15130,20114,88,ชัยบาดาล,45
427,นิคมลำนารายณ์,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,3-34(4)-6/64ลบ,,49/1,3404,ลพบุรี,,35530000,6,10160091425645,บริษัท ทรัพย์ทิพย์ กรีน เอ็นเนอร์ยี่ จำกัด,,บริษัท ทรัพย์ทิพย์ กรีน เอ็นเนอร์ยี่ จำกัด,15130,16299,89,ชัยบาดาล,7
174.5,นิคมลำนารายณ์,ทำชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,3-34(4)-28/63ลบ,สระบุรี-หล่มสัก,โฉนดที่ดินเลขที่ 7959 นส.3 เลขที่ 266,3404,ลพบุรี,,8000000,2,10160191625631,ห้างหุ้นส่วนจำกัด เอ ซี ไบโอแมส,,ห้างหุ้นส่วนจำกัด เอ ซี ไบโอแมส,15130,16299,90,ชัยบาดาล,8
349.77,นิคมลำนารายณ์,ผลิตปุ๋ยอินทรีย์,จ3-43(1)-8/65ลบ,,"โฉนดที่ดินเลขที่ 32415,32148",4301,ลพบุรี,,16500000,4,20160068725652,บริษัท ทรัพย์ทิพย์ จำกัด,,บริษัท ทรัพย์ทิพย์ จำกัด,15130,20121,91,ชัยบาดาล,4
163.63,นิคมลำนารายณ์,โรงงานผลิตคอนกรีตผสมเสร็จเพื่อให้บริการทั่วไป โรงงานผลิตและจำหน่ายผลิตภัณฑ์ที่ได้จากคอนกรีต,จ3-58(1)-77/60ลบ,,6,5801,ลพบุรี,,9700000,4,20160007725607,บริษัท แชมป์คอนกรีตกรุ๊ป จำกัด,,บริษัท แชมป์คอนกรีตกรุ๊ป จำกัด,15130,23953,92,ชัยบาดาล,6
101,นิคมลำนารายณ์,ทำหลังคาจากโลหะแผ่นเคลือบ,จ3-63(2)-26/52ลบ,สระบุรี-หล่มสัก,123,6302,ลพบุรี,,2000000,2,20160002625521,บริษัท กม.75 จำกัด,,บริษัท กม.75 จำกัด,15130,25111,93,ชัยบาดาล,4
14043.42,นิคมลำนารายณ์,ผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพ ขนาดกำลังการผลิต 2.406 เมกะวัตต์ เพื่อจำหน่ายและผลิตไอน้ำจากก๊าซชีวภาพ ขนาดกำลังการผลิต 16.75 ตันต่อชั่วโมง เพื่อจำหน่าย,3-88(2)-17/62ลบ,สุรนารายณ์,49/1,8802,ลพบุรี,,76000000,6,40160296625621,บริษัท ทรัพย์ทิพย์ กรีน เอ็นเนอร์ยี่ จำกัด,,บริษัท ทรัพย์ทิพย์ กรีน เอ็นเนอร์ยี่ จำกัด,15130,35101,94,ชัยบาดาล,15
300,นิคมลำนารายณ์,ผลิตก๊าซชีวภาพ,จ3-89-20/54ลบ,,9,8900,ลพบุรี,,47400000,6,20160002025540,บริษัท หวังดี เอ็นเนอยี จำกัด,,บริษัท หวังดี เอ็นเนอยี่ จำกัด,15130,20111,95,ชัยบาดาล,6
95.25,นิคมลำนารายณ์,ซ่อมและบำรุงรักษารถยนต์,จ3-95(1)-3/40ลบ,สระบุรี-หล่มสัก,111/1,9501,ลพบุรี,632245,20600000,2,20160200325403,บริษัท อีซูซุลพบุรี จำกัด,,บริษัท อีซูซุลพบุรี จำกัด,15130,33121,96,ชัยบาดาล,24
88,นิคมลำนารายณ์,นำเถ้าลอย เถ้าหนักหรือขี้เถ้า จากโรงงานอุตสาหกรรมที่ไม่เป็นของเสียอันตราย ผสมเข้ากับวัสดุประเภทซีเมนต์ ปูนขาว ทราย เพื่อผลิตเป็นผลิตภัณฑ์บล็อคมวลเบาหรือผลิตภัณฑ์มวลผสม,3-106-27/60ลบ,,โฉนดที่ดินเลขที่ 1855,10600,ลพบุรี,,4300000,2,10160002725604,นายหัสนัย ลิ้มเจริญ,,อีโคไซเคิล,10220,38300,97,ชัยบาดาล,5
2200,ชัยบาดาล,ฟักไข่,จ1-2(11)-1/53ลบ,สุระนารายณ์,216,211,ลพบุรี,,0,5,20160000125532,บริษัท คาร์กิลล์มีทส์ จำกัด,,บริษัท คาร์กิลล์มีทส์ จำกัด,15230,1461,98,ชัยบาดาล,0
260,ชัยบาดาล,ลานตากพืชไร่ และทำมันเส้น,จ3-8(2)-5/55ลบ,,132,802,ลพบุรี,081-8514507,20000000,4,20160000525558,นางณัฎฐ์กชพร กุลตา,,ฐิติวัฒน์ พืชผล,15230,10304,99,ชัยบาดาล,5
137.65,ชัยบาดาล,"ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 1,000 เครื่อง)",3-28(1)-1/39ลบ,สุระนารายณ์,3,2801,ลพบุรี,01-2125320,95000000,4,10160000125393,ห้างหุ้นส่วนจำกัด ดับบลิว.อี ท่าหลวง,,ห้างหุ้นส่วนจำกัด ดับบลิว.อี ท่าหลวง,15230,14111,100,ชัยบาดาล,180
9780.8,ชัยบาดาล,ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์,3-88(1)-38/56ลบ,,88/1,8801,ลพบุรี,02-2620823,300000000,4,40160003825563,บริษัท เอ เจ เทคโนโลยี จำกัด,,บริษัท เอเจ เทคโนโลยี จำกัด,15230,35101,101,ชัยบาดาล,12
9780.8,ชัยบาดาล,ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์,3-88(1)-40/56ลบ,,88/2,8801,ลพบุรี,02-2620823,300000000,4,40160004025569,บริษัท ทิพยนารายณ์ จำกัด,,บริษัท ทิพยนารายณ์ จำกัด,15230,35101,102,ชัยบาดาล,12
485.5,เขาแหลม,อบเมล็ดข้าวโพด,จ3-2(1)-18/59ลบ,-,น.ส.3 ก. เลขที่ 1042,201,ลพบุรี,,145000000,1,20160001825593,บริษัท พัชรภูมิ์ จำกัด,-,บริษัท พัชรภูมิ์ จำกัด,10310,1630,103,ชัยบาดาล,30
171,เขาแหลม,การร่อน การอัดหรือการย่อยส่วนต่าง ๆ ของชานอ้อย,จ3-2(6)-8/58ลบ,,19,206,ลพบุรี,,4800000,1,20160000825586,บริษัท ไทย เทคโน ฟู้ดส์ จำกัด,,บริษัท ไทย เทคโน ฟู้ดส์ จำกัด,15130,1630,104,ชัยบาดาล,17
950,เขาแหลม,ผลิตชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,3-34(4)-29/54ลบ,-,-,3404,ลพบุรี,,63916058,7,10160002925543,บริษัท คันนา จำกัด,-,ชัยบาดาลวู้ดชิพ,15130,16299,105,ชัยบาดาล,29
1675,เขาแหลม,ผลิตไฟฟ้าด้วยแสงอาทิตย์ขนาด 1.25 เมกะวัตต์,3-88(1)-16/53ลบ,สุระนารายณ์ กม.218,โฉนดที่ดินเลขที่ 9565,8801,ลพบุรี,02-751-9100,115000000,6,10160001625532,บริษัท อีเนอร์คิว จำกัด,,อีเนอร์คิว ห้วยหิน1,15130,35101,106,ชัยบาดาล,6
3818.35,เขาแหลม,ผลิตไฟฟ้าด้วยแสงอาทิตย์ ขนาด 1.25 เมกะวัตต์,3-88(1)-32/55ลบ,สุระนารายณ์ กม.218,119/3,8801,ลพบุรี,036-643075,102000000,6,10160003225554,บริษัท อีเนอร์คิว จำกัด,,อีเนอร์คิว ห้วยหิน3,15130,35101,107,ชัยบาดาล,6
1883.37,เขาแหลม,ผลิตไฟฟ้าด้วยแสงอาทิตย์ ขนาด 1.25 เมกกะวัตต์,3-88(1)-123/54ลบ,สุระนารายณ์ กม.218,119/2,8801,ลพบุรี,036-643075,115000000,6,10160012325544,บริษัท อีเนอร์คิว จำกัด,,อีเนอร์คิว ห้วยหิน 2,15130,35101,108,ชัยบาดาล,6
,,,,,,,,,,,,,,,,,109,,
,,,,,,,,,,,ข้อมูลเมื่อวันที่,,,7/2/2024,,,110,,
