เงินทุนรวม,ประกอบกิจการ,อำเภอ,TSIC,ถนน,GPS_lat,ซอย,FID,คนงานรวม,ลำดับ,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,อนุญาต,ตำบล,factype,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,GPS_lng,สิ้นอายุ,คนงานหญิง
3500000,ผลิตคอนกรีตผสมเสร็จ,บางบัวทอง,23953,บางบัวทอง-บางกรวย,100.4336667,,-10120300225327-,3,189,11110,นนทบุรี,1,เลขที่ 89,316.89,36288900,24/10/1451,บางรักใหญ่,3,3,189,3-58(1)-2/32นบ,โรงงานคอนกรีตผสมเสร็จรัตนาธิเบศร์,,13.8813,0
,"ทำผลิตภัณฑ์คอนกรีต เช่นเสาเข็ม พื้นคอนกรีตเสริมเหล็ก เสาเข็มคอนกรีตอัดแรงและพื้นสำเร็จรูปอัดแรงคอนกรีต , ผลิตคานสะพานคอนกรีตแบบกล่อง",ไทรน้อย,126000000000,ปทุมธานี-บางเลน,22/12/1450,,-10120000225346-,7000000,190,,นนทบุรี,3,เลขที่ 32/2,29,,30708,ขุนศรี,,8500000,190,3-58(1)-2/34นบ,บริษัท ภัทร ไพล์ลิ่ง จำกัด,05/02/1448,1,10000000
,ทำผลิตภัณฑ์คอนกรีต เช่น พื้นคอนกรีตสำเร็จรูป ชิ้นส่วนทางวิ่งยกระดับรถไฟฟ้าและรถยนต์(Viaduct Segment),ไทรน้อย,106000000000,ตลิ่งชัน-สุพรรณบุรี,24/02/1472,,-10120002625584-,30000000,191,,นนทบุรี,4,เลขที่ 9/3,370,,281408,ไทรใหญ่,,255000000,191,3-58(1)-26/58นบ,บริษัท เอสเอ็นที คอนกรีต โซลูชั่น จำกัด,28/08/1472,1,21025333
,ผลิตเสาเข็มทุกชนิด,ไทรน้อย,106000000000,บางบัวทอง-สุพรรณบุรี,22/12/1450,,-10120000525349-,23260000,192,,นนทบุรี,4,เลขที่ 33/3,161,,172800,ไทรใหญ่,,84130000,192,3-58(1)-5/34นบ,บริษัท ไทย เนชั่นแนลโปรดัคท์ จำกัด,28/06/1448,1,70448168
,ผลิตคอนกรีตผสมเสร็จ,บางบัวทอง,106000000000,,31/01/1451,,-10120000625347-,3000000,193,,นนทบุรี,3,เลขที่ 336,2,,3200,บางรักพัฒนา,,3000000,193,3-58(1)-6/34นบ,หน่วยผลิตคอนกรีตบางใหญ่,28/11/1448,1,2500000
,ทำผลิตภัณฑ์คอนกรีตเช่นท่อระบายน้ำเสาปูนถังส้วม,บางบัวทอง,116000000000,บางบัวทอง-สุพรรณบุรี,20/04/1450,,-10120000725337-,1000000,194,,นนทบุรี,9,เลขที่ 10/2,22,,6260,ละหาร,,0,194,3-58(1)-7/33นบ,บริษัท บัวไทยอุตสาหกรรม จำกัด,08/10/1447,1,4500000
,ทำเสาเข็มคอนกรีตและผลิตภัณฑ์คอนกรีต,ไทรน้อย,126000000000,ปทุมธานี-บางเลน,08/03/1450,,-10120000925333-,2000000,195,,นนทบุรี,3,เลขที่ 27,29,,35200,ขุนศรี,,4000000,195,3-58(1)-9/33นบ,บริษัท นนทบุรีคอนกรีต จำกัด,09/11/1447,1,6000000
,ผลิตท่อเหล็ก ท่อสแตนเลส ฯลฯ,ไทรน้อย,106000000000,,19/01/1464,,-10120000325500-,100000000,196,,นนทบุรี,1,เลขที่ 33/3,110,,76800,ราษฎร์นิยม,หลอมหรือรีด,30000000,196,3-59-3/50นบ,บริษัท ปิติสวัสดิ์ จำกัด,17/09/1466,1,200000000
,ผลิตท่อเหล็ก ท่อสแตนเลสชนิดมีตะเข็บ ฯลฯ,ไทรน้อย,106000000000,ไทรน้อย-ลาดบัวหลวง,28/12/1468,,-10120000725543-,90000000,197,,นนทบุรี,4,เลขที่ ,24,,41888,คลองขวาง,หลอมหรือรีด,26000000,197,3-59-7/54นบ,บริษัท พี.ที.เมตัล จำกัด,,0,50000000
117000000,ผลิตลวดแรงดึงสูง,ไทรน้อย,24101,,100.2946387,,-10120000825590-,24,198,11000,นนทบุรี,10,เลขที่ 36/1,3208,,15/09/1473,ไทรใหญ่,3,22,198,3-59-8/59นบ,บริษัท สายใยแก้ว ลวดเหล็ก จำกัด,,14.06471837,2
2200000,"หลอมหล่ออลูมิเนียม,ทำเครื่องปะยางแม่พิมพ์หล่อดอกยาง",ไทรน้อย,24101,ปทุมธานี-บางเลน,100.2802833,,-10120100125347-,35,199,11150,นนทบุรี,2,เลขที่ 59/10,5568.25,0 2921 9536-7,18/06/1450,ขุนศรี,3,13,199,3-60-1/34นบ,บริษัท อินทราแมชชินเนอรี่ จำกัด,,14.02365,22
,หลอมอลูมิเนียมเพื่อทำประตูอัลลอยด์ และมือจับอัลลอยด์,บางกรวย,3100000000000,-,09/04/1450,-,-10120400125351-,2000000,200,,นนทบุรี,5,เลขที่ 79/5,22,,2400,บางกรวย,,1600000,200,3-60-1/35นบ,ทวีศักดิ์อุตสาหกรรม,24/02/1449,1,1000000
13000000,หล่อและหลอมโลหะ เช่น อลูมิเนียม,บางกรวย,24101,บางม่วง-บางคูลัดสาย 1,100.3975833,,-10120500125467-,10,201,11130,นนทบุรี,5,เลขที่ 99/9,481,02-9039508-11,10/11/1460,ปลายบาง,3,7,201,3-60-1/46นบ,บริษัท ลีดเดอร์ เมททอล (ประเทศไทย) จำกัด,,13.82965,3
,หลอมโลหะทองเหลือง ทองแดง เป็นเพลา,ปากเกร็ด,106000000000,วงแหวนตะวันตก(สาย 346),03/04/1463,,-10120001025497-,10000000,202,,นนทบุรี,10,เลขที่ ,22,,19775,คลองข่อย,,10000000,202,3-60-10/49นบ,บริษัท ไทยบราส อินดัสทรี จำกัด,02/04/1472,1,15000000
,ผลิตเครื่องเรือนจากโลหะ,ไทรน้อย,126000000000,บางกรวย-ไทรน้อย,09/06/1452,วัดคลองตาคล้าย,-10120200125346-,3000000,203,,นนทบุรี,2,เลขที่ 59/2,40,,24000,ไทรน้อย,,7500000,203,3-62-1/34นบ,บริษัท มินิซิสเต็ม 1990 จำกัด,04/02/1448,3,2000000
,ทำประตูระบายน้ำและอุปกรณ์,ปากเกร็ด,126000000000,ติวานนท์,12/05/1451,ชูชาติอนุสรณ์,-10120300125287-,1000000,204,,นนทบุรี,2,เลขที่ 187/85,35,,400,บางตลาด,,800000,204,3-63(1)-1/28นบ,บริษัท เอ็น.อี.อี.เอ็นจิเนียริ่ง จำกัด,04/04/1442,1,500000
515000000,เกี่ยวกับผลิตภัณฑ์โลหะสำหรับใช้ในการก่อสร้าง เช่น แบบเหล็ก นั่งร้าน ฯลฯ,ไทรน้อย,25111,,100.3291444,,-10120063225621-,130,205,11150,นนทบุรี,,เลขที่ ,1144.59,,08/03/1476,ราษฎร์นิยม,3,79,205,3-63(1)-2/62นบ,บริษัท ฟิวเจอร์ซายน์เทรดดิ้ง จำกัด,,14.05869006,51
7675000,ทำส่วนประกอบสำหรับประตู หน้าต่าง เครื่องเรือน เช่น มือจับ ชุดบานเกร็ดและเครื่องเรือน เช่น ตู้ โต๊ะ,เมืองนนทบุรี,25111,ติวานนท์,100.512321,เรวดี 11,-10120200125205-,45,206,11000,นนทบุรี,8,เลขที่ 123/9,430.71,5882629,25/09/1452,บางกระสอ,3,15,206,3-63(2)-1/20นบ,แอลโก้โพดักท์,,13.860322,30
,การทำส่วนประกอบสำหรับใช้ในงานก่อสร้างจากโลหะ เช่นแบบเหล็กนั่งร้าน โครงสร้างเหล็ก ฯลฯ,ไทรน้อย,126000000000,บางบัวทอง-สุพรรณบุรี,01/10/1475,,-10120003825613-,50000000,207,,นนทบุรี,4,เลขที่ 4/23,242,,35790,ราษฎร์นิยม,,30000000,207,3-63(2)-38/61นบ,บริษัท ฟิวเจอร์ซายน์ จำกัด,17/12/1475,1,20000000
,ทำประตูหน้าต่างเหล็กดัดและโครงหลังคาเหล็ก,บางกรวย,3100000000000,จรัญสนิทวงศ์,08/03/1450,,-10120000425243-,200000,208,,นนทบุรี,2,เลขที่ 9/28-29,8,,336,บางกรวย,,0,208,3-63(2)-4/24นบ,อ๊อกซิเย่นเอ็งคิมง้วน,07/08/1438,1,500000
,ผลิตส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น วงกบอลูมิเนียม หน้าต่างกระจก,ไทรน้อย,106000000000,บางกรวย-ไทรน้อย,11/02/1479,,-10120012825653-,30000000,209,,นนทบุรี,8,เลขที่ 8/8,135,,52780,คลองขวาง,,19000000,209,3-63(2)-5/65นบ,บริษัท เอเอจี คอร์ปอเรชั่น จำกัด,11/03/1479,1,104000000
,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น รางประตูสแตนเลส รางประตูสังกะสี รางตัวยูสแตนเลส ฉากพับสแตนเลส ฉากพับสังกะสี ,ไทรน้อย,106000000000,บางบัวทอง-สุพรรณบุรี,13/12/1475,,-10120005725613-,500000000,210,,นนทบุรี,6,"เลขที่ 99/27,99/28",25,,52800,ราษฎร์นิยม,,77400000,210,3-63(2)-57/61นบ,บริษัท อัศว เม็ททอล (ไทยแลนด์) จำกัด,17/11/1477,1,67500000
100000000,ปั๊มโลหะเช่นกระป๋องอะไหล่เครื่องจักรทุกชนิดอะไหล่เครื่องย,เมืองนนทบุรี,25949,สนามบินน้ำ,100.5019667,รณสิทธิพิชัย,-10120500125350-,100,211,11000,นนทบุรี,5,เลขที่ 55/20,915.7,5882694,17/02/1450,ท่าทราย,3,100,211,3-64(1)-1/35นบ,บริษัท เสรีชัยยุทธภัณฑ์ จำกัด,,13.87361667,0
67144000,ผลิตแท็งค์สเตนเลส,บางบัวทอง,25949,บางบัวทอง-สุพรรณบุรี,100.3905167,,-10120300125386-,84,212,11110,นนทบุรี,8,เลขที่ 52/7,1391.95,"59,461,865,946,167",21/06/1452,ละหาร,3,84,212,3-64(1)-1/38นบ,บริษัท เลอศักดิ์สเตนเลส (ประเทศไทย) จำกัด,,13.97725,0
11000000,"ผลิตถังอัดลมถังน้ำได้ปีละ1,800ใบ ผลิตส่วนประกอบเครื่องสูบน้ำ เช่น ถังอัดลม ถังน้ำแรงดัน แท่นเครื่องพร้อมมอเตอร์หรือเครื่องยนต์ เป็นต้น และซ่อมแซมเครื่องสูบน้ำ",บางบัวทอง,25949,ตลิ่งชัน-สุพรรณบุรี,100.43395,,-10120000125397-,58,213,11110,นนทบุรี,9,เลขที่ 41/8,573.4,,18/12/1453,ละหาร,3,53,213,3-64(1)-1/39นบ,บริษัท ซ.วุฒิการช่าง (1996) จำกัด,,13.9534,5
30000000,ทำแม่พิมพ์พลาสติกชนิดฉีดและรับจ้างฉีดชิ้นงานพลาสติก,ปากเกร็ด,25922,แจ้งวัฒนะ,100.51135,พี.ไอ.ซี.,-10120200125361-,80,214,11120,นนทบุรี,,เลขที่ 56/39,1771.42,5838894,28/04/1450,ปากเกร็ด,3,25,214,3-64(13)-1/36นบ,บริษัท พรีซิชั่น อินเตอร์พลาส จำกัด,,13.90698333,55
,กลึง กัด ไสโลหะ,ปากเกร็ด,126000000000,แจ้งวัฒนะ,03/12/1450,แจ้งวัฒนะ 28 (ต้นแทน),-10120100225345-,200000,215,,นนทบุรี,2,เลขที่ 49/143-146,7,,320,บางตลาด,,500000,215,3-64(13)-2/34นบ,บริษัท พรปิยะ แมชชีนเนอรี่ จำกัด,22/03/1448,1,1200000
1036000000,"การทำหรือซ่อมแซมแบบ (punch/dies), เครื่องช่วยจับ (jigs/fixture), แม่พิมพ์ในการตัดและปั้มขึ้นรูปโลหะทุกชนิด และการดัดแปลงหรือการซ่อมแซมเครื่องกลึง, เครื่องคว้าน, เครื่องตัด, เครื่องเจาะ, เครื่องกัด, เครื่องเจียน, เครื่องไส",บางใหญ่,25922,บางใหญ่-บางคูลัด,13.843841,กันตนา,-10120174125645-,79,216,11140,นนทบุรี,9,เลขที่ 54/12,979.75,,19/02/1478,บางม่วง,3,59,216,3-64(13)-3/64นบ,บริษัท ซี.ซี.เอส. แอดวานซ์ เทค จำกัด,100.404728,,20
2700000,ทำกุญแจ กลอนประตูและบานพับ,เมืองนนทบุรี,25910,นนทบุรี 1,100.4822667,,-10120200125155-,85,217,11000,นนทบุรี,6,เลขที่ 206/3,343.04,5250102,08/03/1450,บางกระสอ,3,30,217,3-64(2)-1/15นบ,บริษัท ไชยอิค่อน จำกัด,,13.86475,55
,ทำช้อนชามจานกะละมังและปิ่นโต,เมืองนนทบุรี,126000000000,นนทบุรี ,09/04/1450,,-10120000225155-,300000,218,,นนทบุรี,,เลขที่ 284,70,,1184,บางกระสอ,,0,218,3-64(2)-2/15นบ,บริษัท ทองเอก (1971) จำกัด,18/01/1429,1,35300000
,ผลิตสปริงสำหรับที่นอน,ไทรน้อย,136000000000,ไทรน้อย-ลาดบัวหลวง,01/05/1476,,-10120110525627-,30000000,219,,นนทบุรี,11,เลขที่ 111/2,60,,9723,ไทรใหญ่,,0,219,3-64(6)-4/62นบ,บริษัท ซัน แอคมี่ จำกัด,01/07/1476,1,20000000
,ทำเฟือง เพลา บู๊ช ต่าง ๆ,เมืองนนทบุรี,126000000000,บางกรวย-ไทยน้อย,30/03/1450,เพิ่มสุข,-10120100225303-,0,220,,นนทบุรี,4,เลขที่ 15/42,23,,937,บางกร่าง,,3000000,220,3-64(9)-2/30นบ,บริษัท ศรีพัฒนา แมชชีนเนอรี่ จำกัด,09/12/1444,1,300000
392500,ซ่อมเครื่องยนต์,บางกรวย,28110,,100.4556167,,-10120600125326-,6,221,11130,นนทบุรี,4,เลขที่ 19/1,83.5,02-4246467,30/12/1451,มหาสวัสดิ์,3,6,221,3-65-1/32นบ,เจริญยนต์,,13.80086667,0
,ซ่อมอุปกรณ์ของเครื่องเลื่อยไม้และทำโครงเหล็กเสาอากาศวิทยุ,บางกรวย,124000000000,บางกรวย-ไทรน้อย,24/12/1450,,-10120400125286-,1500000,222,,นนทบุรี,1,เลขที่ 59/2,6,,,บางกรวย,,0,222,3-67(1)-1/28นบ,ห้างหุ้นส่วนจำกัด อมรเมฆวัฒนา,17/05/1442,1,0
69000000,ทำส่วนประกอบและอุปกรณ์สำหรับเครื่องจักรต่าง ๆ,เมืองนนทบุรี,28199,ติวานนท์,100.5185833,ธรรมนูญ 2,-10120300125261-,15,223,11000,นนทบุรี,2,เลขที่ 149/3,461.1,5896393,09/11/1451,ท่าทราย,3,10,223,3-67(8)-1/26นบ,บริษัท เอ็มดีชีท จำกัด,,13.88091667,5
,ผลิตและประกอบเครื่องจักรใช้ในการผลิตซีเมนต์กระดาษการทำเหมื,ไทรน้อย,106000000000,บางบัวทอง-สุพรรณบุรี,07/06/1450,,-10120300125360-,69580318.5,224,,นนทบุรี,3,เลขที่ 35/1,50,,71556,ไทรใหญ่,,88850209.72,224,3-68-1/36นบ,บริษัท วีเหลี่ยม หว่อง กรุ๊ป จำกัด,28/05/1450,1,31382788.62
2402557453,ผลิตน้ำมันพืช น้ำมันสำหรับประกอบอาหารและผลพลอยได้ ทำอาหารสัตว์จากกากถั่วเหลือง,ปากเกร็ด,10491,ติวานนท์,100.5378833,-,-10120000125157-,243,225,11120,นนทบุรี,3,เลขที่ 39/6,33727.62,5884147,17/06/1423,บ้านใหม่,3,173,225,3-7(1)-1/15นบ,บริษัท เอสดี กัทธรี อินเตอร์เนชั่นแนล นนทบุรี จำกัด,,13.94601667,70
,ผลิตน้ำมันรำ(ดิบ)น้ำมันจากเมล็ดฝ้าย บรรจุน้ำมันและปรับปรุงคุณภาพข้าวสาร,ปากเกร็ด,106000000000,ตัดใหม่,19/03/1450,,-10120000125215-,150000000,226,,นนทบุรี,3,"เลขที่ 71,78/1",10,,30500,บ้านใหม่,,0,226,3-7(1)-1/21นบ,บริษัท กสิสุรีย์ จำกัด,18/10/1435,1,92980000
,ผลิตกะทิบรรจุถุงพลาสติกและกระป๋อง อาหารหรือเครื่องดื่มจากผักหรือผลไม้บรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,บางกรวย,126000000000,มหาสวัสดิ์,08/03/1451,,-10120000125223-,4500000,227,,นนทบุรี,5,เลขที่ 99/9,167,,8488,มหาสวัสดิ์,,5000000,227,3-7(1)-1/22นบ,บริษัท ผลิตภัณฑ์อาหาร เชฟช้อย จำกัด,27/02/1436,1,10000000
,ผลิตเครื่องปรับอากาศและชิ้นส่วนอุปกรณ์เครื่องทำความเย็นทุ,เมืองนนทบุรี,106000000000,งามวงศ์วาน,02/08/1452,พงษ์เพชร 7,-10120200125171-,0,228,,นนทบุรี,2,เลขที่ 11/12-13,200,,2600,บางเขน,,0,228,3-70-1/17นบ,บริษัท ไคเมท เทคโนโลยี ดีเวลลอปเม้นท์ จำกัด,28/02/1431,1,0
,ทำเครื่องสูบน้ำ และอุปกรณ์เครื่องจักรที่ใชในการกสิกรรม,บางใหญ่,124000000000,ปิ่นเกล้า-บางบัวทอง,06/12/1450,,-10120600125359-,500000,229,,นนทบุรี,13,เลขที่ 76/17,7,,4800,บางม่วง,,0,229,3-70-1/35นบ,ห้างหุ้นส่วนจำกัด สหพัฒนา (1992),02/11/1450,1,1500000
,ผลิตเครื่องปรับอากาศและชิ้นส่วนของเครื่องปรับอากาศ,เมืองนนทบุรี,106000000000,งามวงศ์วาน,21/10/1455,ทิมแลนด์,-10120200125411-,20000000,230,,นนทบุรี,9,"เลขที่ 26/4,26/5",100,,4800,บางเขน,,50000000,230,3-70-1/41นบ,บริษัท ซัยโจ เด็นกิ อินเตอร์เนชั่นแนล จำกัด,04/12/1455,1,100000000
,ทำชิ้นส่วนอุปกรณ์อะไหล่เครื่องปั๊มน้ำ และอะไหล่โรงเลื่อย,บางกรวย,3100000000000,เทิดพระเกียรติ,28/08/1444,,-10120200225302-,100000,231,,นนทบุรี,5,เลขที่ 29/4,3,,177,วัดชลอ,,300000,231,3-70-2/30นบ,ศ. การช่าง,28/08/1444,1,300000
,ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า มอเตอร์ไฟฟ้า ปั๊มน้ำ เครื่องซักผ้า แม่พิมพ์อุปกรณ์นำเจาะและจับยึด กระทะไฟฟ้า กระติกน้ำร้อน เตาไมโครเวฟ และเครื่องล้างจาน รวมทั้งชิ้นส่วน อะไหล่ และอุปกรณ์ของสินค้าดังกล่าวข้างต้น,เมืองนนทบุรี,,ติวานนท์,24/12/1450,,-10120000125140-,100000000,232,,นนทบุรี,2,เลขที่ 129/1-3,1041,,53603,ท่าทราย,,80000000,232,3-71-1/14นบ,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,05/07/1428,1,52000000
,ผลิตมอเตอร์ไฟฟ้าและพัดลม,บางกรวย,106000000000,บางกรวย-ไทรน้อย,04/07/1451,,-10120500125236-,3000000,233,,นนทบุรี,1,เลขที่ 72/1,23,,2495,บางกรวย,,0,233,3-71-1/23นบ,บริษัท ฟูซันอินดัสเตรียล จำกัด,19/02/1437,1,4000000
,ผลิตและประกอบชิ้นส่วนอุปกรณ์เครื่องปรับอากาศ,เมืองนนทบุรี,126000000000,นนทบุรี ,13/12/1450,,-10120500125285-,4000000,234,,นนทบุรี,,เลขที่ 64,58,,5000,สวนใหญ่,,0,234,3-71-1/28นบ,บริษัท พี.เอส.เอ.อินเตอร์-คูลลิ่ง จำกัด,02/09/1442,1,14603054
,ประกอบพัดลม และประกอบเครื่องปรับอากาศ,บางกรวย,106000000000,บางกรวย,05/01/1452,,-10120100225170-,18189520,235,,นนทบุรี,1,เลขที่ 71,50,,4328,บางกรวย,,927500,235,3-71-2/17นบ,บริษัท ฟูซันอินดัสเตรียล จำกัด,23/12/1431,1,7738704
,ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า ฯลฯ,เมืองนนทบุรี,106000000000,ติวานนท์,09/03/1464,,-10120000725501-,0,236,,นนทบุรี,2,เลขที่ 129/5,80,,9004,ท่าทราย,,0,236,3-71-7/50นบ,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,05/07/1464,1,0
,ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า ฯลฯ,เมืองนนทบุรี,106000000000,ติวานนท์,09/03/1464,,-10120000825509-,0,237,,นนทบุรี,2,เลขที่ 129/4,222,,0,ท่าทราย,,0,237,3-71-8/50นบ,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,05/07/1464,1,0
,ประกอบดอกลำโพง และเครื่องเสียง,บางบัวทอง,126000000000,บางบัวทอง-ไทรน้อย,16/03/1451,,-10120300125345-,300000,238,,นนทบุรี,11,เลขที่ 79/1,22,,5200,บางบัวทอง,,2000000,238,3-72-1/34นบ,บริษัท เอสเอ็น อี เล็คทริค กรุ๊ป อินดัสเตรียล จำกัด,03/12/1448,1,1000000
,ประกอบ ดัดแปลง เปลี่ยนแปลงสภาพ รวมทั้งทำชิ้นส่วนพิเศษ หรืออุปกรณ์สำหรับรถยนต์ เช่น รถดับเพลิง รถกู้ภัย รถไฟฟ้าส่องสว่าง รถยนต์บรรทุกน้ำ รถยนต์บรรทุกขยะมูลฝอย รถกวาดถนนและดูดฝุ่น รถสูบสิ่งปฏิกูล รถสื่อสารดาวเทียม รถยนต์โดยสาร จำนวนตั้งแต่ 10 ที่นั่งขึ้นไป และรถยนต์อื่นๆ,บางกรวย,126000000000,กรุงนนท์,23/01/1452,จงถนอม,-10120700125325-,11000000,239,,นนทบุรี,2,เลขที่ 62/1,10,,9156,มหาสวัสดิ์,,10000000,239,3-77(1)-1/32นบ,บริษัท คราฟท์ จำกัด,30/01/1446,1,2000000
,ผลิตและประกอบจานครัชรถยนต์,บางบัวทอง,106000000000,บางบัวทอง-สุพรรณบุรี,02/04/1450,,-10120300125337-,400000,240,,นนทบุรี,7,เลขที่ 74/3,61,,35200,ละหาร,,4000000,240,3-77(2)-1/33นบ,บริษัท อรรถบูรณ์ จำกัด,16/01/1447,1,500000
,ผลิตและประกอบจานคลัทช์รถยนต์,บางบัวทอง,126000000000,บางบัวทอง-สุพรรณบุรี,10/03/1451,,-10120400125344-,10198295,241,,นนทบุรี,7,เลขที่ 74/4,20,,17928,ละหาร,,32400000,241,3-77(2)-1/34นบ,บริษัท วายซีเค (ประเทศไทย) จำกัด,17/07/1448,1,20179283
,ผลิตชิ้นส่วนยานยนต์ ประเภทล้ออลูมิเนียม,ไทรน้อย,126000000000,ทางหลวง 340 (สุพรรณบุรี),28/10/1459,,-10120300125451-,79000000,242,,นนทบุรี,2,เลขที่ 111/2,130,,14636,ไทรใหญ่,,27000000,242,3-77(2)-1/45นบ,บริษัท สแตมฟอร์ด สปอร์ต วีลส์ จำกัด,06/10/1461,1,146420000
11300000,ผลิตและประกอบชิ้นส่วนตัวถังรถบรรทุก,บางบัวทอง,29309,บางบัวทอง-สุพรรณบุรี,100.4063833,-,-10120400225326-,93,243,11110,นนทบุรี,9,เลขที่ 40/4,1052.46,9256464,02/06/1452,ละหาร,3,53,243,3-77(2)-2/32นบ,บริษัท เอส.เอส.เอส.ออโตโมทีฟ อินดัสตรี จำกัด,,13.95576667,40
13475300,ผลิตอุปกรณ์รถยนต์ และเครื่องใช้จากพลาสติก,บางกรวย,29309,บางกรวย-บางบัวทอง,100.4778333,,-10120200225344-,75,244,11130,นนทบุรี,4,เลขที่ 99/3,433.54,02-2398660,17/02/1451,บางสีทอง,3,28,244,3-77(2)-2/34นบ,บริษัท เอส.ซี.ซี.อุตสาหกรรม จำกัด,,13.8287,47
68000000,ผลิตวาล์วล้อรถทุกชนิด เช่น รถยนต์ รถจักรยานยนต์,ไทรน้อย,29309,ฤชุพันธ์,100.3090667,-,-10120100225485-,109,245,11150,นนทบุรี,4,เลขที่ 26/10,1319.08,0 2526 5640,14/01/1462,ไทรใหญ่,3,34,245,3-77(2)-2/48นบ,บริษัท ซันเชียน (ประเทศไทย) จำกัด,,14.13085,75
,ผลิตชิ้นส่วนยานยนต์ ประเภทล้ออลูมิเนียม,ไทรน้อย,106000000000,บางบัวทอง-สุพรรณบุรี,27/10/1462,    -,-10120104825488-,184000000,246,,นนทบุรี,2,"เลขที่ 111/8,111/9",364,,15244,ไทรใหญ่,,600000000,246,3-77(2)-48/48นบ,บริษัท สแตมฟอร์ด สปอร์ต วีลส์ จำกัด,14/12/1466,1,480000000
,ผลิตชิ้นส่วนอุปกรณ์รถจักรยานยนต์รถยนต์,ไทรน้อย,736000000000,ฤชุพันธ์,12/09/1454,,-10120500125400-,1000000,247,,นนทบุรี,3,เลขที่ 64/9,17,,11400,ไทรใหญ่,,10000000,247,3-78(2)-1/40นบ,บริษัท เฮอร์เซงเอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,30/12/1456,1,1000000
14285000,ผลิตน้ำผลไม้ และเครื่องดื่มที่ไม่มีแอลกอฮอล์,บางบัวทอง,10302,ทางหลวงหมายเลข 345,100.43515, -,-10120000125462-,37,248,11110,นนทบุรี,2,เลขที่ 29/6,742.74,0-2904-3150,09/05/1460,ลำโพ,3,20,248,3-8(1)-1/46นบ,บริษัท เคทูเจ มาร์เก็ตติ้ง จำกัด,,13.95161667,17
,"ทำเครื่องดื่มจากผลไม้บรรจุขวดปิดผนึก,น้ำอัดลมก",บางใหญ่,126000000000,สายบ้านบางไทร-บ้านคลองตาซ้อน,30/06/1468,-,-10120001025547-,1000000,249,,นนทบุรี,11,เลขที่ 9/9,17,,22024,บางแม่นาง,,10000000,249,3-8(1)-10/54นบ,บริษัท ซันชายเจริญ อินเตอร์ฟู๊ด จำกัด,14/09/1468,1,5000000
,ทำน้ำผลไม้ น้ำดื่มบรรจุภาชนะและปิดผนึก ทำขนมจากถั่วลิสงและแป้ง,บางบัวทอง,126000000000,กาญจนาภิเษก,01/07/1468,-,-10120001125545-,30000000,250,,นนทบุรี,5,เลขที่ 9/6,20,,17508,ละหาร,,50000000,250,3-8(1)-11/54นบ,บริษัท ทวีผล 1976 จำกัด,29/09/1468,1,5000000
,ทำอาหารจากผัก พืช ผลไม้บรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,บางใหญ่,126000000000,บางใหญ่-บางคูลัด (กันตนา),31/10/1469,เทศบาลบางใหญ่11,-10120001425556-,10000000,251,,นนทบุรี,5,เลขที่ 55/5,8,,8043,บางใหญ่,,10000000,251,3-8(1)-14/55นบ,บริษัท ฉลอง จำกัด,,0,10000000
286911846,"การถนอม พืช ผัก ผลไม้ โดยวิธีดอง, ผลิตเครื่องแกง, เครื่องแกงสำเร็จรูป เช่น เครื่องต้มยำ, เครื่องต้มข่า, เครื่องผัดไทยพร้อมปรุง, เครื่องประกอบอาหารต่างๆ , อาหารสำเร็จรูป และอาหารกึ่งสำเร็จรูป",บางใหญ่,10304,บางรักใหญ่-บ้านใหม่,13.866434,,-10120034025670-,84,252,11140,นนทบุรี,7,เลขที่ 95/1,1099.08,024497865-7,02/03/1481,บ้านใหม่,3,33,252,3-8(2)-2/67นบ,บริษัท เพ็นต้า อิมเพ็กซ์ จำกัด,100.3076,,51
89000000,"เจียรนัยเลนส์แว่นตาได้ปีละ1,080,000แผ่น",บางบัวทอง,26701,บางบัวทอง-สุพรรณบุรี,100.4028167,,-10120100125396-,160,253,11110,นนทบุรี,5,เลขที่ 61/2,592.48,588-4653,18/12/1453,ละหาร,3,80,253,3-82-1/39นบ,บริษัท อุตสาหกรรมแว่นตาไทย จำกัด,,13.96116667,80
