แรงม้า,GPS_lng,ตำบล,ประกอบกิจการ,พื้นที่อาคาร,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,อนุญาต,ลำดับ,หมู่,พื้นที่โรงงาน,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,คนงานหญิง,_id,เริ่มดำเนินการ,FID,อำเภอ,สิ้นอายุ,GPS_lat,เงินทุนรวม
749.75,100.310683,ไทรใหญ่,ผลิตแผ่นพลาสติก ฟิล์มพลาสติกและพลาสติกม้วน,987,25,3-53(5)-3/56นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 23/5,5,นนทบุรี,,2013-10-01T00:00:00,182,11,18988,,บริษัท แมคโครพลาส อินดัสตรี จำกัด,11150,22230,20,182,2013-05-16T00:00:00,-10120000325567-,ไทรน้อย,2023-01-01T00:00:00,14.066781,45000000
1760,100.2873297,ไทรใหญ่,ผลิตผลิตภัณฑ์จากพลาสติกและล้าง บดหรือย่อยพลาสติก,5712,55,3-53(5)-52/62นบ,,"เลขที่ โฉนดที่ดินเลขที่ 45709, 55659, 40923, 40919, 40920, 40921, 40922",35,นนทบุรี,,2019-04-06T00:00:00,183,10,12986,,บริษัท ยูเนี่ยน พลาสติก (ไทยแลนด์) จำกัด,11150,22230,20,183,,-10120142225626-,ไทรน้อย,,14.05624934,95000000
1791.28,100.293724,ไทรใหญ่,ผลิตกระจก เช่น กระจกเทมเปอร์,1960,28,3-54-1/56นบ,ปทุมธานี-บางเลน,เลขที่ 6/2,13,นนทบุรี,,2013-04-03T00:00:00,184,1,12784,วัดสโมสร,บริษัท มือทอง 04 จำกัด,11150,23101,15,184,2013-05-20T00:00:00,-10120000125561-,ไทรน้อย,2023-01-01T00:00:00,14.043354,26000000
2147,100.52266,บางพูด,ทำผลิตภัณฑ์คอนกรีต,8840,192,3-58(1)-1/18นบ,ติวานนท์,เลขที่ 46/1,187,นนทบุรี,5838424,1993-02-06T00:00:00,185,1,95152,,ฝ่ายธุรกิจขนส่งและผลิตภัณฑ์,11120,23953,5,185,1970-08-10T00:00:00,-10120200125189-,ปากเกร็ด,2023-01-01T00:00:00,13.92329,205245898
1976.92,100.3102833,คลองขวาง,ผลิตเสาเข็มคอนกรีตและผลิตภัณฑ์คอนกรีตอื่น,2600,177,3-58(1)-1/32นบ,ลาดหลุมแก้ว-บางเลน,เลขที่ 19,176,นนทบุรี,,1995-10-16T00:00:00,186,7,71744,,บริษัท นิปปอน ฮูม คอนกรีต (ประเทศไทย) จำกัด,11150,23953,1,186,1989-08-15T00:00:00,-10120500125327-,ไทรน้อย,2020-01-01T00:00:00,14.02561667,82000000
226.5,100.41125,บางบัวทอง,ผลิตเสาเข็ม พื้นคอนกรีต และผลิตภัณฑ์จากคอนกรีต,,57,3-58(1)-1/34นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 6/2,57,นนทบุรี,,1993-10-20T00:00:00,187,3,16000,,บริษัท คอนกรีต กรุ๊ฟ จำกัด,11110,23953,0,187,1991-01-03T00:00:00,-10120000125348-,บางบัวทอง,2024-01-01T00:00:00,13.91961667,25000000
216.91,100.4110167,โสนลอย,ผลิตคอนกรีตผสมเสร็จ,500,7,3-58(1)-1/37นบ,สายบางกรวย-ไทรน้อย,เลขที่ 17/6,7,นนทบุรี,5710102,1994-06-07T00:00:00,188,2,5600,,บริษัท ชลประทานคอนกรีต จำกัด,11110,23953,0,188,1993-02-21T00:00:00,-10120100125370-,บางบัวทอง,2023-01-01T00:00:00,13.92673333,4800000
400.76,100.4705,ไทรม้า,ผลิตและจำหน่ายคอนกรีตผสมเสร็จ,0,7,3-58(1)-1/40นบ,รัตนาธิเบศร์,เลขที่ ,7,นนทบุรี,213-1039,1997-01-16T00:00:00,189,2,8000,ท่าอิฐ,หน่วยงานรัตนาธิเบศร์,11000,23953,0,189,1999-10-15T00:00:00,-10120400125401-,เมืองนนทบุรี,2024-01-01T00:00:00,13.88213333,40000000
2914.3,100.306975,หนองเพรางาย,ผลิต ผลิตภัณฑ์คอนกรีต เช่น ผนังสำเร็จรูป แผ่นพื้นสำเร็จรูป ส่วนประกอบต่างๆ ของอาคาร,27901,276,3-58(1)-149/64นบ,,เลขที่ 15/5,163,นนทบุรี,02-1164371,2021-07-07T00:00:00,190,9,154184,,บริษัท สยาม ควอลิตี้ พรี-คาสท์ จำกัด,11150,23953,113,190,2021-12-27T00:00:00,-10120368025643-,ไทรน้อย,,13.918705,19000000
316.89,100.4336667,บางรักใหญ่,ผลิตคอนกรีตผสมเสร็จ,1200,3,3-58(1)-2/32นบ,บางบัวทอง-บางกรวย,เลขที่ 89,3,นนทบุรี,36288900,1994-10-24T00:00:00,191,1,4200,,โรงงานคอนกรีตผสมเสร็จรัตนาธิเบศร์,11110,23953,0,191,1989-06-11T00:00:00,-10120300225327-,บางบัวทอง,2020-01-01T00:00:00,13.8813,3500000
479.5,100.2907167,ขุนศรี,"ทำผลิตภัณฑ์คอนกรีต เช่นเสาเข็ม พื้นคอนกรีตเสริมเหล็ก เสาเข็มคอนกรีตอัดแรงและพื้นสำเร็จรูปอัดแรงคอนกรีต , ผลิตคานสะพานคอนกรีตแบบกล่อง",13676,40,3-58(1)-2/34นบ,ปทุมธานี-บางเลน,เลขที่ 32/2,29,นนทบุรี,5737454,1993-12-22T00:00:00,192,3,30708,,บริษัท ภัทร ไพล์ลิ่ง จำกัด,11150,23953,11,192,1991-05-02T00:00:00,-10120000225346-,ไทรน้อย,2024-01-01T00:00:00,14.02316667,33500000
2963,100.2914611,ไทรใหญ่,ทำผลิตภัณฑ์คอนกรีต เช่น พื้นคอนกรีตสำเร็จรูป ชิ้นส่วนทางวิ่งยกระดับรถไฟฟ้าและรถยนต์(Viaduct Segment),18984,400,3-58(1)-26/58นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 9/3,370,นนทบุรี,,2015-02-24T00:00:00,193,4,281408,,บริษัท เอสเอ็นที คอนกรีต โซลูชั่น จำกัด,10110,23953,30,193,2015-08-28T00:00:00,-10120002625584-,ไทรน้อย,2020-01-01T00:00:00,14.11919443,466785333
7046.69,100.2894167,ไทรใหญ่,ผลิตเสาเข็มทุกชนิด,15056,206,3-58(1)-5/34นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 33/3,161,นนทบุรี,5712710,1993-12-22T00:00:00,194,4,172800,,บริษัท ไทย เนชั่นแนลโปรดัคท์ จำกัด,11150,23953,45,194,1991-06-28T00:00:00,-10120000525349-,ไทรน้อย,2024-01-01T00:00:00,14.12121667,222378168
200,100.4320333,บางรักพัฒนา,ผลิตคอนกรีตผสมเสร็จ,0,2,3-58(1)-6/34นบ,,เลขที่ 336,2,นนทบุรี, ,1994-01-31T00:00:00,195,3,3200,,หน่วยผลิตคอนกรีตบางใหญ่,11110,23953,0,195,1991-11-28T00:00:00,-10120000625347-,บางบัวทอง,2024-01-01T00:00:00,13.88936667,9900000
3154.04,100.41695,ละหาร,ทำผลิตภัณฑ์คอนกรีต เช่น ท่อระบายน้ำ เสาปูน ถังส้วม ,2928,28,3-58(1)-7/33นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 10/2,22,นนทบุรี,5717279,1993-04-20T00:00:00,196,9,6260,,บริษัท บัวไทยอุตสาหกรรม จำกัด,11110,23953,6,196,1990-08-10T00:00:00,-10120000725337-,บางบัวทอง,2023-01-01T00:00:00,13.94136667,8000000
180.34,100.2923667,ขุนศรี,ทำเสาเข็มคอนกรีต และผลิตภัณฑ์คอนกรีต,750,39,3-58(1)-9/33นบ,ปทุมธานี-บางเลน,เลขที่ 27,29,นนทบุรี,5801291,1993-08-03T00:00:00,197,3,35200,,บริษัท นนทบุรีคอนกรีต จำกัด,11150,23953,10,197,1990-09-11T00:00:00,-10120000925333-,ไทรน้อย,2023-01-01T00:00:00,14.02445,15000000
5197.79,100.3119,ราษฎร์นิยม,ผลิตท่อเหล็ก ท่อสแตนเลส ฯลฯ,25200,140,3-59-3/50นบ,,เลขที่ 33/3,110,นนทบุรี,,2007-01-19T00:00:00,198,1,76800,,บริษัท ปิติสวัสดิ์ จำกัด,11150,24101,30,198,2009-09-17T00:00:00,-10120000325500-,ไทรน้อย,2025-01-01T00:00:00,14.04746667,430000000
1191,100.3138442,คลองขวาง,ผลิตท่อเหล็ก ท่อสแตนเลสชนิดมีตะเข็บ ฯลฯ,9600,24,3-59-7/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ ,24,นนทบุรี,02-2841353-5,2011-12-28T00:00:00,199,4,41888,,บริษัท พี.ที.เมตัล จำกัด,11150,24101,0,199,,-10120000725543-,ไทรน้อย,,14.05357011,190000000
3208,100.2946387,ไทรใหญ่,ผลิตลวดแรงดึงสูง,3100,24,3-59-8/59นบ,,เลขที่ 36/1,22,นนทบุรี,,2016-09-15T00:00:00,200,10,17340,,บริษัท สายใยแก้ว ลวดเหล็ก จำกัด,11000,24101,2,200,2019-02-14T00:00:00,-10120000825590-,ไทรน้อย,2024-01-01T00:00:00,14.06471837,117000000
5568.25,100.2802833,ขุนศรี,"หลอมหล่ออลูมิเนียม, ทำเครื่องปะยาง แม่พิมพ์หล่อดอกยาง",4284,35,3-60-1/34นบ,ปทุมธานี-บางเลน,เลขที่ 59/10,13,นนทบุรี,0 2921 9536-7,1993-06-18T00:00:00,201,2,12000,,บริษัท อินทราแมชชินเนอรี่ จำกัด,11150,24101,22,201,1991-06-19T00:00:00,-10120100125347-,ไทรน้อย,2024-01-01T00:00:00,14.02365,2200000
289.8,100.50155,บางกรวย,หลอมอลูมิเนียมเพื่อทำประตูอัลลอยด์ และมือจับอัลลอยด์,1050,27,3-60-1/35นบ,-,เลขที่ 79/5,22,นนทบุรี,4472277,1993-09-04T00:00:00,202,5,2400,-,ทวีศักดิ์อุตสาหกรรม,11130,24101,5,202,1992-02-24T00:00:00,-10120400125351-,บางกรวย,2020-01-01T00:00:00,13.8016,6300000
481,100.3975833,ปลายบาง,หล่อและหลอมโลหะ เช่น อลูมิเนียม,3200,10,3-60-1/46นบ,บางม่วง-บางคูลัดสาย 1,เลขที่ 99/9,7,นนทบุรี,02-9039508-11,2003-10-11T00:00:00,203,5,8200,,บริษัท ลีดเดอร์ เมททอล (ประเทศไทย) จำกัด,11130,24101,3,203,2007-02-26T00:00:00,-10120500125467-,บางกรวย,2022-01-01T00:00:00,13.82965,13000000
1420,100.424,คลองข่อย,หลอมโลหะทองเหลือง ทองแดง เป็นเพลา,0,26,3-60-10/49นบ,วงแหวนตะวันตก(สาย 346),เลขที่ ,22,นนทบุรี,,2006-03-04T00:00:00,204,10,19775,,บริษัท ไทยบราส อินดัสทรี จำกัด,11120,24101,4,204,2015-02-04T00:00:00,-10120001025497-,ปากเกร็ด,2020-01-01T00:00:00,13.98205,53000000
254.6,100.3526,ไทรน้อย,ผลิตเครื่องเรือนจากโลหะ,1260,60,3-62-1/34นบ,บางกรวย-ไทรน้อย,เลขที่ 59/2,40,นนทบุรี,2827778,1995-09-06T00:00:00,205,2,24000,วัดคลองตาคล้าย,บริษัท มินิซิสเต็ม 1990 จำกัด,11150,31002,20,205,1991-04-02T00:00:00,-10120200125346-,ไทรน้อย,2024-01-01T00:00:00,13.97055,20500000
206.5,100.5126833,บางตลาด,ทำประตูระบายน้ำและอุปกรณ์,507,35,3-63(1)-1/28นบ,ติวานนท์,เลขที่ 187/85,35,นนทบุรี,5837633,1994-12-05T00:00:00,206,2,400,ชูชาติอนุสรณ์,บริษัท เอ็น.อี.อี.เอ็นจิเนียริ่ง จำกัด,11120,25111,0,206,1985-04-04T00:00:00,-10120300125287-,ปากเกร็ด,2025-01-01T00:00:00,13.9002,2300000
1144.59,100.3291444,ราษฎร์นิยม,เกี่ยวกับผลิตภัณฑ์โลหะสำหรับใช้ในการก่อสร้าง เช่น แบบเหล็ก นั่งร้าน ฯลฯ,6048,130,3-63(1)-2/62นบ,,เลขที่ ,79,นนทบุรี,,2019-08-03T00:00:00,207,,38400,,บริษัท ฟิวเจอร์ซายน์เทรดดิ้ง จำกัด,11150,25111,51,207,2019-09-16T00:00:00,-10120063225621-,ไทรน้อย,2024-01-01T00:00:00,14.05869006,515000000
430.71,100.512321,บางกระสอ,ทำส่วนประกอบสำหรับประตู หน้าต่าง เครื่องเรือน เช่น มือจับ ชุดบานเกร็ดและเครื่องเรือน เช่น ตู้ โต๊ะ,2500,45,3-63(2)-1/20นบ,ติวานนท์,เลขที่ 123/9,15,นนทบุรี,5882629,1995-09-25T00:00:00,208,8,2500,เรวดี 11,แอลโก้โพดักท์,11000,25111,30,208,1977-02-09T00:00:00,-10120200125205-,เมืองนนทบุรี,2020-01-01T00:00:00,13.860322,7675000
3635.2,100.328119,ราษฎร์นิยม,การทำส่วนประกอบสำหรับใช้ในงานก่อสร้างจากโลหะ เช่นแบบเหล็กนั่งร้าน โครงสร้างเหล็ก ฯลฯ,6210,278,3-63(2)-38/61นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 4/23,242,นนทบุรี,,2018-01-10T00:00:00,209,4,35790,,บริษัท ฟิวเจอร์ซายน์ จำกัด,11150,25111,36,209,2018-12-17T00:00:00,-10120003825613-,ไทรน้อย,2023-01-01T00:00:00,14.061179,140000000
71.75,100.5103667,บางกรวย,ทำประตูหน้าต่างเหล็กดัดและโครงหลังคาเหล็ก,240,8,3-63(2)-4/24นบ,จรัญสนิทวงศ์,เลขที่ 9/28-29,8,นนทบุรี,02-8794227,1993-08-03T00:00:00,210,2,336,,อ๊อกซิเย่นเอ็งคิมง้วน,11130,25111,0,210,1981-07-08T00:00:00,-10120000425243-,บางกรวย,2023-01-01T00:00:00,13.81036667,700000
999.13,,คลองขวาง,ผลิตส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น วงกบอลูมิเนียม หน้าต่างกระจก,24882,200,3-63(2)-5/65นบ,บางกรวย-ไทรน้อย,เลขที่ 8/8,135,นนทบุรี,025971141-3,2022-11-02T00:00:00,211,8,52780,,บริษัท เอเอจี คอร์ปอเรชั่น จำกัด,11150,25111,65,211,2022-11-03T00:00:00,-10120012825653-,ไทรน้อย,2027-01-01T00:00:00,,244000000
808,100.316082,ราษฎร์นิยม,การทำส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร เช่น รางประตูสแตนเลส รางประตูสังกะสี รางตัวยูสแตนเลส ฉากพับสแตนเลส ฉากพับสังกะสี ,9632,27,3-63(2)-57/61นบ,บางบัวทอง-สุพรรณบุรี,"เลขที่ 99/27,99/28",25,นนทบุรี,,2018-12-13T00:00:00,212,6,52800,,บริษัท อัศว เม็ททอล (ไทยแลนด์) จำกัด,10100,25111,2,212,2020-11-17T00:00:00,-10120005725613-,ไทรน้อย,,14.076277,1054900000
915.7,100.5019667,ท่าทราย,ปั๊มโลหะ เช่น กระป๋องอะไหล่เครื่องจักรทุกชนิด อะไหล่เครื่องย,3600,100,3-64(1)-1/35นบ,สนามบินน้ำ,เลขที่ 55/20,100,นนทบุรี,5882694,1993-02-17T00:00:00,213,5,27200,รณสิทธิพิชัย,บริษัท เสรีชัยยุทธภัณฑ์ จำกัด,11000,25949,0,213,1993-11-08T00:00:00,-10120500125350-,เมืองนนทบุรี,2023-01-01T00:00:00,13.87361667,100000000
1391.95,100.3905167,ละหาร,ผลิตแท็งค์สเตนเลส,9400,84,3-64(1)-1/38นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 52/7,84,นนทบุรี,"59,461,865,946,167",1995-06-21T00:00:00,214,8,16304,,บริษัท เลอศักดิ์สเตนเลส (ประเทศไทย) จำกัด,11110,25949,0,214,1996-03-18T00:00:00,-10120300125386-,บางบัวทอง,2021-01-01T00:00:00,13.97725,67144000
573.4,100.43395,ละหาร,"ผลิตถังอัดลม ถังน้ำ ได้ปีละ 1,800 ใบ ผลิตส่วนประกอบเครื่องสูบน้ำ เช่น ถังอัดลม ถังน้ำแรงดัน แท่นเครื่องพร้อมมอเตอร์หรือเครื่องยนต์ เป็นต้น และซ่อมแซมเครื่องสูบน้ำ",2387,58,3-64(1)-1/39นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 41/8,53,นนทบุรี,,1996-12-18T00:00:00,215,9,3800,,บริษัท ซ.วุฒิการช่าง (1996) จำกัด,11110,25949,5,215,1997-04-17T00:00:00,-10120000125397-,บางบัวทอง,2022-01-01T00:00:00,13.9534,11000000
1771.42,100.51135,ปากเกร็ด,ทำแม่พิมพ์พลาสติกชนิดฉีด และรับจ้างฉีดชิ้นงานพลาสติก,1650,80,3-64(13)-1/36นบ,แจ้งวัฒนะ,เลขที่ 56/39,25,นนทบุรี,5838894,1993-04-28T00:00:00,216,,4800,พี.ไอ.ซี.,บริษัท พรีซิชั่น อินเตอร์พลาส จำกัด,11120,25922,55,216,1993-04-19T00:00:00,-10120200125361-,ปากเกร็ด,2023-01-01T00:00:00,13.90698333,30000000
95,100.5310333,บางตลาด,กลึง กัด ไสโลหะ,280,7,3-64(13)-2/34นบ,แจ้งวัฒนะ,เลขที่ 49/143-146,7,นนทบุรี,0 2583 3637-8,1993-03-12T00:00:00,217,2,320,แจ้งวัฒนะ 28 (ต้นแทน),บริษัท พรปิยะ แมชชีนเนอรี่ จำกัด,11120,25922,0,217,1991-03-22T00:00:00,-10120100225345-,ปากเกร็ด,2024-01-01T00:00:00,13.8975,2400000
979.75,100.404728,บางม่วง,"การทำหรือซ่อมแซมแบบ (punch/dies), เครื่องช่วยจับ (jigs/fixture), แม่พิมพ์ในการตัดและปั้มขึ้นรูปโลหะทุกชนิด และการดัดแปลงหรือการซ่อมแซมเครื่องกลึง, เครื่องคว้าน, เครื่องตัด, เครื่องเจาะ, เครื่องกัด, เครื่องเจียน, เครื่องไส",1208,79,3-64(13)-3/64นบ,บางใหญ่-บางคูลัด,เลขที่ 54/12,59,นนทบุรี,,2021-02-19T00:00:00,218,9,2394,กันตนา,บริษัท ซี.ซี.เอส. แอดวานซ์ เทค จำกัด,11140,25922,20,218,2021-10-05T00:00:00,-10120174125645-,บางใหญ่,,13.843841,1036000000
343.04,100.4822667,บางกระสอ,ทำกุญแจ กลอนประตูและบานพับ,1090,85,3-64(2)-1/15นบ,นนทบุรี 1,เลขที่ 206/3,30,นนทบุรี,5250102,1993-08-03T00:00:00,219,6,2400,,บริษัท ไชยอิค่อน จำกัด,11000,25910,55,219,1972-11-27T00:00:00,-10120200125155-,เมืองนนทบุรี,2023-01-01T00:00:00,13.86475,2700000
3690.69,100.4806833,บางกระสอ,ทำช้อน ชาม จาน กะละมัง และปิ่นโต ,700,165,3-64(2)-2/15นบ,นนทบุรี ,เลขที่ 284,70,นนทบุรี,5251359,1993-09-04T00:00:00,220,,1184,,บริษัท ทองเอก (1971) จำกัด,11000,25910,95,220,1972-01-18T00:00:00,-10120000225155-,เมืองนนทบุรี,2023-01-01T00:00:00,13.87335,35800000
722.7,100.3103634,ไทรใหญ่,ผลิตสปริงสำหรับที่นอน,4080,105,3-64(6)-4/62นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 111/2,60,นนทบุรี,,2019-01-05T00:00:00,221,11,9723,,บริษัท ซัน แอคมี่ จำกัด,11110,25952,45,221,2019-01-07T00:00:00,-10120110525627-,ไทรน้อย,2024-01-01T00:00:00,14.06936504,70000000
265.75,100.45465,บางกร่าง,ทำเฟือง เพลา บู๊ช ต่าง ๆ,937,23,3-64(9)-2/30นบ,บางกรวย-ไทยน้อย,เลขที่ 15/42,23,นนทบุรี,,1993-03-30T00:00:00,222,4,937,เพิ่มสุข,บริษัท ศรีพัฒนา แมชชีนเนอรี่ จำกัด,11000,25992,0,222,1987-09-12T00:00:00,-10120100225303-,เมืองนนทบุรี,2023-01-01T00:00:00,13.83871667,4800000
83.5,100.4556167,มหาสวัสดิ์,ซ่อมเครื่องยนต์,200,6,3-65-1/32นบ,,เลขที่ 19/1,6,นนทบุรี,02-4246467,1994-12-30T00:00:00,223,4,1048,,เจริญยนต์,11130,28110,0,223,1989-03-20T00:00:00,-10120600125326-,บางกรวย,2020-01-01T00:00:00,13.80086667,392500
118.75,100.5020167,บางกรวย,ซ่อมอุปกรณ์ของเครื่องเลื่อยไม้ และทำโครงเหล็กเสาอากาศวิทยุ,24,6,3-67(1)-1/28นบ,บางกรวย-ไทรน้อย,เลขที่ 59/2,6,นนทบุรี,4334353,1993-12-24T00:00:00,224,1,,,ห้างหุ้นส่วนจำกัด อมรเมฆวัฒนา,11130,28219,0,224,1985-05-17T00:00:00,-10120400125286-,บางกรวย,2024-01-01T00:00:00,13.80726667,1500000
461.1,100.5185833,ท่าทราย,ทำส่วนประกอบและอุปกรณ์สำหรับเครื่องจักรต่าง ๆ,5572,15,3-67(8)-1/26นบ,ติวานนท์,เลขที่ 149/3,10,นนทบุรี,5896393,1994-09-11T00:00:00,225,2,7420,ธรรมนูญ 2,บริษัท เอ็มดีชีท จำกัด,11000,28199,5,225,1983-03-11T00:00:00,-10120300125261-,เมืองนนทบุรี,2020-01-01T00:00:00,13.88091667,69000000
5473.5,100.3102667,ไทรใหญ่,ผลิตและประกอบเครื่องจักรใช้ในการผลิตซีเมนต์ กระดาษ การทำเหมื,8830,53,3-68-1/36นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 35/1,50,นนทบุรี,02-9855445-9,1993-07-06T00:00:00,226,3,71556,,บริษัท วีเหลี่ยม หว่อง กรุ๊ป จำกัด,11150,28299,3,226,1993-05-28T00:00:00,-10120300125360-,ไทรน้อย,2023-01-01T00:00:00,14.08701667,220650682.4
33727.62,100.5378833,บ้านใหม่,ผลิตน้ำมันพืช น้ำมันสำหรับประกอบอาหารและผลพลอยได้ ทำอาหารสัตว์จากกากถั่วเหลือง,20800,243,3-7(1)-1/15นบ,ติวานนท์,เลขที่ 39/6,173,นนทบุรี,5884147,1966-06-17T00:00:00,227,3,125964,-,บริษัท เอสดี กัทธรี อินเตอร์เนชั่นแนล นนทบุรี จำกัด,11120,10491,70,227,1972-10-26T00:00:00,-10120000125157-,ปากเกร็ด,2023-01-01T00:00:00,13.94601667,2402557453
9180.12,100.5368,บ้านใหม่,ผลิตน้ำมันรำ(ดิบ) น้ำมันจากเมล็ดฝ้าย บรรจุน้ำมัน และปรับปรุงคุณภาพข้าวสาร,1200,14,3-7(1)-1/21นบ,ตัดใหม่,"เลขที่ 71,78/1",10,นนทบุรี,02-5842298-9,1993-03-19T00:00:00,228,3,30500,,บริษัท กสิสุรีย์ จำกัด,11120,10491,4,228,1978-10-18T00:00:00,-10120000125215-,ปากเกร็ด,2023-01-01T00:00:00,13.94576667,242980000
3134.3,100.4183,มหาสวัสดิ์,ผลิตกะทิบรรจุถุงพลาสติกและกระป๋อง อาหารหรือเครื่องดื่มจากผักหรือผลไม้บรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,7000,437,3-7(1)-1/22นบ,มหาสวัสดิ์,เลขที่ 99/9,167,นนทบุรี,4241182,1994-08-03T00:00:00,229,5,8488,,บริษัท ผลิตภัณฑ์อาหาร เชฟช้อย จำกัด,11130,10491,270,229,1979-02-27T00:00:00,-10120000125223-,บางกรวย,2024-01-01T00:00:00,13.8038,23500000
762.15,100.5360441,บางเขน,ผลิตเครื่องปรับอากาศและชิ้นส่วนอุปกรณ์เครื่องทำความเย็นทุ,2600,280,3-70-1/17นบ,งามวงศ์วาน,เลขที่ 11/12-13,200,นนทบุรี,5895166,1995-02-08T00:00:00,230,2,2600,พงษ์เพชร 7,บริษัท ไคเมท เทคโนโลยี ดีเวลลอปเม้นท์ จำกัด,11000,28160,80,230,1974-02-28T00:00:00,-10120200125171-,เมืองนนทบุรี,2020-01-01T00:00:00,13.85914981,0
481.26,100.4157167,บางม่วง,ทำเครื่องสูบน้ำ และอุปกรณ์เครื่องจักรที่ใชในการกสิกรรม,2320,11,3-70-1/35นบ,ปิ่นเกล้า-บางบัวทอง,เลขที่ 76/17,7,นนทบุรี,,1993-06-12T00:00:00,231,13,4800,,ห้างหุ้นส่วนจำกัด สหพัฒนา (1992),11140,28160,4,231,1993-02-11T00:00:00,-10120600125359-,บางใหญ่,2025-01-01T00:00:00,13.83555,4000000
2024.49,100.5331333,บางเขน,ผลิตเครื่องปรับอากาศ และชิ้นส่วนของเครื่องปรับอากาศ,3000,180,3-70-1/41นบ,งามวงศ์วาน,เลขที่ 26/4,100,นนทบุรี,,1998-10-21T00:00:00,232,9,4800,ทิมแลนด์,บริษัท ซัยโจ เด็นกิ อินเตอร์เนชั่นแนล จำกัด,11000,28160,80,232,1998-04-12T00:00:00,-10120200125411-,เมืองนนทบุรี,2023-01-01T00:00:00,13.85083333,200000000
120.5,100.4759333,วัดชลอ,ทำชิ้นส่วนอุปกรณ์อะไหล่เครื่องปั๊มน้ำ และอะไหล่โรงเลื่อย,160,3,3-70-2/30นบ,เทิดพระเกียรติ,เลขที่ 29/4,3,นนทบุรี,0-2447-5735,1987-08-28T00:00:00,233,5,177,,ศ. การช่าง,11130,28160,0,233,1987-08-28T00:00:00,-10120200225302-,บางกรวย,2023-01-01T00:00:00,13.7974,1200000
17183.85,100.5132333,ท่าทราย,ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า มอเตอร์ไฟฟ้า ปั๊มน้ำ เครื่องซักผ้า แม่พิมพ์อุปกรณ์นำเจาะและจับยึด กระทะไฟฟ้า กระติกน้ำร้อน เตาไมโครเวฟ และเครื่องล้างจาน รวมทั้งชิ้นส่วน อะไหล่ และอุปกรณ์ของสินค้าดังกล่าวข้างต้น,45262,2121,3-71-1/14นบ,ติวานนท์,เลขที่ 129/1-3,1041,นนทบุรี,5883010,1993-12-24T00:00:00,234,2,53603,,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,11000,27101,1080,234,1971-05-07T00:00:00,-10120000125140-,เมืองนนทบุรี,2023-01-01T00:00:00,13.88186667,271000000
859.93,100.50755,บางกรวย,ผลิตมอเตอร์ไฟฟ้าและพัดลม,4438,47,3-71-1/23นบ,บางกรวย-ไทรน้อย,เลขที่ 72/1,23,นนทบุรี,02-8793699,1994-04-07T00:00:00,235,1,2495,,บริษัท ฟูซันอินดัสเตรียล จำกัด,11130,27101,24,235,1980-02-19T00:00:00,-10120500125236-,บางกรวย,2020-01-01T00:00:00,13.8081,9000000
593.4,100.4892333,สวนใหญ่,ผลิตและประกอบชิ้นส่วนอุปกรณ์เครื่องปรับอากาศ,2489,78,3-71-1/28นบ,นนทบุรี ,เลขที่ 64,58,นนทบุรี,5251122,1993-12-13T00:00:00,236,,5000,,บริษัท พี.เอส.เอ.อินเตอร์-คูลลิ่ง จำกัด,11000,27101,20,236,1985-02-09T00:00:00,-10120500125285-,เมืองนนทบุรี,2024-01-01T00:00:00,13.85333333,23603054
839.52,100.50755,บางกรวย,ประกอบพัดลม และประกอบเครื่องปรับอากาศ,2768,140,3-71-2/17นบ,บางกรวย,เลขที่ 71,50,นนทบุรี,02-4470671-4,1995-05-01T00:00:00,237,1,4328,,บริษัท ฟูซันอินดัสเตรียล จำกัด,11130,27101,90,237,1974-12-23T00:00:00,-10120100225170-,บางกรวย,2020-01-01T00:00:00,13.8081,29303391
581.89,100.512886,ท่าทราย,ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า ฯลฯ,3929,183,3-71-7/50นบ,ติวานนท์,เลขที่ 129/5,80,นนทบุรี,,2007-09-03T00:00:00,238,2,9004,,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,11000,27101,103,238,2007-05-07T00:00:00,-10120000725501-,เมืองนนทบุรี,2022-01-01T00:00:00,13.88212069,0
