ประกอบกิจการ,ประเภท,เงินทุน,หมู่,ถนน,TSIC,คนงาน,เลขทะเบียนเดิม,โทรศัพท์,เลขทะเบียนโรงงาน,_id,แรงม้า,ชื่อโรงงาน,ตำบล,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,ไปรษณีย์
ป่นหรือบด พืช เมล็ดพืช กากพืช เนื้อสัตว์ และผลิตอาหารสำหรับเลี้ยงสัตว์,1502,95000000,13,-,10801,28,จ3-15(2)-1/53บร,,20310000125533,73,515,บริษัท อาร์.เอ็ม.ซี.ฟาร์ม จำกัด,ชุมเห็ด,-,เมืองบุรีรัมย์,53,บุรีรัมย์,บริษัท อาร์.เอ็ม.ซี.ฟาร์ม จำกัด,31000
โรงงานผลิตน้ำดื่ม,2001,58559244.66,8,-,11041,11,จ3-20(1)-23/65บร,,20310216325653,74,431.94,บริษัท พรพงษ์ วิลล่า จำกัด (สาขา 1),ชุมเห็ด,-,เมืองบุรีรัมย์,391,บุรีรัมย์,บริษัท พรพงษ์ วิลล่า จำกัด,31000
ผลิตแอสฟัสติ์คอนกรีต,5004,10550000,8,บุรีรัมย์-พุทไธสง,19209,7,จ3-50(4)-1/51บร,,20310100125516,75,316.99,บริษัท ยิ่งเจริญก่อสร้างบุรีรัมย์ จำกัด,ชุมเห็ด,-,เมืองบุรีรัมย์,-,บุรีรัมย์,บริษัท ยิ่งเจริญก่อสร้างบุรีรัมย์ จำกัด,31000
ล้าง บด ย่อยพลาสติก,5309,3050000,15,-,22299,20,จ3-53(9)-29/55บร,0839666660,20310002925559,76,110.95,โรงงานพลาสติกบุรีรัมย์,ชุมเห็ด,-,เมืองบุรีรัมย์,147,บุรีรัมย์,นายอนิวัฒน์ อุดมกาญจน์สิน,31000
ทำผลิตภัณฑ์คอนกรีต,5801,14000000,1,บุรีรัมย์-สตึก,23953,14,จ3-58(1)-5/38บร,044-611278,20310000525385,77,190.5,บริษัท กิจมงคลบุรีรัมย์ จำกัด,ชุมเห็ด,,เมืองบุรีรัมย์,116/1,บุรีรัมย์,บริษัท กิจมงคลบุรีรัมย์ จำกัด,31000
ทำผลิตภัณฑ์คอนกรีต เช่น อิฐบล๊อค เสาคอนกรีต ท่อคอนกรีต,5801,6000000,3,บุรีรัมย์-พุทไธสง,23953,14,จ3-58(1)-41/51บร,,20310004125513,78,103.15,ห้างหุ้นส่วนจำกัด ฮะหลีวัสดุก่อสร้าง,ชุมเห็ด,-,เมืองบุรีรัมย์,296,บุรีรัมย์,ห้างหุ้นส่วนจำกัด ฮะหลีวัสดุก่อสร้าง,31000
ผลิตคอนกรีตผสมเสร็จ,5801,23500000,14,บุรีรัมย์-พุทไธสง,23953,31,จ3-58(1)-72/58บร,,20310007225583,79,439.24,บริษัท เรืองแสงไทย จำกัด,ชุมเห็ด,,เมืองบุรีรัมย์,114,บุรีรัมย์,ห้างหุ้นส่วนจำกัด เรืองแสงไทย,31000
การทำส่วนประกอบสำหรับใช้ในการก่อสร้าง,6302,7084000,8,บุรีรัมย์-สตึก,25111,6,จ3-63(2)-2/51บร,086-4606208,20310100225514,80,91.31,ห้างหุ้นส่วนจำกัด บี.เค.เม็ททอล ชีท (บุรีรัมย์),ชุมเห็ด,,เมืองบุรีรัมย์,106,บุรีรัมย์,ห้างหุ้นส่วนจำกัด บี.เค.เม็ททอล ชีท (บุรีรัมย์),31000
กลึงเชื่อมโลหะทั่วไป,6413,3600000,17,บุรีรัมย์,25922,3,อ2-64(13)-35/64บร,,60310046925640,81,59.77,โรงกลึงวิวัฒน์การช่าง,ชุมเห็ด,-,เมืองบุรีรัมย์,128,บุรีรัมย์,นายวิวัฒน์ เหลืองทองใบ,31000
"กลึงเชื่อมโลหะทั่วไป,ผลิตเครื่องเล่นในสนามเด็กเล่นและผลิตเครื่องออกกำลังกาย",6413,4300000,8,เลี่ยงเมืองประโคนชัย-บรบือ,25922,4,จ3-64(13)-36/49บร,,20310003625497,82,268.72,เรืองเจริญ,ชุมเห็ด,,เมืองบุรีรัมย์,129,บุรีรัมย์,นางรัชญาพร สมวงศ์,31000
ซ่อม เคะพ่นสีรถยนต์,9501,125000000,8,บุรีรัมย์-พุทไธสง,33121,18,จ3-95(1)-237/60บร,044-631367,20310023725608,83,121,บริษัท โตโยต้านางรอง ผู้จำหน่ายโตโยต้า จำกัด สาขาเมืองบุรีรัมย์,ชุมเห็ด,-,เมืองบุรีรัมย์,351,บุรีรัมย์,บริษัท โตโยต้านางรอง ผู้จำหน่ายโตโยต้า จำกัด,31110
ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 100 ตัน/วัน,1400,20500000,1,-,10795,10,จ3-14-17/59บร,,20310001725596,84,460,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งจำรูญบุรีรัมย์,สะแกซำ,-,เมืองบุรีรัมย์,343,บุรีรัมย์,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งจำรูญบุรีรัมย์,31000
ผลิตแอสฟัสท์ติกคอนกรีต,5001,18000000,4,บุรีรัมย์-พุทไธสง(กม.7),19209,5,จ3-50(1)-2/46บร,,20310300225462,85,485,บริษัท อึ้งทงกี่ จำกัด,กลันทา,,เมืองบุรีรัมย์,-,บุรีรัมย์,บริษัท อึ้งทงกี่ จำกัด,31000
ผลิตแอสฟัลท์ติกคอนกรีต,5004,25600000,6,-,19209,10,จ3-50(4)-34/64บร,,20310291125648,86,486,ห้างหุ้นส่วนจำกัด ปาริภัทร,กลันทา,-,เมืองบุรีรัมย์,โฉนดที่ดินเลขที่ 120618 และ 120619,บุรีรัมย์,ห้างหุ้นส่วนจำกัด ปาริภัทร,31000
ผลิตคอนกรีตผสมเสร็จ,5801,3000000,16,บุรีรัมย์-ลำปลายมาศ,23953,3,จ3-58(1)-130/54บร,,20310013025548,87,192,บริษัท ปูนซิเมนต์ไทย(แก่งคอย) จำกัด,กระสัง,,เมืองบุรีรัมย์,โฉนดที่ดินเลขที่ 14390,บุรีรัมย์,บริษัท ปูนซิเมนต์ไทย(แก่งคอย) จำกัด,31000
ทำหลังคาเหล็กเมทอลชีท,6302,4588500,1,บุรีรัมย์-นางรอง,25111,8,จ2-63(2)-147/64บร,,20310258225647,88,59.75,บริษัท บุรีรัมย์ เมทอลชีท จำกัด,กระสัง,,เมืองบุรีรัมย์,128,บุรีรัมย์,บริษัท บุรีรัมย์ เมทอลชีท จำกัด,31000
ผลิตหลังคาเหล็กและอลูมิเนียม งานกลึง กัด ตัด พับ ม้วน เจาะ ปั๊ม และงานเชื่อมต่างๆ,6302,14500000,3,,25111,8,จ3-63(2)-32/55บร,,20310003225553,89,93.5,บริษัท โอ.เค.โปรดักส์เซ็นเตอร์ จำกัด,กระสัง,,เมืองบุรีรัมย์,123,บุรีรัมย์,บริษัท โอ.เค.โปรดักส์เซ็นเตอร์ จำกัด,31000
ศูนย์บริการซ่อมแซมรถยนต์,9501,17500000,6,บุรีรัมย์-นางรอง,33121,11,จ3-95(1)-68/58บร,0901984113,20310006825581,90,59.3,บี-ควิก สาขาโรบินสัน บุรีรัมย์,กระสัง,-,เมืองบุรีรัมย์,125/1,บุรีรัมย์,บริษัท บี-ควิก จำกัด,31000
,,,,,,,,,,91,,,,,,,,,
,,,,,,,,,ข้อมูลเมื่อวันที่,92,,2/7/2024,,,,,,,
