ถนน,เลขที่,ซอย,ประเภท,เงินทุน,แรงม้า,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
ติวานนท์,เลขที่ โฉนดที่ดินเลขที่ 23076,,106,"12,640,000",180,309,6,3-106-36/58ปท,309,บริษัท สวนอุตสาหกรรมบางกะดี จำกัด,สกัดโลหะมีค่าจากน้ำยาชุบโลหะ กากตะกอนระบบบำบัดน้ำเสีย ที่มีโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์ นำสารละลายกรด-ด่างที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์ใหม่ ล้างบรรจุภัณฑ์ด้วยตัวทำละลาย ล้างบรรจุภัณฑ์ด้วยน้ำ,,12000,บางกะดี,เมืองปทุมธานี,ปทุมธานี,5
บ้านลีส้ง-บ้านบางพลีน้อย,เลขที่ 311,,105,"11,000,000",496.85,310,30,จ3-105-156/51สป,310,นายสมพงศ์ กรวิภาพงศ์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น พลาสติก โลหะ กระดาษ ผ้า ฯลฯ และทำเม็ดพลาสติกจากเศษพลาสกติกเก่า,,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,1
-,เลขที่ 153,-,106,"37,000,000",700,311,23,3-106-37/52ปท,311,บริษัท จ.ชัยเจริญรีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,12000,สวนพริกไทย,เมืองปทุมธานี,ปทุมธานี,4
สายบ้านดงมะไฟ-ภูเพ็ก,เลขที่ โฉนดที่ดินเลขที่ 58145,-,101,"7,200,000","1,180.00",312,3,3-101-3/59สน,312,ห้างหุ้นส่วนจำกัด ที.โอ.เอ็ม.กรีน,ปรับคุณภาพของเสียรวม เผาขยะมูลฝอยติดเชื้อ,,47220,ขมิ้น,เมืองสกลนคร,สกลนคร,1
ชยางกูร,เลขที่ -,ทองสุขอารีย์,101,"259,439,129",242.5,313,8,3-101-2/49มห,313,โรงงานปรับปรุงคุณภาพน้ำเสียเทศบาลเมืองมุกดาหาร,บำบัดน้ำเสียรวม,0 4261 1227,49000,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,0
,เลขที่ 21/21,,106,"7,000,000",254,314,10,3-106-19/59ปท,314,บริษัท มิชชั่นไลน์รีไซเคิล จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะผสม (Solder Droos) จากการบัดกรีและขาวงจรอิเล็กทรอนิกส์ ซ่อมและล้างถังด้วยตัวทำละลาย และทำเชื้อเพลิงทดแทน,,12000,หลักหก,เมืองปทุมธานี,ปทุมธานี,6
สุขุมวิท,เลขที่ 238,วัดปานประสิทธาราม,105,"20,000,000",276,315,10,จ3-105-206/51สป,315,บริษัท จงสุทธา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย การตัดและย่อยเศษด้ายหรือเศษผ้า,,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,12
บางนา-ตราด กม.35,เลขที่ 33/1,นิยม-เกาะแก้ว,105,"29,300,000",763.04,316,20,3-105-51/48สป,316,บริษัท พี.ซี.อินเตอร์พลาสท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และผลิตเม็ดพลาสติก,-,10560,คลองนิยมยาตรา,บางบ่อ,สมุทรปราการ,1
พหลโยธิน,เลขที่ 75/85,-,106,"13,600,000",16.06,317,4,3-106-1/53ปท,317,บริษัท คาเนโกะ เคมิคัล (ไทยแลนด์) จำกัด,นำตัวทำละลายที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อผลิตเป็นน้ำยาทำความสะอาดเครื่องจักรหรือทำความสะอาดอุปกรณ์,02 9081890,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,11
,เลขที่ 189,,101,"1,020,000",59.44,318,5,3-101-1/45ลพ,318,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),บำบัดของเสียรวม (เตาเผาขยะทั่วไป 50 กก./ชม.),,51000,ป่าสัก,เมืองลำพูน,ลำพูน,15
-,เลขที่ 28/59,รัตนโชค 12/3,105,"8,500,000",28,319,6,3-105-15/60สป,319,เพิ่มพูนทรัพย์รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0 2174 6504,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
-,เลขที่ 1039,-,106,"4,500,000",22,320,7,3-106-12/53ปท,320,บริษัท สยามคาวาชิม่า จำกัด,บดย่อยชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์,,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,13
-,เลขที่ 159,-,101,"3,458,121",258.25,321,2,จ3-101-1/40ลพ,321,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),"ปรับคุณภาพของเสียรวม (บำบัดน้ำเสียรวม 4,500 ลูกบาศก์เมตรต่อวัน)",053-511676-7,51000,เวียงยอง,เมืองลำพูน,ลำพูน,7
ลำปาง-แจ้ห่ม,เลขที่ 279,,101,"401,000,000","6,710.00",322,8,3-101-1/45ลป,322,บริษัท ปูนซิเมนต์ไทย(ลำปาง) จำกัด,ปรับคุณภาพของเสียรวม,,52120,บ้านสา,แจ้ห่ม,ลำปาง,5
จงศิริ,เลขที่ 888/2,จงศิริพาร์คแลนด์,105,"163,915,389",52.5,323,15,3-105-43/60สป,323,บริษัท เมเทรด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0 2136 9055,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,21
-,เลขที่ 9/9,-,106,"760,000",11,324,7,3-106-18/50ปท,324,ห้างหุ้นส่วนจำกัด เจ พี เอ็น รีไซเคิล,ล้างภาชนะบรรจุด้วยสารตัวทำละลาย,,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,18
-,เลขที่ โฉนดที่ดินเลขที่ 4183,-,105,"20,500,000",331,325,15,3-105-59/60สป,325,บริษัท ซี.อาร์.เอ.เอ็นจิเนียริ่ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,21
-,เลขที่ 101/108,-,106,"3,150,000",122.5,326,14,3-106-29/53ปท,326,บริษัท ทีอีเอส.เอเอ็มเอ็ม (ประเทศไทย) จำกัด,บดย่อยชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์,,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,20
-,เลขที่ 15/5,-,101,"25,650,000",59.83,327,8,3-101-5/51นว,327,บริษัท โชติฐกรณ์พิบูลย์ จำกัด,เผาขยะติดเชื้อและขยะมูลฝอยทั่วไป,,60240,หนองกรด,เมืองนครสวรรค์,นครสวรรค์,1
รพช.,เลขที่ 53/18,ที่ดินไทย,105,"5,000,000",123,328,12,3-105-93/47สป,328,บริษัท ทีเอส เมททัล ซัพพลาย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และอัดเศษโลหะ,-,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,5
นครสวรรค์-ชัยภูมิ,เลขที่ 99,-,101,"1,803,781,500",189,329,30,3-101-6/47พช,329,บริษัท โกลเด้น ไลน์ บิสซิเนส จำกัด,บำบัดน้ำเสียรวม,,67160,กันจุ,บึงสามพัน,เพชรบูรณ์,4
,เลขที่ 35/17,,106,"4,500,000",285,330,6,3-106-44/59ปท,330,บริษัท จิรนันท์ เซอร์วิส 2002 จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วหรือสารทำละลายมาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อผลิตเป็นเชื้อเพลิงทดแทน และทำเชื้อเพลิงผสม น้ำมันกันสนิม สีเกรดสองรวมทั้งซ่อมและล้างถังด้วยตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ,02516-8656,12120,คลองหนึ่ง,คลองหลวง,ปทุมธานี,7
เทพารักษ์,เลขที่ 46/11-12,ที่ดินไทย,105,"107,000,000",175.5,331,70,3-105-106/59สป,331,บริษัท เจ.เจ.สยามอินเตอร์ เทเลวิชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,23
แสงชูโต,เลขที่ 19,,101,"940,000,000","8,297.87",332,15,3-101-1/39รบ,332,บริษัท ผลิตภัณฑ์กระดาษไทย จำกัด,บำบัดน้ำเสียรวม,032-200746,70110,ท่าผา,บ้านโป่ง,ราชบุรี,19
,เลขที่ 26/4,,106,"20,000,000",110,333,20,3-106-13/60ปท,333,บริษัท เอ็นแอนด์เจ อินเตอร์ เทรด (555) จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายใช้แล้วมาผสมเป็นเชื้อเพลิงทดแทน กลั่นตัวทำละลายใช้แล้วเพื่อนำกลับมาใช้ประโยชน์ใหม่ ผลิตไบโอดีเซลจากน้ำมันพืชใช้แล้วและน้ำมันสัตว์ใช้แล้ว ซ่อมถังและล้างถังด้วยตัวทำละลาย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,035744571,12120,คลองสาม,คลองหลวง,ปทุมธานี,16
คลองหลวง,เลขที่ 22/10,-,106,"21,000,000",776.53,334,12,3-106-1/48ปท,334,บริษัท คอลลานาโนเทค จำกัด,นำน้ำมันพืชที่ใช้แล้ว มาผ่านกรรมวิธีการผลิตทางอุตสาหกรรมเพื่อผลิตไบโอดีเซล,,12120,คลองสี่,คลองหลวง,ปทุมธานี,7
,เลขที่ 99,,101,"370,000,000",120,335,8,3-101-1/40กจ,335,บริษัท น้ำตาลรางกระต่าย จำกัด,โรงงานปรับคุณภาพของเสียรวม,561188,71130,ตะคร้ำเอน,ท่ามะกา,กาญจนบุรี,9
เทพารักษ์,เลขที่ 53/11,ที่ดินไทย,105,"39,000,000",583,336,32,3-105-107/60สป,336,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,5
-,เลขที่,-,101,"18,000,000",100,337,14,3-101-1/46กจ,337,บริษัท แวนด้า แฟคทอรี่ จำกัด,"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 2,000 ลูกบาศก์เมตรต่อวัน",034-542634-7,71130,แสนตอ,ท่ามะกา,กาญจนบุรี,7
เทพารักษ์,เลขที่ 169,ที่ดินไทย,105,"13,500,000",423.8,338,13,จ3-105-11/51สป,338,บริษัท เมกา รีซอร์สเซส จำกัด,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและทำเม็ดพลาสติก,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,21
เลียบคลองสี่,เลขที่ 9/9,,106,"10,000,000",148.94,339,12,3-106-15/57ปท,339,บริษัท วรินทร คอร์ปอเรชั่น จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ สกัดโลหะมีค่าจากน้ำยาล้างฟิล์มและน้ำยาชุบโลหะ,,12120,คลองสี่,คลองหลวง,ปทุมธานี,5
,เลขที่ 10/14,,106,"20,000,000",169,340,10,3-106-19/58ปท,340,นางพรฤดี พิรุณวัฒนา,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะผสม (Solder Dross) จากการบัดกรีและขาวงจรอิเล็กทรอนิกส์ ซ่อมและล้างถังด้วยตัวทำละลาย,,12120,คลองสี่,คลองหลวง,ปทุมธานี,6
เทพารักษ์,เลขที่ 79/29,ธนสิทธิ์,105,"9,750,000",89,341,5,จ3-105-30/52สป,341,บริษัท นีค อินเตอร์ คอร์ปอเรชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ชนิดที่ไม่เป็นอันตราย ได้แก่ พลาสติก ยาง ฯลฯ และบดเศษยาง และพลาสติก,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
แสงชูโต,เลขที่ 99,,101,"1,690,000,000","8,040.85",342,40,3-101-1/39กจ,342,บริษัท สยามคราฟท์ อุตสาหกรรม จำกัด,ปรับคุณภาพของเสียรวม,(034)561440,71130,วังศาลา,ท่าม่วง,กาญจนบุรี,6
เทพารักษ์,เลขที่ 79/38,ธรสิทธิ์ (รัตนโชค 12),105,"8,000,000",134,343,9,จ3-105-72/52สป,343,บริษัท เอส.ดี.พลาสติก เอ็นเตอร์ไพร์ส จำกัด,คัดแยกวัสดุไม่ใช้แล้วชนิดที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติกชนิดต่างๆ และผลิตเม็ดพลาสติกจากพลาสติกใช้แล้ว,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
พระประโทน-บ้านแพ้ว,เลขที่ 502,-,101,"6,744,000",204.94,344,2,จ3-101-1/44นฐ,344,บริษัท ยูนิ-เพรสซิเดนท์(ประเทศไทย) จำกัด,บำบัดน้ำเสีย,,73000,ดอนยายหอม,เมืองนครปฐม,นครปฐม,3
,เลขที่ 39/25,,106,"8,500,000",119,345,10,3-106-20/58ปท,345,บริษัท เวิลด์ เวสต์ แมเนจเม้นท์ จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะผสม(Solder Dross)จากการบัดกรีและขาวงจรอิเล็กทรอนิกส์ ซ่อมและล้างถังด้วยตัวทำละลาย,,12120,คลองสี่,คลองหลวง,ปทุมธานี,5
,เลขที่ 39/28,,106,"7,000,000",122.54,346,10,3-106-31/59ปท,346,นางมนัสนันท์ รุจิศักดิ์เมธี,ผลิตน้ำมันไบโอดีเซล,,12120,คลองสี่,คลองหลวง,ปทุมธานี,5
สุขาภิบาล,เลขที่ 33/3,-,101,,176.29,347,17,3-101-7/51นฐ,347,บริษัท ไทยโทเรเท็กซ์ไทล์มิลลส์ จำกัด (มหาชน),"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 4,800 ลูกบาศก์เมตรต่อวัน",034 331788-90,73120,นครชัยศรี,นครชัยศรี,นครปฐม,3
เทพารักษ์,เลขที่ 79/49,ธนสิทธิ์ (รัตนะโชค 12),105,"8,000,000",377.26,348,10,จ3-105-74/52สป,348,บริษัท น่ำเฮี่ยง พลาสติก จำกัด,คัดแยกวัสดุไม่ใช้แล้วชนิดที่ไม่เป็นอันตราย ได้แก่ เศษพลาสติกชนิดต่างๆ และผลิตเม็ดพลาสติกจากพลาสติกใช้แล้ว การปั่น บด ย่อยพลาสติก,,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,19
หนามแดง-บางพลี,เลขที่,-,105,"19,800,000","3,103.91",349,20,3-105-58/49สป,349,นายณัฐวัฒน์ กิจจาธเนศ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย หลอมหล่อเศษโลหะและตะกรันโลหะ,,10540,บางแก้ว,บางพลี,สมุทรปราการ,3
,เลขที่ 18/3,,106,"11,900,000",505,350,12,3-106-110/60ปท,350,บริษัท ไทย ซังเกียว รีไซเคิล จำกัด,ทำเชื้อเพลิงผสมให้กับโรงงานผลิตปูนซีเมนต์ และบดย่อยชิ้นส่วนอิเล็กทรอนิกส์ใช้แล้ว,0999494789,12120,คลองห้า,คลองหลวง,ปทุมธานี,14
-,เลขที่ 81/7,-,101,"16,050,000",190.27,351,3,3-101-1/50นฐ,351,บริษัท น้ำมันพืชไทย จำกัด (มหาชน),ระบบบำบัดน้ำเสียรวม,,73120,ไทยาวาส,นครชัยศรี,นครปฐม,1
เลียบคลองหก,เลขที่ โฉนดที่ดินเลขที่ 51738,,106,"6,800,000",122,352,10,3-106-95/60ปท,352,บุญเพ็ชร์ รีไซเคิล,บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,12120,คลองหก,คลองหลวง,ปทุมธานี,8
เพชรเกษม,เลขที่ 13/8,วัดท่าข้าม,101,"9,500,000",84,353,2,จ3-101-2/40นฐ,353,บริษัท ซันยางอุตสาหกรรมอาหาร จำกัด,ระบบบำบัดน้ำเสียรวม,034-721991-3,73110,ท่าข้าม,สามพราน,นครปฐม,4
เทพารักษ์,เลขที่ 89/8-9,ตะวันธารบุตร 2,105,"24,000,000",283,354,11,3-105-6/58สป,354,บริษัท บางปลา รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย เช่น อลูมิเนียม ทองแดง,,10540,บางปลา,บางพลี,สมุทรปราการ,9
,เลขที่ 88/13,,105,"7,000,000",673,355,10,3-105-10/57สป,355,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,12
พุทธมณฑลสายที่ 5,เลขที่ 87,,101,"21,110,000",352.5,356,6,3-101-1/36นฐ,356,บริษัท แหลมทองผลิตภัณฑ์อาหาร จำกัด,ปรับคุณภาพของเสียรวม,0-2420-4717,73210,ไร่ขิง,สามพราน,นครปฐม,9
ธัญบุรี-วังน้อย,เลขที่ 16/2,-,106,"6,600,000",16,357,11,3-106-28/49ปท,357,ห้างหุ้นส่วนจำกัด ชินฟา,สกัดโลหะที่มีค่าจากน้ำชุบโลหะ และน้ำยาล้างฟิล์ม ทำเชื้อเพลิงทดแทน หรือเชื้อเพลิงสังเคราะห์จากน้ำมันใช้แล้ว และตัวทำละลายที่ใช้แล้ว,,12120,คลองเจ็ด,คลองหลวง,ปทุมธานี,2
รังสิต-นครนายก,"เลขที่ 45/12, 14",-,106,"24,200,000",280,358,20,3-106-38/52ปท,358,บริษัท วงษ์พาณิชย์กล๊าสรีไซคลิ่ง จำกัด,ปรับสภาพ บด ย่อยแก้ว,,12110,ลำผักกูด,ธัญบุรี,ปทุมธานี,4
เทพารักษ์,เลขที่ 46/67,บางปลา 32,105,"25,000,000","1,763.00",359,18,3-105-19/60สป,359,นายธงชัย จิตพิชิตชัย,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,9
เพชรเกษม,เลขที่ 12,วัดเทียนดัด,101,"500,000",211.5,360,2,3-101-1/37นฐ,360,บริษัท บางกอกอินเตอร์ฟูด จำกัด,ระบบบำบัดน้ำเสียรวม,"4290339,4290647",73110,บ้านใหม่,สามพราน,นครปฐม,
เพชรเกษม,เลขที่ 67,วัดเทียนดัด,101,"69,500,000",308,361,5,3-101-2/41นฐ,361,บริษัท นครหลวงกลูโคส จำกัด,บำบัดน้ำเสียรวม,4290020,73110,บ้านใหม่,สามพราน,นครปฐม,1
เทพารักษ์,เลขที่ 89/8,ตะวันธารบุตร 2,105,"39,000,000",283,362,10,3-105-33/59สป,362,บริษัท บางปลา รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,9
ปทุมธานี-บางเลน,เลขที่ 26/4,-,106,"110,839,934","5,278.91",363,80,3-106-4/50ปท,363,บริษัท แอล.เอส.เค.เทรดดิ้ง จำกัด,ล้างขวดแก้ว,,12140,ระแหง,ลาดหลุมแก้ว,ปทุมธานี,1
-,เลขที่ 34/9,-,105,"6,000,000",9.5,364,7,3-105-34/48สป,364,บริษัท ชูโชค รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),083-1374777,10540,บางปลา,บางพลี,สมุทรปราการ,3
เพชรเกษม,เลขที่ 42/2,สุขาภิบาลอ้อมใหญ่3,101,"30,000,000",120.08,365,6,จ3-101-4/40นฐ,365,บริษัท แหลมทองอุตสาหกรรมอาหาร จำกัด,โรงงานปรับปรุงคุณภาพของเสียรวม,4205835-8,73160,อ้อมใหญ่,สามพราน,นครปฐม,2
ปทุมธานี-บางเลน,เลขที่ 29/2,-,106,"6,000,000",103,366,10,3-106-3/48ปท,366,ห้างหุ้นส่วนจำกัด เทพประสิทธิ์การค้า,ซ่อมและล้างถังบรรจุภัณฑ์,,12140,ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,1
เทพารักษ์,เลขที่ 116/94,โกดังแสงฟ้า,105,"12,500,000",10,367,20,3-105-36/61สป,367,บริษัท ต้าเฉิง คอร์ปอเรชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,9
วิเชียรโชฎก,เลขที่ 1259,-,101,"42,410,120",991.97,368,8,3-101-1/49สค,368,บริษัท ยูเนี่ยนโฟรเซนโปรดักส์ จำกัด,บำบัดน้ำเสียรวม,0 3482 0627-9,74000,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,
-,เลขที่ -,-,106,"12,600,000",373,369,30,3-106-43/52ปท,369,บริษัท อินฟินีตี้เปเปอร์ จำกัด,บดและหลอมเพื่อทำเม็ดพลาสติกจากเศษพลาสติกเก่า บดย่อยชิ้นส่วนอิเล็กทรอนิกส์และอัดเศษโลหะ,,12140,ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,4
,เลขที่,,105,"30,000,000",290,370,18,3-105-39/60สป,370,นายไชยพงศ์ ศรีเปรมอนันต์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,10540,บางปลา,บางพลี,สมุทรปราการ,12
-,เลขที่ 85,-,101,"27,500,000",512.11,371,3,3-101-2/50สค,371,บริษัท โอคินอสฟู้ด จำกัด,"บำบัดน้ำเสียรวม ปริมาณบำบัดสูงสุด 4,500 ลูกบาศก์เมตรต่อวัน",034-833803-6,74000,นาดี,เมืองสมุทรสาคร,สมุทรสาคร,4
วงแหวนตะวันตก,เลขที่ 34/6,-,106,"5,020,000",84,372,7,3-106-7/47ปท,372,ห้างหุ้นส่วนจำกัด ต.กิจบำรุง,นำน้ำมันใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน และน้ำมันทาไม้แบบ คัดแยกวัสดุที่ไม่ใช้แล้ว อัดโลหะ กระดาษ และย่อยพลาสติก ซ่อมและล้างถัง,,12140,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,9
-,เลขที่ 34/1,-,105,"6,500,000",70,373,4,3-105-52/49สป,373,นางจิดาภา กำลังทวี,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษกระดาษ เศษพลาสติก และเศษโลหะ,,10540,บางปลา,บางพลี,สมุทรปราการ,3
เศรษฐกิจ,เลขที่ 49/6,วัดทองธรรมิการาม,101,"19,580,000",148,374,5,จ3-101-1/37สค,374,บริษัท เกรทฟู๊ด (ดิไฮเดรชั่น) จำกัด,ระบบบำบัดน้ำเสียรวม (CENTRAL WATER TREATMENT PLANT),423190,74000,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,7
ปทุมธานี-ลาดหลุมแก้ว,"เลขที่ โฉนดที่ดินเลขที่ 45295, 44771",,106,"240,000,000","2,510.00",375,100,3-106-33/58ปท,375,บริษัท ปทุมพลัส จำกัด,ล้างขวดแก้ว,081-3094086,12140,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,7
เทพารักษ์,เลขที่ 117/43,-,105,"1,200,000",30,376,12,3-105-54/60สป,376,บริษัท จี.อี.เทรดดิ้ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0 2706 3388,10540,บางปลา,บางพลี,สมุทรปราการ,9
เอกชัย,เลขที่ 44/5,,101,"1,250,000",60,377,2,จ3-101-1/40สค,377,บริษัท ต้าหมิงเอ็นเตอร์ไพรส์ จำกัด,บำบัดน้ำเสียรวม,,74000,โคกขาม,เมืองสมุทรสาคร,สมุทรสาคร,4
,"เลขที่ โฉนดที่ดินเลขที่ 17707-17709,5571",,106,"260,000,000","1,969.90",378,10,3-106-48/61ปท,378,บริษัท ปทุมคัลเลท จำกัด,บด ย่อย ล้างเศษแก้ว,,12140,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,7
เทพารักษ์,เลขที่ 104/12,รัตนะโชค 12,105,"19,400,880",127.38,379,15,3-105-55/49สป,379,บริษัท 106 สิ่งแวดล้อม จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย นำน้ำมันหล่อลื่นใช้แล้วและตัวทำละลายที่ใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน นำน้ำมันที่ใช้แล้ว ตัวทำละลายที่ใช้แล้วและเศษผ้าปนเปื้อนน้ำมันมาผลิตเชื้อเพลิงผสม นำเศษวัสดุที่ไม่ใช้แล้วที่ปนเปื้อนและมีค่าความร้อนมาผลิตเชื้อเพลิงผสม (Blending) และรวบรวมแบตเตอรี่เก่าที่ใช้แล้ว โดยไม่มีการคัดแยก ผ่าหรือแกะ ซ่อมและล้างบรรจุภัณฑ์ที่ใช้แล้วด้วยตัวทำละลาย บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์,02-1746164-6,10540,บางปลา,บางพลี,สมุทรปราการ,12
-,เลขที่ 8/3,-,106,"15,500,000",53,380,6,3-106-5/55ปท,380,บริษัท สยาม ลูป ออยล์ จำกัด,นำน้ำมันใช้แล้วและตัวทำละลายใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์ใหม่ ซ่อมและล้างถังด้วยตัวทำละลาย คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0-29761007-8,12140,คลองพระอุดม,ลาดหลุมแก้ว,ปทุมธานี,5
