เงินทุนรวม,ประกอบกิจการ,อำเภอ,ถนน,ซอย,FID,คนงานรวม,ไปรษณีย์,จังหวัด,หมู่,เลขที่,แรงม้า,โทรศัพท์,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,เลขทะเบียนเดิม,ชื่อโรงงาน,แรงม้าตรวจพบ,รายการ,คนงานหญิง
" 21,565,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130018325640-,32,12120,ปทุมธานี,15,"เลขที่ โฉนดที่ดินเลขที่ 59308,59307,98769,98770", 151.00 ,,คลองสาม,บริษัท ต.คิดดี โปรดักส์ จำกัด,22,49,3-105-4/64ปท,บริษัท ต.คิดดี โปรดักส์ จำกัด, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 69,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130269825645-,6,12120,ปทุมธานี,12,เลขที่ 90/16, 248.00 ,,คลองสอง,บริษัท เรณูยา จำกัด,5,50,3-105-40/64ปท,บริษัท เรณูยา จำกัด, 248.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,1
" 19,000,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองปทุมธานี,-,-,-10130004325539-,11,12000,ปทุมธานี,5,เลขที่ 19/11, 345.00 ,,บางพูน,บริษัท สหลิ้มอุ่งเส็งค้าของเก่า จำกัด,6,51,3-105-43/53ปท,บริษัท สหลิ้มอุ่งเส็งค้าของเก่า จำกัด, 345.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 28,490,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,สามโคก,ท่าลาน-คลองน้ำแล้ง,,-10130004325588-,10,12160,ปทุมธานี,2,เลขที่ 78/21, 97.00 ,25814676,กระแชง,บริษัท ซุปเปอร์บ๊อกซ์ จำกัด,7,52,3-105-43/58ปท,บริษัท ซุปเปอร์บ๊อกซ์ จำกัด, 97.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 27,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130004325596-,10,12120,ปทุมธานี,8,เลขที่ 21/21, 280.00 ,,คลองหนึ่ง,ห้างหุ้นส่วนจำกัด สหกิตติไพศาล เปเปอร์,5,53,3-105-43/59ปท,ห้างหุ้นส่วนจำกัด สหกิตติไพศาล เปเปอร์, 280.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 3,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองเสือ,,,-10130004425594-,10,12170,ปทุมธานี,3,เลขที่ , 112.00 ,,นพรัตน์,บริษัท เอ็ม ที เกษตรแปรรูป จำกัด,5,54,3-105-44/59ปท,บริษัท เอ็ม ที เกษตรแปรรูป จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 9,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130004425602-,10,12160,ปทุมธานี,8,เลขที่ 24/6, 280.00 ,,คลองควาย,บริษัท วิทิต กรุ๊ป จำกัด,5,55,3-105-44/60ปท,บริษัท วิทิต กรุ๊ป จำกัด, 280.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 11,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลาดหลุมแก้ว,,,-10130273025646-,28,12140,ปทุมธานี,4,เลขที่ 121/22, 211.00 ,924163592,ระแหง,ห้างหุ้นส่วนจำกัด ประนอม รีไซเคิล,16,56,3-105-44/64ปท,ห้างหุ้นส่วนจำกัด ประนอม รีไซเคิล, 211.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,12
" 13,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130289725643-,20,12160,ปทุมธานี,5,เลขที่ 5/8, 608.00 ,,บ้านปทุม,บริษัท จึงเจริญ เมททัล จำกัด,16,57,3-105-45/64ปท,บริษัท จึงเจริญ เมททัล จำกัด, 608.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 3,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130004625599-,10,12160,ปทุมธานี,1,เลขที่ 24, 101.00 ,,บ้านปทุม,บริษัท ชัยปราการ เม็ททัล จำกัด,5,58,3-105-46/59ปท,บริษัท ชัยปราการ เม็ททัล จำกัด, 22.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 4,300,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดพลาสติกและอัดเศษกระดาษ,คลองหลวง,-,-,-10130004725480-,6,12120,ปทุมธานี,14,เลขที่ 34/2, 90.00 ,0 2909 9628,คลองสอง,ห้างหุ้นส่วนจำกัด เอ็ม. ดี. เค. เอ็นจิเนียริ่ง แอนด์ ซัพพลาย,3,59,3-105-47/48ปท,ห้างหุ้นส่วนจำกัด เอ็ม. ดี. เค. เอ็นจิเนียริ่ง แอนด์ ซัพพลาย, 90.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 4,950,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130100525602-,10,12130,ปทุมธานี,6,เลขที่ โฉนดที่ดินเลขที่ 45148, 70.00 ,,คลองสี่,นางสาวหทัยรัตน์ เกตุณรงค์,5,60,3-105-5/60ปท,นางสาวหทัยรัตน์ เกตุณรงค์, 70.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 68,620,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่เป็นของเสียอันตราย,คลองหลวง,,,-10130006225638-,9,12120,ปทุมธานี,12,"เลขที่ โฉนดที่ดินเลขที่ 4381, 37322", 184.00 ,,คลองสอง,บริษัท สยาม ชิน-เอ เมทัล จำกัด,8,61,3-105-5/63ปท,บริษัท สยาม ชิน-เอ เมทัล จำกัด, 184.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,1
" 3,900,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541) และบดย่อยพลาสติก,คลองหลวง,-,-,-10130005025484-,16,12120,ปทุมธานี,6,เลขที่ 9/18, 65.00 ,0 2987 9754,คลองสาม,บริษัท ชัดเจน พลาสติก แอนด์ รีไซเคิ้ล จำกัด,6,62,3-105-50/48ปท,บริษัท ชัดเจน พลาสติก แอนด์ รีไซเคิ้ล จำกัด, 65.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 9,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1,คลองหลวง,-,-,-10130005625473-,25,12120,ปทุมธานี,14,เลขที่ 10/4, 245.00 ,,คลองสอง,บริษัท สยามโพลี (ไทยแลนด์) จำกัด,13,63,3-105-56/47ปท,บริษัท สยามโพลี (ไทยแลนด์) จำกัด, 245.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,12
" 37,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เหล็ก กระดาษ พลาสติก ไม้ และโลหะต่างๆ,เมืองปทุมธานี,สาย 345,-,-10130005625531-,11,12000,ปทุมธานี,5,เลขที่ 112/91, 215.00 ,,บางคูวัด,ห้างหุ้นส่วนจำกัด คูศรีก่อสร้างและรื้อถอน,7,64,3-105-56/53ปท,ห้างหุ้นส่วนจำกัด คูศรีก่อสร้างและรื้อถอน, 215.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 72,800,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น กระดาษ พลาสติก โลหะ,ลำลูกกา,-,-,-10130005725539-,10,12150,ปทุมธานี,3,เลขที่ 9/2, 850.00 ,081 4431452,บึงคำพร้อย,บริษัท พี พี ซอร์ทติ้ง จำกัด,5,65,3-105-57/53ปท,บริษัท พี พี ซอร์ทติ้ง จำกัด, 150.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 13,200,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130005725604-,10,12120,ปทุมธานี,9,เลขที่ 28, 358.00 ,,คลองเจ็ด,บริษัท เอ็นดีพีเอส พลาสติก จำกัด,5,66,3-105-57/60ปท,บริษัท เอ็นดีพีเอส พลาสติก จำกัด, 358.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 12,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,,,-10130153725638-,10,12150,ปทุมธานี,9,เลขที่ 30/7, 207.00 ,,พืชอุดม,บริษัท อภิวัฒนกรณ์ จำกัด,5,67,3-105-59/63ปท,บริษัท อภิวัฒนกรณ์ จำกัด, 207.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 4,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,,,-10130000625593-,5,20130,ปทุมธานี,4,"เลขที่ โฉนดที่ดินเลขที่ 58119, 58932", 80.00 ,,ลำไทร,บริษัท ส.บุญมา รีไซเคิล จำกัด,3,68,3-105-6/59ปท,บริษัท ส.บุญมา รีไซเคิล จำกัด, 80.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 12,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองเสือ,,,-10130100625600-,10,12170,ปทุมธานี,8,เลขที่ 14, 82.00 ,,นพรัตน์,บริษัท บุญชู รีไซเคิล จำกัด,6,69,3-105-6/60ปท,บริษัท บุญชู รีไซเคิล จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 3,900,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรมว่าด้วยเรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วจำพวกโลหะ กระดาษ แก้ว ไม้ พลาสติก และบดย่อยพลาสติกชนิดต่าง ๆ,ลำลูกกา,ลำลูกกา-ธัญญะ, -,-10130006125499-,7,12150,ปทุมธานี,3,เลขที่ 9/9, 55.00 ,0 2987 8579,บึงคำพร้อย,ห้างหุ้นส่วนจำกัด มารวย รีไซเคิล,4,70,3-105-61/49ปท,ห้างหุ้นส่วนจำกัด มารวย รีไซเคิล, 55.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 2,000,000 ","คัดแยกวัสดุที่ไม่ใช้แล้ว (ขยะไม่อันตราย) บดย่อยและอัดพลาสติก, อัดเศษโลหะและอัดกระดาษ",คลองหลวง,-,-,-10130006625480-,13,12120,ปทุมธานี,9,เลขที่ , 270.00 ,,คลองสาม,บริษัท พี เค เอเซีย (ประเทศไทย) จำกัด,9,71,3-105-66/48ปท,บริษัท พี เค เอเซีย (ประเทศไทย) จำกัด, 270.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 1,500,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เหล็ก กระดาษ พลาสติก เป็นต้น,ลำลูกกา,-,-,-10130006625548-,9,12150,ปทุมธานี,9,เลขที่ 1/16, 79.00 ,,บึงทองหลาง,ห้างหุ้นส่วนจำกัด ป.ปรีชา รีไซเคิล,6,72,3-105-66/54ปท,ห้างหุ้นส่วนจำกัด ป.ปรีชา รีไซเคิล, 79.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 18,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ธัญบุรี,,รังสิต-นครนายก 25 ซอย 5,-10130006625597-,5,10220,ปทุมธานี,,เลขที่ 54, 80.00 ,29962626,ประชาธิปัตย์,บริษัท พี.ริชพอยท์ จำกัด,5,73,3-105-66/59ปท,บริษัท พี.ริชพอยท์ จำกัด, 80.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 14,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,เลียบคลองสอง,บงกช 11,-10130365025645-,9,12120,ปทุมธานี,6,เลขที่ 6/63, 180.00 ,,คลองสอง,ห้างหุ้นส่วนจำกัด สมชายการค้ารีไซเคิล,5,74,3-105-67/64ปท,ร้านสมชายการค้ารีไซเคิล, 180.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 12,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,คลองสิบสามตะวันตก,,-10130006825593-,20,12130,ปทุมธานี,6,เลขที่ 29, 110.00 ,29891038,พืชอุดม,บริษัท ธีภพ กรุ๊ป จำกัด,10,75,3-105-68/59ปท,บริษัท ธีภพ กรุ๊ป จำกัด, 110.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 4,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,คลองสี่ ตะวันออก.24,-10130209625626-,8,12120,ปทุมธานี,5,เลขที่ โฉนดที่ดินเลขที่ 28169, 192.00 ,,คลองสี่,บริษัท เอ็มบีพี คอร์ปอเรชั่น จำกัด,5,76,3-105-69/62ปท,บริษัท เอ็มบีพี คอร์ปอเรชั่น จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 16,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130030525649-,32,12120,ปทุมธานี,12,เลขที่ 9/9, 161.00 ,,คลองสาม,บริษัท ต.ร่วมพัฒนา รีไซเคิล จำกัด,22,77,3-105-7/64ปท,บริษัท ต.ร่วมพัฒนา รีไซเคิล จำกัด, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 5,042,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองปทุมธานี,ติวานนท์,,-10130191725632-,15,12000,ปทุมธานี,5,เลขที่ 138 สวนอุตสาหกรรมบางกะดี, 129.00 ,,บางกะดี,บริษัท คันไซ เคมิคัล (ประเทศไทย) จำกัด,15,78,3-105-70/63ปท,บริษัท คันไซ เคมิคัล (ประเทศไทย) จำกัด, 129.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 10,000,000 ",ทำเชื้อเพลิงทดแทนหรือเชื้อเพลิงสังเคราะห์จากน้ำมันหล่อลื่นที่ใช้แล้ว ตัวทำละลายที่ใช้แล้ว และน้ำมันพืชที่ใช้แล้ว ซ่อมและล้างภาชนะบรรจุภัณฑ์ต่าง ๆ และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,บางชัน-หนองเสือ, -,-10130007125498-,51,12120,ปทุมธานี,7,เลขที่ 15/4, 51.50 ,,คลองห้า,บริษัท เอส.เค.เจ.เอ็นเตอร์ไพรส์ จำกัด,26,79,3-105-71/49ปท,บริษัท เอส.เค.เจ. เอ็นเตอร์ไพรส์ จำกัด, 51.50 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,25
" 5,680,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองเสือ,,,-10130007125605-,10,12170,ปทุมธานี,6,เลขที่ โฉนดที่ดินเลขที่ 45640, 67.50 ,0 2001 3841,บึงบอน,บริษัท รวยต่อไป เก้า เก้า เก้า จำกัด,5,80,3-105-71/60ปท,บริษัท รวยต่อไป เก้า เก้า เก้า จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 8,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130140925655-,12,12120,ปทุมธานี,11,เลขที่ โฉนดที่ดินเลขที่ 211408, 98.00 ,854492336,คลองสาม,บริษัท มิตรไมตรี รีไซเคิล จำกัด,10,81,3-105-71/65ปท,บริษัท มิตรไมตรี รีไซเคิล จำกัด, 98.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,2
" 4,100,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย อัดเศษโลหะ เศษกระดาษ บดย่อยพลาสติก,คลองหลวง, -, -,-10130007225496-,15,12120,ปทุมธานี,9,เลขที่ 30/11, 95.00 ,,คลองสี่,บริษัท โอเค 760 จำกัด,4,82,3-105-72/49ปท,บริษัท โอเค 760 จำกัด, 95.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,11
" 5,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130007425591-,10,10240,ปทุมธานี,8,เลขที่ โฉนดที่ดินเลขที่ 13710, 125.00 ,081-3414486,คลองควาย,บริษัท จ.เกียรติเจริญกิจ อุตสาหกรรม จำกัด,5,83,3-105-74/59ปท,บริษัท จ.เกียรติเจริญกิจ อุตสาหกรรม จำกัด, 114.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 64,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130207525638-,10,12120,ปทุมธานี,12,เลขที่ โฉนดที่ดินเลขที่ 21926, 105.00 ,,คลองสาม,บริษัท ซัฟฟูล โกลบอล จำกัด,10,84,3-105-74/63ปท,บริษัท ซัฟฟูล โกลบอล จำกัด, 105.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 3,454,096,800 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130154925658-,8,12120,ปทุมธานี,3,เลขที่ 10, 390.00 ,25863000,คลองหนึ่ง,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด,4,85,3-105-74/65ปท,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด, 390.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 82,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ล้างขวดแก้ว บดล้างพลาสติกและอัดเศษโลหะ,ลาดหลุมแก้ว, -, -,-10130007525481-,50,12140,ปทุมธานี,5,เลขที่ 40," 1,935.00 ",,คูบางหลวง,บริษัท ปทุมรีไซเคิล จำกัด,20,86,3-105-75/48ปท,บริษัท ปทุมรีไซเคิล จำกัด," 1,935.00 ",ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,30
" 8,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยเศษพลาสติก,ลำลูกกา,,,-10130007525606-,10,12150,ปทุมธานี,1,เลขที่ 1/7, 115.00 ,,ลำไทร,นางสาวประภาพรรณ กิมยงค์,6,87,3-105-75/60ปท,นางสาวประภาพรรณ กิมยงค์, 115.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 12,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,ลำลูกกา,,-10130007725594-,8,12130,ปทุมธานี,18,เลขที่ 19/4, 157.52 ,,คูคต,บริษัท บานาน่า ชัวร์ จำกัด,5,88,3-105-77/59ปท,บริษัท บานาน่า ชัวร์ จำกัด,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 10,700,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นขยะอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,คลองหลวง,-,-,-10130100825549-,6,12120,ปทุมธานี,20,เลขที่ 101/117, 136.00 ,02 9099628,คลองหนึ่ง,บริษัท ดับเบิลยู.เอ็ม.อิคสปอร์ท 2010 (ประเทศไทย) จำกัด,3,89,3-105-8/54ปท,บริษัท ดับเบิลยู.เอ็ม.อิคสปอร์ท 2010 (ประเทศไทย) จำกัด, 140.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 21,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130000825607-,10,12120,ปทุมธานี,6,เลขที่ 9/4, 390.00 ,,คลองเจ็ด,บริษัท ฟ้าสยาม สตีล รีไซเคิ้ล เซ็นเตอร์ จำกัด,6,90,3-105-8/60ปท,บริษัท ฟ้าสยาม สตีล รีไซเคิ้ล เซ็นเตอร์ จำกัด, 390.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 37,000,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,นิมิตรใหม่,,-10130008025598-,15,12150,ปทุมธานี,17,เลขที่ 16/5, 70.00 ,02 9930 8801,ลำลูกกา,บริษัท 888 ไลอ้อน จำกัด,10,91,3-105-80/59ปท,บริษัท 888 ไลอ้อน จำกัด, 70.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 8,400,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,,,-10130008325592-,14,12160,ปทุมธานี,4,เลขที่ 35, 140.00 ,086-3057677,ท้ายเกาะ,บริษัท จรรยา ไซเคิล เทรน จำกัด,7,92,3-105-83/59ปท,บริษัท จรรยา ไซเคิล เทรน จำกัด, 140.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,7
" 7,900,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง,,,-10130008525613-,15,12120,ปทุมธานี,8,เลขที่ 95, 75.00 ,08 5802 2955,คลองเจ็ด,ห้างหุ้นส่วนจำกัด ก. ธนาทิพย์,10,93,3-105-85/61ปท,ห้างหุ้นส่วนจำกัด ก. ธนาทิพย์,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,5
" 46,450,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองแดง ทองเหลือง อลูมิเนียม เหล็ก สแตนเลส เป็นต้น,คลองหลวง,พหลโยธิน,-,-10130008925532-,10,12120,ปทุมธานี,11,เลขที่ 75/87, 130.00 ,0 2908 1850-1,คลองหนึ่ง,บริษัท ฟูเกน (ประเทศไทย) จำกัด,6,94,3-105-89/53ปท,บริษัท ฟูเกน (ประเทศไทย) จำกัด, 130.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 6,050,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองปทุมธานี,บางกะดีสายใน,,-10130009325617-,10,12000,ปทุมธานี,1,"เลขที่ โฉนดที่ดินเลขที่ 55927,55928", 88.00 ,08 9478 8874,บางกะดี,ห้างหุ้นส่วนจำกัด วี แอนด์ เอ เซอร์วิส,6,95,3-105-93/61ปท,ห้างหุ้นส่วนจำกัด วี แอนด์ เอ เซอร์วิส, 88.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,4
" 850,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง, -,11/7 (ซอยนำชัย),-10130009525497-,50,12120,ปทุมธานี,11,เลขที่ 18/16, -   ,,คลองสาม,บริษัท ชัยยะ นารา จำกัด,40,96,3-105-95/49ปท,บริษัท ชัยยะ นารา จำกัด, -   ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,10
" 2,100,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย บดพลาสติกและผลิตอิฐบล็อคปูพื้น โดยใช้ทรายจากแบบหล่อโลหะ,หนองเสือ,เลียบคลอง 11, -,-10130009625495-,18,12170,ปทุมธานี,8,เลขที่ 88, 130.00 ,086 3755975,นพรัตน์,นางสาวปรารถนา ทุ่งลาด,18,97,3-105-96/49ปท,นางสาวปรารถนา ทุ่งลาด, 130.00 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,0
" 16,500,000 ",คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ธัญบุรี,,,-10130009825590-,10,10510,ปทุมธานี,3,"เลขที่ โฉนดแลขที่ 47386,39098,48393,48394", 180.00 ,,ลำผักกูด,นางสาววลัชณัฏฐ์ อัคริมาสุปวีณ์,7,98,3-105-98/59ปท,นางสาวลัชณัฏฐ์ อัคริมาสุปวีณ์,,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
" 2,090,000 ",คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหลวง, -,19,-10130009925499-,10,12120,ปทุมธานี,4,เลขที่ 22/9, 94.42 ,02 9886329,คลองสี่,บริษัท สยาม เอ็นไวรอนเม้นท์ สแค็พส์ จำกัด,7,99,3-105-99/49ปท,บริษัท สยาม เอ็นไวรอนเม้นท์ สแค็พส์ จำกัด, 94.42 ,ผู้ประกอบการคัดแยกวัสดุที่ไม่ใช้แล้ว,3
