ประกอบกิจการ,คนงานหญิง,หมู่,ถนน,TSIC,เงินทุนรวม,เลขทะเบียนเดิม,โทรศัพท์,FID,factype,GPS_lng,_id,ลำดับ,แรงม้า,อนุญาต,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,สิ้นอายุ,จังหวัด,คนงานรวม,ไปรษณีย์
ผลิตแท็งค์สเตนเลส,0,8,บางบัวทอง-สุพรรณบุรี,25949,67144000,3-64(1)-1/38นบ,"59,461,865,946,167",-10120300125386-,3,,212,212,1391.95,21/06/1452,บริษัท เลอศักดิ์สเตนเลส (ประเทศไทย) จำกัด,ละหาร,100.3905167,,บางบัวทอง,เลขที่ 52/7,84,13.97725,นนทบุรี,84,11110
"ผลิตถังอัดลมถังน้ำได้ปีละ1,800ใบ ผลิตส่วนประกอบเครื่องสูบน้ำ เช่น ถังอัดลม ถังน้ำแรงดัน แท่นเครื่องพร้อมมอเตอร์หรือเครื่องยนต์ เป็นต้น และซ่อมแซมเครื่องสูบน้ำ",5,9,ตลิ่งชัน-สุพรรณบุรี,25949,11000000,3-64(1)-1/39นบ,,-10120000125397-,3,,213,213,573.4,18/12/1453,บริษัท ซ.วุฒิการช่าง (1996) จำกัด,ละหาร,100.43395,,บางบัวทอง,เลขที่ 41/8,53,13.9534,นนทบุรี,58,11110
ทำแม่พิมพ์พลาสติกชนิดฉีดและรับจ้างฉีดชิ้นงานพลาสติก,55,,แจ้งวัฒนะ,25922,30000000,3-64(13)-1/36นบ,5838894,-10120200125361-,3,,214,214,1771.42,28/04/1450,บริษัท พรีซิชั่น อินเตอร์พลาส จำกัด,ปากเกร็ด,100.51135,พี.ไอ.ซี.,ปากเกร็ด,เลขที่ 56/39,25,13.90698333,นนทบุรี,80,11120
กลึง กัด ไสโลหะ,1200000,2,แจ้งวัฒนะ,126000000000,,3-64(13)-2/34นบ,,-10120100225345-,,22/03/1448,215,215,7,320,บริษัท พรปิยะ แมชชีนเนอรี่ จำกัด,บางตลาด,03/12/1450,แจ้งวัฒนะ 28 (ต้นแทน),ปากเกร็ด,เลขที่ 49/143-146,500000,1,นนทบุรี,200000,
"การทำหรือซ่อมแซมแบบ (punch/dies), เครื่องช่วยจับ (jigs/fixture), แม่พิมพ์ในการตัดและปั้มขึ้นรูปโลหะทุกชนิด และการดัดแปลงหรือการซ่อมแซมเครื่องกลึง, เครื่องคว้าน, เครื่องตัด, เครื่องเจาะ, เครื่องกัด, เครื่องเจียน, เครื่องไส",20,9,บางใหญ่-บางคูลัด,25922,1036000000,3-64(13)-3/64นบ,,-10120174125645-,3,100.404728,216,216,979.75,19/02/1478,บริษัท ซี.ซี.เอส. แอดวานซ์ เทค จำกัด,บางม่วง,13.843841,กันตนา,บางใหญ่,เลขที่ 54/12,59,,นนทบุรี,79,11140
ทำกุญแจ กลอนประตูและบานพับ,55,6,นนทบุรี 1,25910,2700000,3-64(2)-1/15นบ,5250102,-10120200125155-,3,,217,217,343.04,08/03/1450,บริษัท ไชยอิค่อน จำกัด,บางกระสอ,100.4822667,,เมืองนนทบุรี,เลขที่ 206/3,30,13.86475,นนทบุรี,85,11000
ทำช้อนชามจานกะละมังและปิ่นโต,35300000,,นนทบุรี ,126000000000,,3-64(2)-2/15นบ,,-10120000225155-,,18/01/1429,218,218,70,1184,บริษัท ทองเอก (1971) จำกัด,บางกระสอ,09/04/1450,,เมืองนนทบุรี,เลขที่ 284,0,1,นนทบุรี,300000,
ผลิตสปริงสำหรับที่นอน,20000000,11,ไทรน้อย-ลาดบัวหลวง,136000000000,,3-64(6)-4/62นบ,,-10120110525627-,,01/07/1476,219,219,60,9723,บริษัท ซัน แอคมี่ จำกัด,ไทรใหญ่,01/05/1476,,ไทรน้อย,เลขที่ 111/2,0,1,นนทบุรี,30000000,
ทำเฟือง เพลา บู๊ช ต่าง ๆ,300000,4,บางกรวย-ไทยน้อย,126000000000,,3-64(9)-2/30นบ,,-10120100225303-,,09/12/1444,220,220,23,937,บริษัท ศรีพัฒนา แมชชีนเนอรี่ จำกัด,บางกร่าง,30/03/1450,เพิ่มสุข,เมืองนนทบุรี,เลขที่ 15/42,3000000,1,นนทบุรี,0,
ซ่อมเครื่องยนต์,0,4,,28110,392500,3-65-1/32นบ,02-4246467,-10120600125326-,3,,221,221,83.5,30/12/1451,เจริญยนต์,มหาสวัสดิ์,100.4556167,,บางกรวย,เลขที่ 19/1,6,13.80086667,นนทบุรี,6,11130
ซ่อมอุปกรณ์ของเครื่องเลื่อยไม้และทำโครงเหล็กเสาอากาศวิทยุ,0,1,บางกรวย-ไทรน้อย,124000000000,,3-67(1)-1/28นบ,,-10120400125286-,,17/05/1442,222,222,6,,ห้างหุ้นส่วนจำกัด อมรเมฆวัฒนา,บางกรวย,24/12/1450,,บางกรวย,เลขที่ 59/2,0,1,นนทบุรี,1500000,
ทำส่วนประกอบและอุปกรณ์สำหรับเครื่องจักรต่าง ๆ,5,2,ติวานนท์,28199,69000000,3-67(8)-1/26นบ,5896393,-10120300125261-,3,,223,223,461.1,09/11/1451,บริษัท เอ็มดีชีท จำกัด,ท่าทราย,100.5185833,ธรรมนูญ 2,เมืองนนทบุรี,เลขที่ 149/3,10,13.88091667,นนทบุรี,15,11000
ผลิตและประกอบเครื่องจักรใช้ในการผลิตซีเมนต์กระดาษการทำเหมื,31382788.62,3,บางบัวทอง-สุพรรณบุรี,106000000000,,3-68-1/36นบ,,-10120300125360-,,28/05/1450,224,224,50,71556,บริษัท วีเหลี่ยม หว่อง กรุ๊ป จำกัด,ไทรใหญ่,07/06/1450,,ไทรน้อย,เลขที่ 35/1,88850209.72,1,นนทบุรี,69580318.5,
ผลิตน้ำมันพืช น้ำมันสำหรับประกอบอาหารและผลพลอยได้ ทำอาหารสัตว์จากกากถั่วเหลือง,70,3,ติวานนท์,10491,2402557453,3-7(1)-1/15นบ,5884147,-10120000125157-,3,,225,225,33727.62,17/06/1423,บริษัท เอสดี กัทธรี อินเตอร์เนชั่นแนล นนทบุรี จำกัด,บ้านใหม่,100.5378833,-,ปากเกร็ด,เลขที่ 39/6,173,13.94601667,นนทบุรี,243,11120
ผลิตน้ำมันรำ(ดิบ)น้ำมันจากเมล็ดฝ้าย บรรจุน้ำมันและปรับปรุงคุณภาพข้าวสาร,92980000,3,ตัดใหม่,106000000000,,3-7(1)-1/21นบ,,-10120000125215-,,18/10/1435,226,226,10,30500,บริษัท กสิสุรีย์ จำกัด,บ้านใหม่,19/03/1450,,ปากเกร็ด,"เลขที่ 71,78/1",0,1,นนทบุรี,150000000,
ผลิตกะทิบรรจุถุงพลาสติกและกระป๋อง อาหารหรือเครื่องดื่มจากผักหรือผลไม้บรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,10000000,5,มหาสวัสดิ์,126000000000,,3-7(1)-1/22นบ,,-10120000125223-,,27/02/1436,227,227,167,8488,บริษัท ผลิตภัณฑ์อาหาร เชฟช้อย จำกัด,มหาสวัสดิ์,08/03/1451,,บางกรวย,เลขที่ 99/9,5000000,1,นนทบุรี,4500000,
ผลิตเครื่องปรับอากาศและชิ้นส่วนอุปกรณ์เครื่องทำความเย็นทุ,0,2,งามวงศ์วาน,106000000000,,3-70-1/17นบ,,-10120200125171-,,28/02/1431,228,228,200,2600,บริษัท ไคเมท เทคโนโลยี ดีเวลลอปเม้นท์ จำกัด,บางเขน,02/08/1452,พงษ์เพชร 7,เมืองนนทบุรี,เลขที่ 11/12-13,0,1,นนทบุรี,0,
ทำเครื่องสูบน้ำ และอุปกรณ์เครื่องจักรที่ใชในการกสิกรรม,1500000,13,ปิ่นเกล้า-บางบัวทอง,124000000000,,3-70-1/35นบ,,-10120600125359-,,02/11/1450,229,229,7,4800,ห้างหุ้นส่วนจำกัด สหพัฒนา (1992),บางม่วง,06/12/1450,,บางใหญ่,เลขที่ 76/17,0,1,นนทบุรี,500000,
ผลิตเครื่องปรับอากาศและชิ้นส่วนของเครื่องปรับอากาศ,100000000,9,งามวงศ์วาน,106000000000,,3-70-1/41นบ,,-10120200125411-,,04/12/1455,230,230,100,4800,บริษัท ซัยโจ เด็นกิ อินเตอร์เนชั่นแนล จำกัด,บางเขน,21/10/1455,ทิมแลนด์,เมืองนนทบุรี,"เลขที่ 26/4,26/5",50000000,1,นนทบุรี,20000000,
ทำชิ้นส่วนอุปกรณ์อะไหล่เครื่องปั๊มน้ำ และอะไหล่โรงเลื่อย,300000,5,เทิดพระเกียรติ,3100000000000,,3-70-2/30นบ,,-10120200225302-,,28/08/1444,231,231,3,177,ศ. การช่าง,วัดชลอ,28/08/1444,,บางกรวย,เลขที่ 29/4,300000,1,นนทบุรี,100000,
ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า มอเตอร์ไฟฟ้า ปั๊มน้ำ เครื่องซักผ้า แม่พิมพ์อุปกรณ์นำเจาะและจับยึด กระทะไฟฟ้า กระติกน้ำร้อน เตาไมโครเวฟ และเครื่องล้างจาน รวมทั้งชิ้นส่วน อะไหล่ และอุปกรณ์ของสินค้าดังกล่าวข้างต้น,52000000,2,ติวานนท์,,,3-71-1/14นบ,,-10120000125140-,,05/07/1428,232,232,1041,53603,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,ท่าทราย,24/12/1450,,เมืองนนทบุรี,เลขที่ 129/1-3,80000000,1,นนทบุรี,100000000,
ผลิตมอเตอร์ไฟฟ้าและพัดลม,4000000,1,บางกรวย-ไทรน้อย,106000000000,,3-71-1/23นบ,,-10120500125236-,,19/02/1437,233,233,23,2495,บริษัท ฟูซันอินดัสเตรียล จำกัด,บางกรวย,04/07/1451,,บางกรวย,เลขที่ 72/1,0,1,นนทบุรี,3000000,
ผลิตและประกอบชิ้นส่วนอุปกรณ์เครื่องปรับอากาศ,14603054,,นนทบุรี ,126000000000,,3-71-1/28นบ,,-10120500125285-,,02/09/1442,234,234,58,5000,บริษัท พี.เอส.เอ.อินเตอร์-คูลลิ่ง จำกัด,สวนใหญ่,13/12/1450,,เมืองนนทบุรี,เลขที่ 64,0,1,นนทบุรี,4000000,
ประกอบพัดลม และประกอบเครื่องปรับอากาศ,7738704,1,บางกรวย,106000000000,,3-71-2/17นบ,,-10120100225170-,,23/12/1431,235,235,50,4328,บริษัท ฟูซันอินดัสเตรียล จำกัด,บางกรวย,05/01/1452,,บางกรวย,เลขที่ 71,927500,1,นนทบุรี,18189520,
ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า ฯลฯ,0,2,ติวานนท์,106000000000,,3-71-7/50นบ,,-10120000725501-,,05/07/1464,236,236,80,9004,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,ท่าทราย,09/03/1464,,เมืองนนทบุรี,เลขที่ 129/5,0,1,นนทบุรี,0,
ผลิตพัดลม ตู้เย็น เครื่องรับโทรทัศน์ หม้อหุงข้าวไฟฟ้า ฯลฯ,0,2,ติวานนท์,106000000000,,3-71-8/50นบ,,-10120000825509-,,05/07/1464,237,237,222,0,บริษัท ไทยโตชิบาอุตสาหกรรม จำกัด,ท่าทราย,09/03/1464,,เมืองนนทบุรี,เลขที่ 129/4,0,1,นนทบุรี,0,
ประกอบดอกลำโพง และเครื่องเสียง,1000000,11,บางบัวทอง-ไทรน้อย,126000000000,,3-72-1/34นบ,,-10120300125345-,,03/12/1448,238,238,22,5200,บริษัท เอสเอ็น อี เล็คทริค กรุ๊ป อินดัสเตรียล จำกัด,บางบัวทอง,16/03/1451,,บางบัวทอง,เลขที่ 79/1,2000000,1,นนทบุรี,300000,
ประกอบ ดัดแปลง เปลี่ยนแปลงสภาพ รวมทั้งทำชิ้นส่วนพิเศษ หรืออุปกรณ์สำหรับรถยนต์ เช่น รถดับเพลิง รถกู้ภัย รถไฟฟ้าส่องสว่าง รถยนต์บรรทุกน้ำ รถยนต์บรรทุกขยะมูลฝอย รถกวาดถนนและดูดฝุ่น รถสูบสิ่งปฏิกูล รถสื่อสารดาวเทียม รถยนต์โดยสาร จำนวนตั้งแต่ 10 ที่นั่งขึ้นไป และรถยนต์อื่นๆ,2000000,2,กรุงนนท์,126000000000,,3-77(1)-1/32นบ,,-10120700125325-,,30/01/1446,239,239,10,9156,บริษัท คราฟท์ จำกัด,มหาสวัสดิ์,23/01/1452,จงถนอม,บางกรวย,เลขที่ 62/1,10000000,1,นนทบุรี,11000000,
ผลิตและประกอบจานครัชรถยนต์,500000,7,บางบัวทอง-สุพรรณบุรี,106000000000,,3-77(2)-1/33นบ,,-10120300125337-,,16/01/1447,240,240,61,35200,บริษัท อรรถบูรณ์ จำกัด,ละหาร,02/04/1450,,บางบัวทอง,เลขที่ 74/3,4000000,1,นนทบุรี,400000,
ผลิตและประกอบจานคลัทช์รถยนต์,20179283,7,บางบัวทอง-สุพรรณบุรี,126000000000,,3-77(2)-1/34นบ,,-10120400125344-,,17/07/1448,241,241,20,17928,บริษัท วายซีเค (ประเทศไทย) จำกัด,ละหาร,10/03/1451,,บางบัวทอง,เลขที่ 74/4,32400000,1,นนทบุรี,10198295,
ผลิตชิ้นส่วนยานยนต์ ประเภทล้ออลูมิเนียม,146420000,2,ทางหลวง 340 (สุพรรณบุรี),126000000000,,3-77(2)-1/45นบ,,-10120300125451-,,06/10/1461,242,242,130,14636,บริษัท สแตมฟอร์ด สปอร์ต วีลส์ จำกัด,ไทรใหญ่,28/10/1459,,ไทรน้อย,เลขที่ 111/2,27000000,1,นนทบุรี,79000000,
ผลิตและประกอบชิ้นส่วนตัวถังรถบรรทุก,40,9,บางบัวทอง-สุพรรณบุรี,29309,11300000,3-77(2)-2/32นบ,9256464,-10120400225326-,3,,243,243,1052.46,02/06/1452,บริษัท เอส.เอส.เอส.ออโตโมทีฟ อินดัสตรี จำกัด,ละหาร,100.4063833,-,บางบัวทอง,เลขที่ 40/4,53,13.95576667,นนทบุรี,93,11110
ผลิตอุปกรณ์รถยนต์ และเครื่องใช้จากพลาสติก,47,4,บางกรวย-บางบัวทอง,29309,13475300,3-77(2)-2/34นบ,02-2398660,-10120200225344-,3,,244,244,433.54,17/02/1451,บริษัท เอส.ซี.ซี.อุตสาหกรรม จำกัด,บางสีทอง,100.4778333,,บางกรวย,เลขที่ 99/3,28,13.8287,นนทบุรี,75,11130
ผลิตวาล์วล้อรถทุกชนิด เช่น รถยนต์ รถจักรยานยนต์,75,4,ฤชุพันธ์,29309,68000000,3-77(2)-2/48นบ,0 2526 5640,-10120100225485-,3,,245,245,1319.08,14/01/1462,บริษัท ซันเชียน (ประเทศไทย) จำกัด,ไทรใหญ่,100.3090667,-,ไทรน้อย,เลขที่ 26/10,34,14.13085,นนทบุรี,109,11150
ผลิตชิ้นส่วนยานยนต์ ประเภทล้ออลูมิเนียม,480000000,2,บางบัวทอง-สุพรรณบุรี,106000000000,,3-77(2)-48/48นบ,,-10120104825488-,,14/12/1466,246,246,364,15244,บริษัท สแตมฟอร์ด สปอร์ต วีลส์ จำกัด,ไทรใหญ่,27/10/1462,    -,ไทรน้อย,"เลขที่ 111/8,111/9",600000000,1,นนทบุรี,184000000,
ผลิตชิ้นส่วนอุปกรณ์รถจักรยานยนต์รถยนต์,1000000,3,ฤชุพันธ์,736000000000,,3-78(2)-1/40นบ,,-10120500125400-,,30/12/1456,247,247,17,11400,บริษัท เฮอร์เซงเอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,ไทรใหญ่,12/09/1454,,ไทรน้อย,เลขที่ 64/9,10000000,1,นนทบุรี,1000000,
ผลิตน้ำผลไม้ และเครื่องดื่มที่ไม่มีแอลกอฮอล์,17,2,ทางหลวงหมายเลข 345,10302,14285000,3-8(1)-1/46นบ,0-2904-3150,-10120000125462-,3,,248,248,742.74,09/05/1460,บริษัท เคทูเจ มาร์เก็ตติ้ง จำกัด,ลำโพ,100.43515, -,บางบัวทอง,เลขที่ 29/6,20,13.95161667,นนทบุรี,37,11110
"ทำเครื่องดื่มจากผลไม้บรรจุขวดปิดผนึก,น้ำอัดลมก",5000000,11,สายบ้านบางไทร-บ้านคลองตาซ้อน,126000000000,,3-8(1)-10/54นบ,,-10120001025547-,,14/09/1468,249,249,17,22024,บริษัท ซันชายเจริญ อินเตอร์ฟู๊ด จำกัด,บางแม่นาง,30/06/1468,-,บางใหญ่,เลขที่ 9/9,10000000,1,นนทบุรี,1000000,
ทำน้ำผลไม้ น้ำดื่มบรรจุภาชนะและปิดผนึก ทำขนมจากถั่วลิสงและแป้ง,5000000,5,กาญจนาภิเษก,126000000000,,3-8(1)-11/54นบ,,-10120001125545-,,29/09/1468,250,250,20,17508,บริษัท ทวีผล 1976 จำกัด,ละหาร,01/07/1468,-,บางบัวทอง,เลขที่ 9/6,50000000,1,นนทบุรี,30000000,
ทำอาหารจากผัก พืช ผลไม้บรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,10000000,5,บางใหญ่-บางคูลัด (กันตนา),126000000000,,3-8(1)-14/55นบ,,-10120001425556-,,,251,251,8,8043,บริษัท ฉลอง จำกัด,บางใหญ่,31/10/1469,เทศบาลบางใหญ่11,บางใหญ่,เลขที่ 55/5,10000000,0,นนทบุรี,10000000,
"การถนอม พืช ผัก ผลไม้ โดยวิธีดอง, ผลิตเครื่องแกง, เครื่องแกงสำเร็จรูป เช่น เครื่องต้มยำ, เครื่องต้มข่า, เครื่องผัดไทยพร้อมปรุง, เครื่องประกอบอาหารต่างๆ , อาหารสำเร็จรูป และอาหารกึ่งสำเร็จรูป",51,7,บางรักใหญ่-บ้านใหม่,10304,286911846,3-8(2)-2/67นบ,024497865-7,-10120034025670-,3,100.3076,252,252,1099.08,02/03/1481,บริษัท เพ็นต้า อิมเพ็กซ์ จำกัด,บ้านใหม่,13.866434,,บางใหญ่,เลขที่ 95/1,33,,นนทบุรี,84,11140
"เจียรนัยเลนส์แว่นตาได้ปีละ1,080,000แผ่น",80,5,บางบัวทอง-สุพรรณบุรี,26701,89000000,3-82-1/39นบ,588-4653,-10120100125396-,3,,253,253,592.48,18/12/1453,บริษัท อุตสาหกรรมแว่นตาไทย จำกัด,ละหาร,100.4028167,,บางบัวทอง,เลขที่ 61/2,80,13.96116667,นนทบุรี,160,11110
ผลิตเครื่องใช้ในการกีฬา เช่น ลูกเทนนิส,85000000,6,บางบัวทอง-สุพรรณบุรี,106000000000,,3-86-5/54นบ,,-10120000525547-,,05/06/1469,254,254,122,29832,บริษัท เอเชีย สปอร์ต จำกัด,ไทรใหญ่,03/08/1468,,ไทรน้อย,เลขที่ 19/9,70000000,1,นนทบุรี,30000000,
ทำเครื่องประดับเทียมเช่นสร้อยเข็มกลัดหัวเข็มขัด,12000000,7,บางบัวทอง-สุพรรณบุรี,126000000000,,3-87(3)-1/39นบ,,-10120200125395-,,31/03/1452,255,255,106,16184,บริษัท เช็งฮวด แมนนูแฟคเจอริ่ง จำกัด,ละหาร,20/06/1453,,บางบัวทอง,เลขที่ 97/3,4000000,1,นนทบุรี,3000000,
โรงงานพลังงานแสงอาทิตย์ กำลังการผลิต 0.95 เมกะวัตต์,53500000,8,,106000000000,,3-88(1)-10/60นบ,,-40120001025608-,โซลาเซลล์,25/08/1474,256,256,2,24000,บริษัท ซีอาร์ โซล่าร์ จำกัด,ไทรใหญ่,29/06/1474,,ไทรน้อย,เลขที่ 20/9,0,1,นนทบุรี,10000000,
"ผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ (แบบติดตั้งบนพื้นดินของบริษัท) ขนาดกำลังการผลิต 1,195.56 kWp",20000000,2,บางบัวทอง-สุพรรณบุรี,106000000000,,3-88(1)-10/65นบ,,-40120065325654-,,02/06/1479,257,257,1,21600,บริษัท บีแอลอี 101 (ประเทศไทย) จำกัด (ติดตั้งบนพื้นดินของบริษัท ไทยเอเชีย แปซิฟิค บริวเวอรี่ จำกัด),ไทรใหญ่,18/04/1479,,ไทรน้อย,เลขที่ 111,50000000,1,นนทบุรี,30000000,
ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 1.09 เมกะวัตต์,50000000,8,,866000000000,,3-88(1)-126/59นบ,,-40120012625594-,โซลาเซลล์,29/08/1474,258,258,12,28284,บริษัท พัฒนธุรกิจ จำกัด,หนองเพรางาย,22/12/1473,,ไทรน้อย,เลขที่ ,100000,1,นนทบุรี,5000000,
ผลิตพลังงานไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 3.25 เมกะวัตต์,50000000,8,,866000000000,,3-88(1)-127/59นบ,,-40120012725592-,โซลาเซลล์,29/08/1474,259,259,12,12711,บริษัท พัฒนธุรกิจ จำกัด,หนองเพรางาย,22/12/1473,,ไทรน้อย,เลขที่ ,0,1,นนทบุรี,5000000,
ผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ กำลังการผลิต 3.55 เมกะวัตต์,141482000,,,108000000000,,3-88(1)-132/59นบ,,-40120013225592-,โซลาเซลล์,31/01/1474,260,260,3,54376,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),ละหาร,24/12/1473,,บางบัวทอง,"เลขที่ โฉนดที่ดินเลขที่ 20956,1623,91203,91484,91485,91486,20955",21550000,1,นนทบุรี,5000000,
ผลิตพลังงานไฟฟ้าจากพลังงานแสงอาทิตย์ กำลังการผลิต 30.16 กิโลวัตต์,9610700,9,,994000000000,,3-88(1)-144/56นบ,,-40120014425563-,โซลาเซลล์,09/05/1473,261,261,1,8008,สำนักงานเทศบาลนครนนทบุรี,บางกระสอ,12/11/1470,,เมืองนนทบุรี,เลขที่ 69/13,0,1,นนทบุรี,0,
ผลิตไฟฟ้าจากเซลล์แสงอาทิตย์ กำลังการผลิต 5 เมกกะวัตต์,109510000,10,,108000000000,,3-88(1)-33/61นบ,,-40120003325618-,โซลาเซลล์,14/12/1475,262,262,8,80000,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),ไทรใหญ่,04/07/1475,,ไทรน้อย,เลขที่ โฉนดเลขที่ 8389,78700000,1,นนทบุรี,1000000,
ผลิตพลังงานไฟฟ้าจากขยะมูลฝอยชุมชน ขนาดกำลังการผลิต 20 เมกะวัตต์,4236820000,2,,106000000000,,3-88(2)-10/66นบ,,-40120209425667-,,,263,263,0,0,โครงการผลิตพลังงานไฟฟ้าจากขยะมูลฝอย จังหวัดนนทบุรี ขององค์การบริหารส่วนจังหวัดนนทบุรี,คลองขวาง,13/12/1480,,ไทรน้อย,"เลขที่ โฉนดเลขที่ 29029,29030,29031,29032,8424,8425,8426,8427",50000000,0,นนทบุรี,30000000,
"ผลิตและจำหน่ายกระแสไฟฟ้า (โรงไฟฟ้าพลังงานความร้อนจากเชื้อเพลิงขยะ) ขนาดกำลังผลิตไฟฟ้า 9,500 กิโลวัตต์ (9.5 เมกะวัตต์)",2,2,บางกรวย-ไทรน้อย,35101,853000000,3-88(2)-13/59นบ,,-40120001325594-,3,100.3261527,264,264,51736.5,08/04/1473,บริษัท สยาม พาวเวอร์ จำกัด,คลองขวาง,14.00653497,,ไทรน้อย,เลขที่ 99,30,,นนทบุรี,32,10500
ผลิตพลังงานไฟฟ้าจากเชื้อเพลิงก๊าซธรรมชาติ ขนาดกำลังการผลิต 878.77 เมกะวัตต์,20,2,จรัญสนิทวงศ์,35101,14895903151,3-88(2)-143/56นบ,,-40120014325565-,3,,265,265,1944151.22,12/11/1470,โรงไฟฟ้าพระนครเหนือ ชุดที่ 2,บางกรวย,,,บางกรวย,เลขที่ 53,59,,นนทบุรี,79,11130
ผลิตพลังงานไฟฟ้าจากก๊าซชีวภาพจากขยะชุมชน ขนาดกำลังการผลิต 4.5 เมกะวัตต์,339000000,8,,346000000000,,3-88(2)-19/60นบ,,-40120001925609-,ขยะชุมชน,09/04/1477,266,266,10,80000,บริษัท บุญ เอนเนอร์ซิส จำกัด,คลองขวาง,03/08/1474,,ไทรน้อย,เลขที่ 59,0,1,นนทบุรี,30000000,
ผลิตพลังงานไฟฟ้า,0,2,จรัญสนิทวงศ์,35101,244349819,3-88(2)-28/52นบ,02-4360248,-10120002825523-,3,,267,267,1104081,07/10/1466,โรงไฟฟ้าพระนครเหนือ,บางกรวย,100.5097243,,บางกรวย,เลขที่ 53,0,13.81249186,นนทบุรี,0,11130
สีข้าวกำลังสีสูงสุดของร้านสีข้าว100เกวียน/วันขัดและคัดเมล็ดข้าว336ตัน/วัน,6000000,6,นนทบุรี,106000000000,,3-9(1)-1/18นบ,,-10120000125181-,,07/02/1432,268,268,32,23520,บริษัท บางซื่อโรงสีไฟเจียเม้ง จำกัด,บางกระสอ,23/03/1450,-,เมืองนนทบุรี,เลขที่ 7,35000000,1,นนทบุรี,10000000,
สีข้าว(กำลังสีสูงสุดของร้านสีข้าว180เกวียน/วัน) สีข้าวนึ่ง (กำลังสีสูงสุดของร้านสีข้าว150เกวียน/วัน) อบข้าวเปลือก (กำลังสีสูงสุดของร้านสีข้าว300เกวียน/วัน),20000000,7,,124000000000,,3-9(1)-1/30นบ,,-10120000125306-,,06/03/1444,269,269,7,12000,ห้างหุ้นส่วนจำกัด โรงสีขุนศรี,ขุนศรี,02/03/1450,,ไทรน้อย,เลขที่ 15,0,1,นนทบุรี,20000000,
สีฝัดหรือขัดข้าวแลอบข้าวเปลือก,0,3,,10611,9500000,3-9(1)-1/40นบ,9855258,-10120000125405-,3,,270,270,5619.92,02/05/1454,บริษัท โรงสีเจริญธัญญาทรัพย์ จำกัด,ราษฎร์นิยม,100.3118167,ฤชุพันธ์,ไทรน้อย,เลขที่ 39/6,7,14.10686667,นนทบุรี,7,11150
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 20 เกวียน/วัน,0,5,,3120000000000,,3-9(1)-15/15นบ,,-10120001525157-,,09/01/1429,271,271,4,4800,โรงสีไฟตั้งซุ่นหลี,บางรักใหญ่,08/03/1450,,บางบัวทอง,เลขที่ 9,0,1,นนทบุรี,1500000,
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 200 เกวียน/วัน,15000000,1,บางกรวย-ไทรน้อย,124000000000,,3-9(1)-2/31นบ,,-10120000225312-,,03/08/1445,272,272,6,16000,ห้างหุ้นส่วนจำกัด โรงสีไฟไทยเจริญทวีกิจ,คลองขวาง,21/03/1451,-,ไทรน้อย,เลขที่ 29/3,900000,1,นนทบุรี,20000000,
คัดคุณภาพและแบ่งบรรจุข้าวนึ่ง,5,3,ตัดใหม่,10611,432980000,3-9(1)-2/33นบ,02-5842298-9,-10120000225338-,3,,273,273,7427.03,16/03/1450,บริษัท โอแลม (ประเทศไทย)จำกัด,บ้านใหม่,100.5367833,-,ปากเกร็ด,เลขที่ 71,32,13.94576667,นนทบุรี,37,11120
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 600 เกวียน/วัน,5000000,1,-,124000000000,,3-9(1)-4/30นบ,,-10120000425300-,,28/08/1444,274,274,12,16728,ห้างหุ้นส่วนจำกัด โรงสีศรีพัฒนาพาณิชย์,ขุนศรี,23/03/1450,-,ไทรน้อย,เลขที่ 55,0,1,นนทบุรี,1000000,
ขัดข้าว,30000000,4,บางใหญ่-บางคูลัด(กันตนา),106000000000,,3-9(1)-80/52นบ,,-10120008025524-,,14/03/1468,275,275,21,6400,บริษัท โกลเด้นเกรน เอ็นเตอร์ไพรส์ จำกัด,บางม่วง,09/12/1466,-,บางใหญ่,เลขที่ 60,7000000,1,นนทบุรี,5000000,
