_id,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,ที่อยู่,จังหวัด,TSIC,รหัสประเภท
106,ดอนตาลคอนกรีต,08 1392 3070,ผลิตคอนกรีตผสมเสร็จ,2564,ดอนตาล,ดอนตาล,เลขที่ 299 หมู่ 7,มุกดาหาร,23953,5801
107,ห้างหุ้นส่วนจำกัด ป่งแดงการช่าง,08 2484 3670,ทำผลิตภัณฑ์คอนกรีต,2564,หนองแวง,นิคมคำสร้อย,เลขที่ 119 หมู่ 4,มุกดาหาร,23953,5801
108,บริษัท สามน้ำวิศวกรรม จำกัด,09 3424 1117,ผลิตคอนกรีตผสมเสร็จ,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 344 หมู่ 6 ถนนสายบ้านด่านคำ-หนองหอย,มุกดาหาร,23953,5801
109,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,08 5495 2186,ผลิตคอนกรีตผสมเสร็จ,2564,กุดแข้,เมืองมุกดาหาร,เลขที่ 151 หมู่ 1,มุกดาหาร,23953,5801
110,ปาโก้เมทัลชีท,,ผลิตแผ่นหลังคาเหล็ก,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 88/2 ถนนชยางกูร,มุกดาหาร,25111,6302
111,มีชัยการช่าง,,กลึงและเชื่อมโลหะ,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 301 ถนนชยางกูร ข.,มุกดาหาร,25922,6413
112,บริษัท มุกดาหาร ฮอนด้าคาร์ส จำกัด,,ซ่อมรถยนต์,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 42-42/1 ถนนชยางกูร ข,มุกดาหาร,28110,6500
113,ห้างหุ้นส่วนจำกัด ท่าทรายศรีเผย มุกดาหาร,0 4267 4225-6,ซ่อม และต่อเรือดูดทราย,2564,ป่งขาม,หว้านใหญ่,เลขที่ 160 หมู่ 10,มุกดาหาร,33151,7501
114,เจริญศิลป์,,ทำโครงหลังคา และเบาะรถยนต์,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 24/2 ถนนแก่นสำโรง,มุกดาหาร,29309,7702
115,มหาชัยวาริน (สาขามุกดาหาร),08 1320 8218,โรงงานห้องเย็น,2564,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 109/62,มุกดาหาร,52101,9200
116,บริษัท ดีโฮมคอนกรีต มุกดาหาร จำกัด สาขา 1,09 5456 7168,ผลิตคอนกรีตผสมเสร็จ,2564,หนองเอี่ยน,คำชะอี,เลขที่ 7256 และ 7268,มุกดาหาร,23953,5801
117,ห้างหุ้นส่วนจำกัด สมบูรณ์ธารา,,โรงโม่ บด หรือย่อยหิน,2565,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 444  หมู่บ้านด่านคำ,มุกดาหาร,23961,301
118,ห้างหุ้นส่วนจำกัด ท่าทรายทรัพย์ทรายทอง 2001,,ดูดทราย,2565,นาสีนวน,เมืองมุกดาหาร,หมุ่ 7 หมู่บ้านนาแล,มุกดาหาร,8103,304
119,บริษัท วารีเทพ มุกดาหาร จำกัด,,ผลิตน้ำแข็ง,2565,บางทรายน้อย,หว้านใหญ่,เลขที่ 189 หมู่ 3,มุกดาหาร,10795,1400
120,บริษัท เสริมชัย คอมเมิร์ซ จำกัด,,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2565,โชคชัย,นิคมคำสร้อย,เลขที่ 144 หมู่ 9,มุกดาหาร,16299,3404
121,บริษัท มุกดาหาร วู๊ดชิพ จำกัด,,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2565,คำป่าหลาย,เมืองมุกดาหาร,เลขที่ 312 หมู่ 14,มุกดาหาร,16299,3404
122,ห้างหุ้นส่วนจำกัด เมืองทองทวีทรัพย์,,ผลิตแอสฟัลท์ติกคอนกรีต กำลังการผลิตสูงสุด 90 ตัน/ชม.,2565,ดงหลวง,ดงหลวง,เลขที่ 232 หมู่ 6 บ้านหนองขอนแก่น ถนนเปรมพัฒนา,มุกดาหาร,19209,5004
123,บริษัท กู๊ด บิวดิ้ง ดีไซน์ จำกัด,,ทำผลิตภัณฑ์คอนกรีตผสม,2565,บางทรายใหญ่,เมืองมุกดาหาร,,มุกดาหาร,23951,5801
124,บริษัท ป.วัสดุ มุกดาหาร จำกัด,,ทำผลิตภัณฑ์คอนกรีตผสม,2565,มุกดาหาร,เมืองมุกดาหาร,เลขที่ 797 หมู่ 6,มุกดาหาร,23951,5801
125,บริษัท หินสวย ทรายงาม จำกัด,,ซ่อมแซม และทาสีเรือกลลำน้ำ,2565,โพธิ์ไทร,ดอนตาล,เลขที่ 195 หมู่ 1 หมู่บ้านโพธิ์ไทร,มุกดาหาร,33151,7501
126,ห้างหุ้นส่วนจำกัด เอส บี คอนกรีต 1994,08 1548 2546,ผลิตคอนกรีตผสมเสร็จ,2565,หนองแวง,นิคมคำสร้อย,เลขที่ น.ส.3.ก. เลขที่ 842,มุกดาหาร,23953,5801
127,บริษัท กิมชุนไอซ์ ดอนตาล จำกัด,,ผลิตน้ำแข็งหลอดและน้ำดื่ม,2566,โพธิ์ไทร,ดอนตาล,เลขที่ 295 หมู่ 5,มุกดาหาร,10795,1400
128,บริษัท มหาอนันต์ วู๊ดชิพ จำกัด,08 5119 9945,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2566,กุดแข้,เมืองมุกดาหาร,เลขที่ 213 หมู่ 4,มุกดาหาร,16299,3404
129,บริษัท อิสาน ทิมเบอร์ จำกัด,,ผลิตชิ้นไม้สับที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี และไม้ยางพารา เพื่อจำหน่าย,2566,คำป่าหลาย,เมืองมุกดาหาร,,มุกดาหาร,16299,3404
130,บริษัท สุริยาขนส่งอุบล จำกัด,,ผลิตแอสฟัลท์ติกคอนกรีต,2566,หนองเอี่ยน,คำชะอี,,มุกดาหาร,19201,5004
131,ห้างหุ้นส่วนจำกัด เพชรรวมสาส์น มุกดาหาร,,ผลิตแอสฟัลท์ติกคอนกรีต,2566,หนองแวง,นิคมคำสร้อย,เลขที่ 281 หมู่ 1,มุกดาหาร,19201,5004
132,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,,ผลิตยางเครปและยางสับ,2566,บางทรายใหญ่,เมืองมุกดาหาร,หมู่ 10,มุกดาหาร,22191,5202
133,กลุ่มเกษตรกรทำสวนยางพาราบ้านหนองบอน,,ทำยางเครป,2566,นาสะเม็ง,ดอนตาล,เลขที่ 186 หมู่ 7,มุกดาหาร,22191,5203
134,นางสาวจารุณี เชื้อคำจันทร์,,ตากกากมันสำปะหลัง,2567,หนองแคน,ดงหลวง,เลขที่ 6605 หมู่ 4,มุกดาหาร,38300,10600
135,นางสาวนิสัย เชื้อคำจันทร์,08 7224 0150,ตากกากมันสำปะหลัง,2567,หนองแคน,ดงหลวง,"เลขที่ 3954, 11482, 11483 หมู่ 8",มุกดาหาร,38300,10600
136,ห้างหุ้นส่วนจำกัด ครอส ริเวอร์ โลจิสติกส์,,ผลิตแอสฟัลท์ติกคอนกรีต,2567,ผึ่งแดด,เมืองมุกดาหาร,เลขที่ 34978 หมู่ 7,มุกดาหาร,19209,5004
